Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2017,Garam,Park,4,0,0,7,0,0,11,442,Honourable mention
2018,Shuyu,Jiao,7,0,0,0,0,0,7,430,Honourable mention
2016,Garam,Park,7,0,0,0,0,0,7,443,Honourable mention
2024,Bowen,Zhou,7,0,0,0,0,0,7,487,Honourable mention
2023,Donato Ofi,Moakofhi,7,0,0,0,0,0,7,508,Honourable mention
2018,Garam,Park,0,0,0,2,1,0,3,486,
2020,Kalidas,Rayirath,1,2,1,0,0,0,4,505,
2024,Aswin,Santhosh Nair,6,0,0,0,0,0,6,511,
2019,Rohana Sree,Gullapalli,0,0,0,0,2,0,2,523,
2023,Aswin,Santhosh Nair,2,0,0,1,2,0,5,521,
2018,Wen,Zhang,0,0,0,2,0,0,2,511,
2021,Dani,Kannanaikal Martin,0,0,0,0,0,0,0,533,
2021,Kalidas,Rayirath,0,0,0,0,0,0,0,533,
2021,Taonga,Ndolo,0,0,0,0,0,0,0,533,
2021,Ashwin,Shine,0,0,0,0,0,0,0,533,
2021,Enoch Titus,Robert,0,0,0,0,0,0,0,533,
2021,Achal Kumar,Gupta,0,0,0,0,0,0,0,533,
2020,Thabang Timothy,Kelebeng,0,0,1,0,0,0,1,532,
2022,Kalidas,Rayirath,1,1,0,4,1,0,7,510,
2023,Sania Shajan,Chittilappilly,2,0,0,0,0,0,2,554,
2022,Aswin,Santhosh Nair,3,0,0,1,0,0,4,532,
2022,Taonga,Ndolo,3,0,0,1,0,0,4,532,
2017,Joel,Binu,2,0,0,1,0,0,3,559,
2017,Gautham,Gopinath,2,0,0,1,0,0,3,559,
2020,Milit,Ranjith,0,0,0,0,0,0,0,560,
2020,Tumelo Losika,Ngakane,0,0,0,0,0,0,0,560,
2020,Aameer Mansur,Bhamani,0,0,0,0,0,0,0,560,
2020,Rohana Sree,Gullapalli,0,0,0,0,0,0,0,560,
2015,Temana Boyce,Bakaabatsile,0,0,0,1,0,0,1,532,
2019,Kalidas,Rayirath,0,0,0,0,0,0,0,573,
2024,Wanjing,Tang,1,0,0,0,0,0,1,565,
2024,Ashwin,Shine,0,0,0,1,0,0,1,565,
2016,Sparsh,Gautam,0,0,0,0,0,0,0,568,
2016,Ngwao,Ngwako,0,0,0,0,0,0,0,568,
2016,Joel,Binu,0,0,0,0,0,0,0,568,
2016,Eben Twazihirwa,Mnzava,0,0,0,0,0,0,0,568,
2016,Kabo Bob,Mosetse,0,0,0,0,0,0,0,568,
2017,Shuyu,Jiao,0,1,0,0,0,0,1,582,
2017,Wen,Zhang,0,0,0,1,0,0,1,582,
2018,Bakang,Kgopolo,0,0,0,0,0,0,0,565,
2018,Joel,Binu,0,0,0,0,0,0,0,565,
2018,Eunice,Tshosa,0,0,0,0,0,0,0,565,
2023,Resego Clyde,Phuthego,0,0,0,1,0,0,1,589,
2022,Dawn,Kannanaikal Martin,1,0,0,0,0,0,1,563,
2022,Ashwin,Shine,1,0,0,0,0,0,1,563,
2015,Sparsh,Gautam,0,0,0,0,0,0,0,553,
2015,Garam,Park,0,0,0,0,0,0,0,553,
2015,Tinashe,Olekantse,0,0,0,0,0,0,0,553,
2015,Bamebotlhe,John,0,0,0,0,0,0,0,553,
2015,Kebafilwe Joseph,Loiti,0,0,0,0,0,0,0,553,
2024,Ofentse Gabriel F.,Ditlamelo,0,0,0,0,0,0,0,589,
2024,Prince Obakeng,Motswaiso,0,0,0,0,0,0,0,589,
2023,Yijia,Hou,0,0,0,0,0,0,0,603,
2023,Odirile Tuelo Carlos,Tumaeletse,0,0,0,0,0,0,0,603,
2017,Eunice,Tshosa,0,0,0,0,0,0,0,604,
2022,Achal Kumar,Gupta,0,0,0,0,0,0,0,579,
