Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1981,Georges,Gonthier,7,7,7,7,7,7,42,1,Gold medal
1981,David,Ash,7,7,7,7,7,7,42,1,Gold medal
1987,Ravi,Vakil,7,7,7,7,7,7,42,1,Gold medal
2004,Jacob,Tsimerman,7,7,7,7,7,7,42,1,Gold medal
2015,Zhuo Qun (Alex),Song,7,7,7,7,7,7,42,1,Gold medal
2020,Thomas,Guo,7,7,7,7,7,1,36,4,Gold medal
2012,Zhuo Qun (Alex),Song,7,7,3,7,7,7,38,4,Gold medal
2010,Robin,Cheng,7,7,7,7,7,0,35,7,Gold medal
2023,Warren,Bei,7,7,7,7,7,5,40,9,Gold medal
2000,David,Arthur,7,7,7,7,7,3,38,7,Gold medal
2013,Calvin,Deng,7,2,7,7,7,7,37,8,Gold medal
2013,Zhuo Qun (Alex),Song,7,7,0,7,7,7,35,10,Gold medal
2014,Zhuo Qun (Alex),Song,7,7,6,7,7,3,37,11,Gold medal
2012,Calvin,Deng,7,7,3,7,7,4,35,11,Gold medal
2001,Daniel,Brox,7,7,7,7,2,6,36,10,Gold medal
2010,Hunter,Spink,6,3,2,7,7,7,32,11,Gold medal
2017,William,Zhao,7,7,0,7,0,7,28,14,Gold medal
2002,Roger,Mong,7,6,7,7,7,0,34,12,Gold medal
1992,Jeffrey,Grossman,7,7,7,7,3,5,36,9,Gold medal
2014,Kevin,Sun,7,7,0,7,7,7,35,15,Gold medal
1988,Ravi,Vakil,7,7,7,7,5,7,40,8,Gold medal
2016,Kevin,Sun,5,7,1,7,7,7,34,17,Gold medal
1993,Ka-Ping,Yee,7,7,0,6,7,7,34,12,Gold medal
2021,Eric,Shen,7,0,2,7,7,7,30,20,Gold medal
2022,Zixiang ,Zhou,7,7,7,7,7,1,36,23,Gold medal
2022,Warren,Bei,7,7,1,7,7,7,36,23,Gold medal
2011,Zhuo Qun (Alex),Song,7,1,7,7,7,0,29,25,Gold medal
2009,Xiaolin (Danny),Shi,7,7,6,7,7,0,34,27,Gold medal
2003,Olena,Bormashenko,7,3,7,7,7,0,31,23,Gold medal
2021,Thomas,Guo,7,7,0,7,7,0,28,32,Gold medal
2021,Zixiang,Zhou,6,0,1,7,7,7,28,32,Gold medal
1991,Ian,Goldberg,7,7,4,7,7,7,39,18,Gold medal
2020,Eric,Shen,7,7,4,7,7,0,32,34,Gold medal
2020,Michael,Li,7,7,3,7,7,1,32,34,Gold medal
2015,Kevin,Sun,7,4,0,7,3,6,27,32,Gold medal
2003,Jacob,Tsimerman,7,7,7,7,1,1,30,26,Gold medal
2012,Matthew,Brennan,7,7,0,7,7,0,28,33,Gold medal
2019,Victor,Rong,7,7,3,7,7,1,32,41,Gold medal
2005,Yufei,Zhao,5,7,7,7,7,2,35,35,Gold medal
2016,William,Zhao,7,7,1,7,7,0,29,41,Gold medal
1998,Adrian,Chan,7,7,3,7,7,0,31,29,Gold medal
1994,Edward,Leung,7,7,7,7,7,5,40,28,Gold medal
2016,Kai,Sun,7,7,0,7,7,0,28,45,Silver medal
2018,William,Zhao,7,7,1,7,7,1,30,49,Silver medal
1995,Cyrus,Hsia Chen,7,7,7,7,7,0,35,36,Silver medal
2023,Marvin,Mao,7,7,3,7,7,0,31,55,Silver medal
2023,Ming,Yang,7,7,1,7,7,2,31,55,Silver medal
1998,Mihaela,Enachescu,7,3,3,7,7,3,30,38,Silver medal
1990,Danny,Brown,3,7,7,7,7,1,32,29,Silver medal
2020,Zixiang,Zhou,7,7,0,7,7,1,29,59,Silver medal
2000,Daniel,Brox,7,7,0,7,7,0,28,45,Silver medal
2021,Kevin,Min,7,1,0,7,7,0,22,63,Silver medal
2021,Arvin,Sahami,7,0,1,7,7,0,22,63,Silver medal
1986,Ravi,Vakil,7,7,0,7,6,5,32,22,Silver medal
2018,Victor,Rong,7,7,0,7,7,1,29,61,Silver medal
2018,Thomas,Guo,7,7,0,7,7,1,29,61,Silver medal
2006,Farzin,Barekat,7,4,6,7,0,0,24,52,Silver medal
2016,Qi,Qi,7,2,1,7,7,3,27,63,Silver medal
2019,Howard Loewe,Halim,7,6,0,7,7,1,28,65,Silver medal
1989,Philip,Jong,6,7,1,7,7,7,35,32,Silver medal
2009,Chen,Sun,7,7,1,7,7,0,29,62,Silver medal
2009,Robin,Cheng,7,6,3,6,7,0,29,62,Silver medal
1990,Ian,Goldberg,7,3,2,7,7,3,29,37,Silver medal
2008,Jonathan Timur,Schneider,7,7,0,7,7,0,28,64,Silver medal
2006,Yufei,Zhao,7,7,1,7,1,0,23,60,Silver medal
1991,Jeffrey,Grossman,7,7,5,7,7,3,36,39,Silver medal
2024,Warren,Bei,7,1,3,7,3,6,27,76,Silver medal
1985,Minh,Tue Vo,7,7,1,2,7,4,28,27,Silver medal
2023,Dhruv,Basu,7,1,7,7,7,0,29,82,Silver medal
2002,Olena,Bormashenko,7,6,0,7,6,0,26,64,Silver medal
2005,Yang (Richard),Peng,7,7,0,7,7,0,28,72,Silver medal
1990,Jeffrey,Grossman,7,2,2,7,7,3,28,44,Silver medal
2022,Kevin ,Min,7,7,2,7,7,0,30,84,Silver medal
2022,Kaixin,Wang,7,7,2,0,7,7,30,84,Silver medal
2008,Yan,Li,7,7,1,4,7,0,26,78,Silver medal
2014,Antonio,Molina Lovett,6,7,0,3,7,3,26,83,Silver medal
1997,Byung-Kyu,Chun,4,1,7,6,6,5,29,70,Silver medal
2006,Viktoriya,Krakovna,7,7,0,7,1,0,22,76,Silver medal
2024,Marvin,Mao,7,7,3,7,0,0,24,100,Silver medal
2024,Ryan,Bai,7,1,0,7,7,2,24,100,Silver medal
1996,Richard,Hoshino,6,0,2,7,0,7,22,71,Silver medal
1996,Derek,Kisman,7,0,7,1,0,7,22,71,Silver medal
1996,Soroosh,Yazdani,4,1,2,7,1,7,22,71,Silver medal
2023,Kaixin,Wang,7,0,7,7,7,0,28,104,Silver medal
2021,Warren,Bei,7,0,0,7,7,0,21,105,Silver medal
2000,David,Pritchard,3,7,0,6,7,0,23,79,Silver medal
2012,James,Rickards,7,7,3,5,0,0,22,96,Silver medal
1993,Naoki,Sato,6,7,0,3,4,2,22,73,Silver medal
1995,Frédéric,Latour,7,0,6,7,5,6,31,73,Silver medal
2007,Alexander,Remorov,7,7,0,7,1,0,22,93,Silver medal
2002,Alexander,Fink,7,7,1,7,1,1,24,86,Silver medal
2018,Howard,Halim,7,2,0,7,7,4,27,111,Silver medal
2017,Thomas,Guo,7,5,0,7,0,0,19,115,Silver medal
2017,Victor,Rong,7,4,0,7,1,0,19,115,Silver medal
1986,Steven,Siu,7,7,1,1,6,7,29,40,Silver medal
1991,Adam,Logan,7,7,5,7,5,1,32,61,Silver medal
2013,John (Zhiyao),Ma,7,7,0,7,6,0,27,101,Silver medal
1988,Patrick,Surry,7,3,1,7,7,0,25,52,Silver medal
2009,Hunter,Spink,7,4,1,7,7,0,26,110,Silver medal
2005,Peng,Shi,2,7,2,6,6,2,25,100,Silver medal
2011,James,Rickards,7,1,0,7,7,0,22,113,Silver medal
2011,Hunter,Spink,7,0,0,7,7,1,22,113,Silver medal
2010,Chen,Sun,5,7,2,7,0,0,21,106,Silver medal
2002,Tianyi (David),Han,2,6,1,7,6,1,23,99,Silver medal
1997,Adrian,Chan,1,7,3,7,7,0,25,100,Silver medal
2006,Dong Uk (David),Rhee,7,4,0,7,1,1,20,109,Silver medal
2018,Nicholas,Sun,7,3,0,7,7,1,25,131,Silver medal
1987,Colin,Springer,7,7,5,5,7,2,33,55,Silver medal
2006,Peng,Shi,7,4,0,7,1,0,19,117,Silver medal
2024,Ming,Yang,7,7,0,7,0,1,22,147,Silver medal
2013,Daniel,Spivak,7,3,0,7,6,1,24,131,Silver medal
1981,Charles S.,Timar,7,6,5,6,6,7,37,50,Silver medal
1981,John,Chew,7,7,2,6,6,7,35,65,Silver medal
1983,Martin,Piotte,1,6,4,7,0,7,25,37,Bronze medal
2003,Robert,Barrington Leigh,7,3,0,7,1,0,18,107,Bronze medal
2023,Haozhe,Yang,7,7,0,7,3,0,24,145,Bronze medal
2002,Robert,Barrington Leigh,7,0,1,7,7,0,22,113,Bronze medal
2007,Yan,Li,5,7,0,7,1,0,20,123,Bronze medal
1999,David,Arthur,7,1,2,7,0,1,18,109,Bronze medal
2015,Michael,Pang,7,3,0,7,1,0,18,140,Bronze medal
2015,Alexander,Whatley,7,2,0,7,2,0,18,140,Bronze medal
2015,Yan (Bill),Huang,4,1,0,7,5,1,18,140,Bronze medal
1988,Colin,Springer,7,7,1,6,1,0,22,66,Bronze medal
1994,Kevin,Purbhoo,7,7,7,2,6,0,29,95,Bronze medal
1993,Edward,Leung,6,4,0,2,4,3,19,102,Bronze medal
2022,James,Yang,7,7,0,7,7,0,28,146,Bronze medal
1982,Charles S.,Timar,7,0,3,6,7,6,29,31,Bronze medal
2007,Kent Wai Kit,Huynh,7,4,0,7,1,0,19,133,Bronze medal
1985,Eric,Veach,7,7,1,4,0,1,20,54,Bronze medal
2011,Mariya,Sardarli,7,1,2,7,4,0,21,145,Bronze medal
2011,Matthew,Brennan,7,0,0,7,7,0,21,145,Bronze medal
1996,Byung-Kyu,Chun,5,7,2,3,0,1,18,111,Bronze medal
2013,Alexander,Whatley,7,2,0,7,7,0,23,138,Bronze medal
2009,Chengyue (Jarno),Sun,7,7,1,1,7,0,23,148,Bronze medal
1999,David,Pritchard,7,1,2,2,0,5,17,119,Bronze medal
1993,Alex,Lee,0,5,0,2,6,5,18,111,Bronze medal
2019,David,Tang,7,1,0,7,7,0,22,168,Bronze medal
2019,Sebastian,Jeon,7,1,0,7,7,0,22,168,Bronze medal
2019,Thomas,Guo,7,1,0,7,7,0,22,168,Bronze medal
2005,Elyot Jameson Lester,Grant,7,7,0,1,0,5,20,139,Bronze medal
2012,Kevin Kai Qi,Zhou,7,3,0,6,3,0,19,151,Bronze medal
2008,Xiaolin (Danny),Shi,7,5,0,7,2,0,21,148,Bronze medal
2008,Chen,Sun,7,1,0,6,7,0,21,148,Bronze medal
1983,Michael,Clase,3,2,7,7,0,3,22,52,Bronze medal
2015,Jinhao (Hunter),Xu,7,0,0,7,3,0,17,160,Bronze medal
1999,Jimmy,Chui,7,3,2,2,0,2,16,129,Bronze medal
1992,Naoki,Sato,7,2,0,7,0,5,21,93,Bronze medal
2014,Caleb,Ji,7,6,0,7,1,0,21,163,Bronze medal
2014,Alexander,Whatley,7,5,0,7,2,0,21,163,Bronze medal
2004,János,Kramár,6,6,2,7,0,1,22,143,Bronze medal
2004,Peng,Shi,6,4,3,7,2,0,22,143,Bronze medal
2008,Alexander,Remorov,7,5,0,7,1,0,20,159,Bronze medal
2024,Emily,Ma,7,5,0,7,1,1,21,182,Bronze medal
2003,Tianyi (David),Han,1,7,0,7,1,0,16,138,Bronze medal
2003,Oleg,Ivrii,5,3,0,7,1,0,16,138,Bronze medal
2005,Dong Uk (David),Rhee,7,2,0,7,0,2,18,156,Bronze medal
2017,Ruiming,Xiong,7,3,0,7,0,0,17,188,Bronze medal
2017,Qi,Qi,7,2,0,7,0,1,17,188,Bronze medal
1997,Mihaela,Enachescu,4,7,0,3,7,0,21,142,Bronze medal
1985,Martin,Piotte,7,7,0,1,2,1,18,65,Bronze medal
2007,Steven Neil,Karp,7,2,0,7,1,0,17,161,Bronze medal
1990,Etsuko,Amano,7,1,1,1,6,4,20,96,Bronze medal
2008,Chengyue (Jarno),Sun,7,4,0,7,1,0,19,170,Bronze medal
2010,Yuqi,Zhu,7,3,1,7,1,0,19,167,Bronze medal
1993,Kevin,Purbhoo,0,7,0,2,7,0,16,133,Bronze medal
1995,Donny,Cheung,7,0,4,7,7,0,25,137,Bronze medal
1995,Byung-Kyu,Chun,7,0,5,6,7,0,25,137,Bronze medal
2012,Daniel,Spivak,7,1,0,7,0,2,17,182,Bronze medal
1989,Jeffrey,Higham,7,5,0,7,7,0,26,98,Bronze medal
1994,Robert,Bridson,4,7,6,1,6,0,24,132,Bronze medal
2001,Paul,Cheng,7,0,0,6,2,0,15,164,Bronze medal
2001,Nima,Kamoosi,7,0,0,1,5,2,15,164,Bronze medal
1996,Adrian,Chan,2,1,3,1,0,7,14,150,Bronze medal
1984,Martin,Piotte,7,7,0,7,0,0,21,69,Bronze medal
2016,Ruizhou,Yang,7,2,0,7,1,0,17,224,Bronze medal
2006,Yang (Richard),Peng,7,1,0,6,1,0,15,189,Bronze medal
1996,Sabin,Cautis,2,1,2,1,0,7,13,164,Bronze medal
1992,Alexander,Nicholson,6,4,3,1,0,2,16,125,Bronze medal
2009,Jonathan Timur,Schneider,6,4,1,5,1,0,17,220,Bronze medal
1983,Neale,Ginsburg,7,2,2,7,0,0,18,73,Bronze medal
1989,Hugh,Thomas,3,3,2,7,7,0,22,114,Bronze medal
2011,Heinrich,Jiang,7,1,0,7,2,0,17,222,Bronze medal
2014,Michael,Chow,7,5,0,7,0,0,19,221,Bronze medal
1985,Frank,D'Ippolito,7,7,0,1,0,1,16,83,Bronze medal
1991,Peter,Milley,7,2,6,7,0,0,22,126,Bronze medal
2013,Kevin,Sun,7,2,0,7,1,0,17,211,Bronze medal
1982,Alastair,Rucklidge,4,1,2,7,7,2,23,49,Bronze medal
2004,Yufei,Zhao,6,6,1,3,1,1,18,200,Bronze medal
1992,Kevin,Kwan,7,4,0,2,0,2,15,133,Bronze medal
1983,William,Rucklidge,1,7,0,7,2,0,17,78,Bronze medal
1991,Mark,van Raamsdonk,7,2,3,5,4,0,21,133,Bronze medal
1989,Ian,Goldberg,7,0,0,1,7,6,21,122,Bronze medal
1988,David,McKinnon,1,6,1,0,7,0,15,113,Bronze medal
2001,Roger,Mong,6,0,0,7,0,0,13,199,Bronze medal
2001,Liang,Hong,7,0,0,2,4,0,13,199,Bronze medal
2019,William,Zhao,7,0,0,4,7,0,18,267,Bronze medal
2010,Zhuo Qun (Alex),Song,5,1,0,7,2,0,15,226,Bronze medal
1997,Sabin,Cautis,2,0,0,7,7,0,16,200,Bronze medal
1998,Adrian,Tang,5,0,2,1,7,0,15,183,Bronze medal
2020,David,Tang,7,0,0,7,1,1,16,272,Bronze medal
2020,Edgar,Wang,7,0,0,7,1,1,16,272,Bronze medal
2000,Keon,Choi,7,0,2,3,0,0,12,204,Bronze medal
1985,Moses,Klein,1,7,0,7,0,0,15,93,Bronze medal
1986,Giuseppe,Russo,7,5,1,3,2,0,18,94,Bronze medal
2018,Zixiang,Zhou,7,1,0,7,1,0,16,271,Bronze medal
1994,Alyssa,Ker,7,7,2,2,2,0,20,176,Bronze medal
1998,Jimmy,Chui,3,0,1,7,3,0,14,194,Bronze medal
1995,Alyssa,Ker,3,0,2,7,7,0,19,193,Bronze medal
1987,Rocky,Lee,4,7,0,1,6,1,19,113,Bronze medal
1981,Julian,West,1,2,5,7,7,7,29,90,Bronze medal
2002,Ralph,Furmaniak,0,0,1,7,2,3,13,233,Honourable mention
1995,Lawrence,Tang,7,0,4,7,0,0,18,202,Honourable mention
1998,Yin (Jessie),Lei,2,0,1,7,3,0,13,206,Honourable mention
2004,Oleg,Ivrii,3,1,2,7,1,1,15,244,Honourable mention
1990,Andrew,Chow,7,1,2,1,3,1,15,156,Honourable mention
1990,Hugh,Thomas,0,3,1,0,7,4,15,156,Honourable mention
1994,Cyrus,Hsia Chen,2,7,1,2,2,3,17,205,Honourable mention
1992,Eric,Lai,0,2,0,7,0,2,11,180,Honourable mention
1988,Gurraj,Sangha,4,0,0,0,7,0,11,150,Honourable mention
2004,Dong Uk (David),Rhee,7,1,3,2,0,0,13,272,Honourable mention
2007,Chengyue (Jarno),Sun,3,1,0,7,0,0,11,293,Honourable mention
2000,Denise,Cheung,7,0,0,2,0,0,9,260,Honourable mention
2022,Evan,Lu,7,6,3,0,2,0,18,343,Honourable mention
1991,Ka-Ping,Yee,3,2,0,7,2,0,14,186,Honourable mention
2016,Andrew,Lin,3,2,0,7,1,0,13,355,Honourable mention
1997,Jimmy,Chui,1,1,0,7,1,0,10,285,Honourable mention
1989,Andrew,Chow,7,3,0,1,0,0,11,190,Honourable mention
2024,Xuezhi,Wang,2,2,2,7,0,0,13,400,Honourable mention
1989,James,Law,0,0,0,1,7,0,8,209,Honourable mention
2017,Ruizhou,Yang,7,1,0,2,0,0,10,457,Honourable mention
2010,Jonathan,Zung,7,0,0,0,0,0,7,418,Honourable mention
1983,Mike,Molloy,3,0,4,3,0,4,14,94,
1987,Stephen,Fry,1,6,0,7,3,0,17,121,
1987,Gavin,MacBeath,0,7,0,3,7,0,17,121,
1984,Mike,Molloy,7,2,1,0,6,0,16,99,
1984,Mike,Bradley,5,0,0,7,3,0,15,104,
1984,Minh,Tue Vo,3,1,0,7,3,1,15,104,
1988,Philip,Jong,4,0,1,0,5,1,11,150,
1981,Arthur,Baragar,0,7,0,5,6,7,25,104,
1986,Bryan,Feir,7,5,0,1,1,0,14,121,
1986,Rocky,Lee,1,0,0,4,4,5,14,121,
1998,Adrian,Birka,2,1,2,5,0,0,10,242,
2001,Shu,Niu,3,1,1,1,2,0,8,277,
1999,Yin (Jessie),Lei,4,0,1,2,1,1,9,270,
1981,David,Bernier,0,2,7,7,0,7,23,113,
1984,Frank,D'Ippolito,5,5,0,2,0,0,12,118,
1987,David,Lee,2,7,1,0,1,0,11,151,
2003,János,Kramár,2,3,0,1,1,1,8,292,
2005,Lin,Fei,3,1,0,1,0,1,6,328,
1999,David,Nicholson,4,0,2,1,0,1,8,292,
1994,Christopher Ian,Hendrie,1,3,6,1,1,1,13,254,
2007,Jonathan Timur,Schneider,3,0,0,6,0,0,9,344,
1982,Todd,Cardno,3,0,2,0,7,2,14,81,
1985,Giuseppe,Russo,1,7,0,0,0,0,8,147,
1983,Bruce,Sutherland,1,2,0,0,3,0,6,131,
1981,John,Bowman,1,2,0,3,3,7,16,136,
1992,Kevin,Cheung,0,2,0,4,0,0,6,238,
1982,Edward D.,Hatton,7,0,2,3,0,0,12,89,
1993,Peter,Dukes,0,0,1,1,1,1,4,311,
1999,James,Lee,2,1,0,2,0,1,6,344,
1997,Adrian,Birka,4,0,1,0,1,0,6,356,
1984,Lily,Yen,3,0,0,1,0,0,4,160,
1986,Alexandru,Romosan,2,0,0,0,3,0,5,189,
2000,David,Goodman,0,2,0,0,0,0,2,416,
