Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2009,Anibal,Velozo,7,7,7,5,3,0,29,62,Silver medal
1994,Juan,Rivera,7,7,7,5,2,7,35,49,Silver medal
2008,Anibal,Velozo,7,4,0,7,7,0,25,92,Silver medal
2012,Cristian,Gonzalez,7,7,0,3,1,0,18,163,Bronze medal
2011,Felipe,Garcia Suarez,7,0,7,3,3,0,20,171,Bronze medal
2017,***,***,7,3,0,7,0,0,17,188,Bronze medal
2013,Fernando,Figueroa,7,5,0,1,7,0,20,180,Bronze medal
2014,Fernando,Figueroa,4,7,0,7,1,0,19,221,Bronze medal
2008,Cristobal,Parraguez,5,0,0,4,7,0,16,212,Bronze medal
2017,Diego,Rojas,7,1,0,7,0,0,15,292,Honourable mention
2021,Fernanda,Gutierrez,3,0,0,7,0,0,10,319,Honourable mention
1994,Matias,Libedinsky,2,7,3,5,0,0,17,205,Honourable mention
2012,Fernando,Figueroa,7,0,0,4,0,1,12,302,Honourable mention
2020,Diego,Perez,7,2,0,4,0,0,13,345,Honourable mention
1997,Mario Andrés,Ponce Acevedo,0,7,0,5,0,0,12,258,Honourable mention
2012,Eduardo,Oregon,7,0,0,4,0,0,11,315,Honourable mention
1997,José Antonio,Vaisman Romero,1,2,0,7,1,0,11,272,Honourable mention
2024,Martin,Ruiz-Tagle,7,0,0,0,7,0,14,366,Honourable mention
2021,Marcel,Metayer,7,0,0,0,0,0,7,372,Honourable mention
2015,Nicolas,Vilches,1,1,0,7,0,0,9,365,Honourable mention
2017,Cristian,Carrasco,6,0,0,7,0,0,13,390,Honourable mention
2018,Mateo,Bozzi,0,1,0,7,1,0,9,391,Honourable mention
2018,Diego,Rojas,0,1,0,7,1,0,9,391,Honourable mention
2011,Diego,Navarro Guajardo,7,0,0,0,2,0,9,378,Honourable mention
2013,Sebastian,Pavez,1,0,0,7,0,0,8,355,Honourable mention
2012,Mauricio,Garcia Suarez,7,0,0,1,1,0,9,373,Honourable mention
2012,Montserrat,Monasterio,7,0,0,0,2,0,9,373,Honourable mention
2008,Sebastian,Zuñiga,7,0,0,1,0,0,8,368,Honourable mention
2023,Matias,Nova,7,0,0,1,2,0,10,441,Honourable mention
2019,Diego,Perez,0,1,0,0,7,0,8,444,Honourable mention
2014,Nicolas,Vilches,7,0,0,0,2,0,9,404,Honourable mention
2016,Cristian,Carrasco,7,0,0,0,0,0,7,443,Honourable mention
2016,Tomas,Gonzalez,7,0,0,0,0,0,7,443,Honourable mention
1995,Milton,Jara,2,0,0,0,7,0,9,306,Honourable mention
2019,Camila,Guajardo,7,0,0,0,0,0,7,463,Honourable mention
2013,Montserrat,Monasterio,0,0,0,7,0,0,7,394,Honourable mention
2022,Siyuan,Lu,7,2,0,2,0,0,11,445,Honourable mention
2017,Jorge,Acuña,7,0,0,2,0,0,9,471,Honourable mention
2017,Mateo,Bozzi,7,0,0,2,0,0,9,471,Honourable mention
2023,Siyuan,Lu,7,0,0,1,0,0,8,490,Honourable mention
2009,Sebastian,Zuñiga,3,2,0,6,0,0,11,314,
1996,Phillipo,Correa,3,1,1,0,0,0,5,290,
1996,Arturo,Prat,2,1,1,0,0,1,5,290,
2021,Siyuan,Lu,4,0,0,1,0,0,5,426,
2011,Daniel,Contreras Salinas,3,0,0,1,2,0,6,428,
2011,Mauricio,Garcia Suarez,3,0,0,0,3,0,6,428,
2019,Daniel,Heimlich,3,1,0,0,1,0,5,479,
2021,Diego,Perez,0,0,1,0,0,0,1,499,
2016,Mateo,Bozzi,0,2,0,2,0,0,4,493,
2011,Felipe Ignacio,Arbulu Lopez,3,0,0,0,1,0,4,466,
2020,Gianfranco,Miranda,0,0,0,3,0,0,3,512,
2015,Marcelo,Bernal,1,0,0,2,0,0,3,480,
2022,Matias,Nova,2,1,0,4,1,0,8,493,
1995,Ivan,Nieto,0,0,0,5,0,0,5,348,
2020,Fernanda,Gutierrez,1,1,0,0,0,0,2,521,
1997,Nicolás,Libedinsky Silva,0,0,0,0,3,0,3,391,
2014,Miguel,Bustamante,3,0,0,1,0,0,4,476,
2021,Matias,Pinto,0,0,0,0,0,0,0,533,
2021,Bruno,Andrade,0,0,0,0,0,0,0,533,
2020,Bruno,Loyola,0,0,1,0,0,0,1,532,
2022,Ignacio ,Hernandez,4,1,0,0,1,1,7,510,
2011,Leonardo,Dinamarca Opazo,3,0,0,0,0,0,3,491,
2024,Matias,Nova,3,0,0,0,0,0,3,533,
2007,Cristobal,Parraguez,0,1,0,0,1,0,2,464,
2007,Roberto,Villaflor,0,1,0,0,1,0,2,464,
2023,Matias ,Pinto,2,0,0,0,0,0,2,554,
2017,Camila,Guajardo,2,1,0,1,0,0,4,555,
2009,Benjamin,Baeza,0,1,0,0,0,0,1,511,
2014,Matias,Moreno,0,0,0,1,0,0,1,507,
2018,Camila,Guajardo,1,0,0,0,0,0,1,538,
2020,Fernando,Salinas,0,0,0,0,0,0,0,560,
2020,Francisca,Aguayo,0,0,0,0,0,0,0,560,
1997,Rafael Eusebio,Labarca Guajardo,1,0,0,0,0,0,1,419,
1997,Patricia Marcela,Arevalo Noordam,1,0,0,0,0,0,1,419,
2019,Fernanda,Gutiérrez,0,0,0,0,0,0,0,573,
2018,Ignacio,Rojas,0,0,0,0,0,0,0,565,
2022,Luis,Riveros,1,0,0,0,0,0,1,563,
2012,Raul,Opazo,0,0,0,0,0,0,0,529,
2009,Mauricio,Garcia Suarez,0,0,0,0,0,0,0,547,
1997,Rodrigo Alfonso,Bahamondes Cuadra,0,0,0,0,0,0,0,446,
2007,Francisco,Campos,0,0,0,0,0,0,0,506,
2007,Sebastian,Pacheco,0,0,0,0,0,0,0,506,
