Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1987,Jun,Teng,7,7,7,7,7,7,42,1,Gold medal
1987,Xiong,Liu,7,7,7,7,7,7,42,1,Gold medal
1988,Hongyu,He,7,7,7,7,7,7,42,1,Gold medal
1989,Huazhang,Luo,7,7,7,7,7,7,42,1,Gold medal
1990,Jianhua,Wang,7,7,7,7,7,7,42,1,Gold medal
1990,Tong,Zhou,7,7,7,7,7,7,42,1,Gold medal
1991,Wei,Luo,7,7,7,7,7,7,42,1,Gold medal
1992,Baozhong,Yang,7,7,7,7,7,7,42,1,Gold medal
1992,Kai,Shen,7,7,7,7,7,7,42,1,Gold medal
1992,Wei,Luo,7,7,7,7,7,7,42,1,Gold medal
1994,Jiangang,Yao,7,7,7,7,7,7,42,1,Gold medal
1994,Jianbo,Peng,7,7,7,7,7,7,42,1,Gold medal
1994,Jian,Zhang,7,7,7,7,7,7,42,1,Gold medal
1995,Cheng,Chang,7,7,7,7,7,7,42,1,Gold medal
1995,Chenchang,Zhu,7,7,7,7,7,7,42,1,Gold medal
1995,Song,Liu,7,7,7,7,7,7,42,1,Gold medal
1993,Hong,Zhou,7,7,7,7,7,7,42,1,Gold medal
2003,Yunhao,Fu,7,7,7,7,7,7,42,1,Gold medal
2000,Zhiwei,Yun,7,7,7,7,7,7,42,1,Gold medal
2001,Zhiqiang,Zhang,7,7,7,7,7,7,42,1,Gold medal
2001,Liang,Xiao,7,7,7,7,7,7,42,1,Gold medal
2002,Botong,Wang,7,7,7,7,7,7,42,1,Gold medal
2002,Yunhao,Fu,7,7,7,7,7,7,42,1,Gold medal
2006,Zhiyu,Liu,7,7,7,7,7,7,42,1,Gold medal
2005,Qingchun,Ren,7,7,7,7,7,7,42,1,Gold medal
2005,Xuancheng,Shao,7,7,7,7,7,7,42,1,Gold medal
2005,Hangsheng,Diao,7,7,7,7,7,7,42,1,Gold medal
2005,Ye,Luo,7,7,7,7,7,7,42,1,Gold medal
2010,Zipei,Nie,7,7,7,7,7,7,42,1,Gold medal
2013,Yutao,Liu,7,7,7,7,7,6,41,1,Gold medal
2008,Dongyi,Wei,7,7,7,7,7,7,42,1,Gold medal
2008,Xiaosheng,Mu,7,7,7,7,7,7,42,1,Gold medal
2014,Jiyang,Gao,7,7,7,7,7,7,42,1,Gold medal
2009,Dongyi,Wei,7,7,7,7,7,7,42,1,Gold medal
2016,Yuan,Yang,7,7,7,7,7,7,42,1,Gold medal
2022,Yiran,Zhang,7,7,7,7,7,7,42,1,Gold medal
2022,Zhicheng,Zhang,7,7,7,7,7,7,42,1,Gold medal
2022,Cheng,Jiang,7,7,7,7,7,7,42,1,Gold medal
2022,Jiayu,Liu,7,7,7,7,7,7,42,1,Gold medal
2022,Yubo,Liao,7,7,7,7,7,7,42,1,Gold medal
2022,Xiaoyu,Qu,7,7,7,7,7,7,42,1,Gold medal
2024,Haojia,Shi,7,7,7,7,7,7,42,1,Gold medal
2020,Jinmin,Li,7,7,7,7,7,7,42,1,Gold medal
2023,Chunji,Wang,7,7,7,7,7,7,42,1,Gold medal
2023,Haojia,Shi,7,7,7,7,7,7,42,1,Gold medal
2021,Yichuan,Wang,7,7,7,7,7,7,42,1,Gold medal
2019,Baiting,Xie,7,7,7,7,7,7,42,1,Gold medal
2019,Zhizhen,Yuan,7,7,7,7,7,7,42,1,Gold medal
2020,Xinmiao,Han,7,7,7,7,7,5,40,2,Gold medal
2015,Chenjie,Yu,7,7,7,7,7,6,41,2,Gold medal
2007,Caili,Shen,7,7,7,7,7,1,36,2,Gold medal
2021,Yebo,Peng,7,1,7,7,7,7,36,3,Gold medal
2021,Chen,Wei,7,1,7,7,7,7,36,3,Gold medal
2020,Jia,Yi,7,3,7,7,7,6,37,3,Gold medal
2011,Lin,Chen,7,3,7,7,7,7,38,3,Gold medal
2020,Jingxun,Liang,7,7,7,7,7,1,36,4,Gold medal
2017,Qiuyu,Ren,7,7,0,7,7,4,32,4,Gold medal
2012,Yiyang,She,7,7,3,7,7,7,38,4,Gold medal
2010,Jialun,Li,7,7,7,7,1,7,36,4,Gold medal
2006,Caili,Shen,7,7,7,7,7,2,37,4,Gold medal
2002,Bin,Wang,7,6,7,7,7,2,36,4,Gold medal
2024,Qiming,Xu,7,7,7,7,7,0,35,5,Gold medal
1993,Hanhui,Yuan,7,7,7,7,7,2,37,4,Gold medal
2013,Lingfu,Zhang,7,7,7,7,7,3,38,5,Gold medal
2023,Xinliang,Zhang,7,7,7,7,7,6,41,6,Gold medal
2023,Xingjian,Liang,7,7,7,7,7,6,41,6,Gold medal
2004,Zhiyi,Huang,6,7,7,7,7,7,41,5,Gold medal
2000,Zhipeng,Liu,7,7,4,7,7,7,39,5,Gold medal
2016,Lingjie,Mei,7,7,6,7,7,7,41,7,Gold medal
2006,Yu,Deng,7,7,7,7,7,0,35,6,Gold medal
2006,Long,Jin,7,7,7,7,7,0,35,6,Gold medal
2014,Hongming,Pu,7,7,7,7,7,3,38,7,Gold medal
1999,Xin,Li,7,7,7,7,7,1,36,6,Gold medal
2009,Yanlin,Zhao,7,7,7,7,7,3,38,8,Gold medal
1992,Yin,Zhang,7,7,7,6,7,7,41,5,Gold medal
2001,Jun,Yu,7,7,2,7,7,7,37,7,Gold medal
2012,Haoyu,Wang,7,7,3,6,7,7,37,8,Gold medal
1990,Song,Wang,7,7,6,7,7,7,41,5,Gold medal
2000,Xin,Li,7,7,3,7,7,7,38,7,Gold medal
2016,Shengtong,Zhang,7,7,7,7,7,1,36,9,Gold medal
2018,Yiyi,Chen,7,7,2,7,7,7,37,9,Gold medal
1986,Weimin,Fang,7,7,7,7,6,7,41,4,Gold medal
2019,Sulin,Hu,7,7,4,7,7,7,39,10,Gold medal
2018,Zexuan,Ouyang,7,7,7,7,7,1,36,10,Gold medal
2010,Yikang,Xiao,7,7,0,7,7,6,34,9,Gold medal
1992,Simai,He,7,7,7,5,7,7,40,6,Gold medal
2015,Jiafan,He,7,7,1,7,2,7,31,10,Gold medal
2015,Nuozhou,Wang,7,2,1,7,7,7,31,10,Gold medal
2011,Tianyou,Zhou,7,6,7,7,7,0,34,10,Gold medal
2023,Qiao,Sun,7,7,7,7,7,4,39,11,Gold medal
2004,Qingsan,Zhu,6,7,4,7,7,7,38,9,Gold medal
1993,Ke,Yang,7,7,1,7,7,7,36,8,Gold medal
2013,Xiao,Liu,7,7,7,7,7,0,35,10,Gold medal
2003,Wei,Wang,7,7,7,7,7,2,37,9,Gold medal
2012,Jingwen,Chen,7,7,0,7,7,7,35,11,Gold medal
2018,Yixiao,Li,7,7,7,7,7,0,35,12,Gold medal
1988,Xi,Chen,7,7,6,7,7,7,41,6,Gold medal
2001,Hui,Zheng,7,7,7,7,7,1,36,10,Gold medal
2009,Jiaoyang,Huang,7,7,7,7,7,1,36,12,Gold medal
2006,Qingchun,Ren,7,7,0,6,7,7,34,11,Gold medal
2008,Zhuo,Chen,7,7,7,7,7,0,35,12,Gold medal
2008,Cheng,Zhang,7,7,7,7,7,0,35,12,Gold medal
2008,Ruixiang,Zhang,7,7,7,7,7,0,35,12,Gold medal
2017,Lu,Zhang,7,7,0,7,2,5,28,14,Gold medal
1993,Yang,Liu,1,7,7,7,6,7,35,10,Gold medal
2021,Yuxing,Xia,7,3,1,7,7,7,32,15,Gold medal
2004,Xianying,Li,7,7,2,7,7,7,37,12,Gold medal
2009,Fan,Zheng,7,7,7,7,7,0,35,14,Gold medal
2009,Zhiwei,Zheng,7,7,7,7,7,0,35,14,Gold medal
2009,Bo,Lin,7,7,7,7,7,0,35,14,Gold medal
2011,Bowen,Yao,7,1,7,7,7,1,30,14,Gold medal
2011,Zichao,Long,7,1,7,7,7,1,30,14,Gold medal
2000,Qihui,Zhu,7,7,2,6,7,7,36,12,Gold medal
2003,Zhen,Xiang,7,7,7,7,7,1,36,12,Gold medal
2006,Wenying,Gan,7,7,7,7,3,0,31,13,Gold medal
2014,Yunkun,Zhou,7,7,0,7,7,7,35,15,Gold medal
2014,Renrui,Qi,7,7,0,7,7,7,35,15,Gold medal
2012,Hao,Wu,7,7,5,2,7,6,34,15,Gold medal
2021,Chenxu,Feng,7,2,1,7,7,7,31,17,Gold medal
2021,Ruitao,Chen,7,2,1,7,7,7,31,17,Gold medal
1993,Lei,Zhang,7,7,6,7,7,0,34,12,Gold medal
1999,Ruochuan,Liu,7,6,1,7,7,7,35,13,Gold medal
2019,Mingyang,Deng,7,6,7,7,7,1,35,18,Gold medal
2019,Ranfeng,Yu,6,7,1,7,7,7,35,18,Gold medal
2015,Jiyang,Gao,7,7,1,7,1,7,30,17,Gold medal
1991,Lizhao,Zhang,7,7,7,7,7,6,41,10,Gold medal
2010,Min,Zhang,7,7,7,7,2,0,30,16,Gold medal
2002,Xianyi,Zeng,7,7,1,7,7,3,32,15,Gold medal
2012,Hao,Zuo,7,7,3,7,7,2,33,17,Gold medal
1997,Yi,Ni,7,7,7,7,6,4,38,15,Gold medal
1997,Jiarui,Han,7,7,7,7,7,3,38,15,Gold medal
1997,Jin,Zou,7,7,3,7,7,7,38,15,Gold medal
2003,Jiacong,Fang,7,7,7,7,7,0,35,16,Gold medal
1986,Hao,Zhang,7,7,4,7,7,7,39,8,Gold medal
2001,Feng,Qu,7,7,0,7,7,7,35,17,Gold medal
1989,Yang,Yu,7,7,7,6,7,7,41,11,Gold medal
1989,Buxing,Jiang,6,7,7,7,7,7,41,11,Gold medal
1989,Xiaoming,Huo,6,7,7,7,7,7,41,11,Gold medal
2007,Lei,Fu,7,7,2,7,7,0,30,19,Gold medal
2007,Xuan,Wang,7,7,1,7,7,1,30,19,Gold medal
2007,Ben,Yang,7,7,1,7,7,1,30,19,Gold medal
2016,Zeyu,Jia,7,7,0,7,7,3,31,23,Gold medal
2004,Minyu,Peng,6,6,4,7,5,7,35,20,Gold medal
2004,Yuncheng,Lin,6,7,1,7,7,7,35,20,Gold medal
1991,Song,Wang,7,7,5,7,7,7,40,14,Gold medal
1991,Shaoyu,Wang,7,7,5,7,7,7,40,14,Gold medal
2003,Xin,Wan,7,5,0,7,7,7,33,20,Gold medal
1999,Xiaolong,Cheng,7,7,1,7,7,3,32,20,Gold medal
1990,Zhaohui,Zhang,7,7,7,7,7,1,36,14,Gold medal
1990,Jialian,Yu,7,7,2,7,7,6,36,14,Gold medal
2001,Jianxin,Chen,7,5,0,7,7,7,33,21,Gold medal
1996,Huayi,Chen,4,7,7,7,0,7,32,19,Gold medal
2011,Zhaorong,Jin,7,1,7,7,7,0,29,25,Gold medal
1986,Pingli,Li,7,7,3,7,6,7,37,10,Gold medal
2019,Jiajun,Huang,6,7,1,6,7,7,34,28,Gold medal
2023,Zhicheng,Jiang,7,7,7,7,7,0,35,28,Gold medal
1997,Jinpeng,An,7,7,7,6,7,3,37,22,Gold medal
1997,Xiaoming,Sun,7,7,7,4,7,5,37,22,Gold medal
2024,Chunji,Wang,7,7,7,7,0,2,30,29,Gold medal
2024,Xianbang,Wang,7,7,7,7,1,1,30,29,Gold medal
2024,Zhewen,Deng,7,7,1,5,7,3,30,29,Gold medal
1995,Haidong,Wang,7,7,7,3,7,7,38,20,Gold medal
2017,Jinze,Wu,7,4,0,7,7,1,26,30,Gold medal
2013,Yuxuan,Liao,7,7,0,6,7,6,33,26,Gold medal
2002,Wei,Xiao,7,7,1,7,7,1,30,24,Gold medal
2002,Wenjie,Fu,6,7,1,7,7,2,30,24,Gold medal
1992,Hong,Zhou,6,7,7,6,0,7,33,17,Gold medal
2010,Li,Lai,7,7,0,7,7,0,28,27,Gold medal
2000,Xinyi,Yuan,7,7,1,6,7,4,32,25,Gold medal
2018,Zeyu,Wang,7,2,1,7,7,7,31,34,Gold medal
2004,Shiwu,Yang,6,7,3,7,4,7,34,28,Gold medal
1996,Xuhua,He,7,7,7,7,0,2,30,25,Gold medal
1996,Jun,Yan,7,7,7,5,0,4,30,25,Gold medal
2017,Tiancheng,He,7,4,0,7,0,7,25,36,Gold medal
2017,Yuanyang,Jiang,7,2,0,7,2,7,25,36,Gold medal
1993,Jiong,Feng,6,7,6,4,5,3,31,25,Gold medal
2000,Zhongtao,Wu,7,7,2,6,7,2,31,28,Gold medal
1999,Zhenhua,Qu,7,7,1,7,6,2,30,28,Gold medal
2013,Chao,Gu,7,3,7,7,7,0,31,34,Gold medal
2005,Jiayin,Kang,0,7,7,7,7,7,35,35,Gold medal
1997,Changjin,Zheng,4,7,7,7,7,3,35,32,Gold medal
2011,Mengxi,Wu,7,0,7,7,7,0,28,39,Gold medal
2020,Rui,Rao,7,7,3,7,7,0,31,43,Gold medal
2014,Lantian,Chen,7,7,1,7,7,0,29,40,Gold medal
2010,Jun,Su,6,7,2,7,0,5,27,42,Gold medal
2015,Changzhi,Xie,7,7,1,7,3,0,25,40,Silver medal
1989,Ruoxi,Tang,7,7,2,7,7,7,37,21,Silver medal
1995,Yijun,Yao,7,7,5,7,7,3,36,31,Silver medal
1995,Yizhou,Lin,7,7,7,5,7,3,36,31,Silver medal
2016,Yixuan,Wang,7,0,0,7,7,7,28,45,Silver medal
1990,Chao,Ku,7,7,6,7,5,1,33,24,Silver medal
2007,Tengyu,Ma,5,7,3,6,7,0,28,40,Silver medal
2018,Rui,Yao,7,7,0,7,7,2,30,49,Silver medal
2018,Qi,Ye,7,7,0,7,7,2,30,49,Silver medal
2003,You,Zhou,7,7,0,7,7,0,28,38,Silver medal
1996,Lie,Wang,5,7,7,7,0,1,27,36,Silver medal
1999,Wenbin,Kong,5,7,1,7,6,1,27,39,Silver medal
2013,Jiading,Rao,7,7,2,7,7,0,30,46,Silver medal
2005,Tongyuan,Zhao,4,7,0,7,7,7,32,47,Silver medal
1988,Guoheng,Wei,7,7,1,7,7,1,30,25,Silver medal
1988,Gang,Zou,7,7,1,7,7,1,30,25,Silver medal
2020,Binwei,Yan,7,7,0,7,7,1,29,59,Silver medal
2015,Zheng,Wang,7,6,1,7,2,0,23,58,Silver medal
2017,Xingjian,Zhou,7,1,0,7,1,7,23,64,Silver medal
2007,Han,Hu,3,7,3,7,7,0,27,55,Silver medal
1989,Huafei,Yan,7,7,7,7,7,0,35,32,Silver medal
2016,Zhengqin,Song,7,2,0,7,7,3,26,68,Silver medal
1988,Yuhan,Zha,7,7,1,7,7,0,29,31,Silver medal
1988,Jianmei,Wang,7,6,1,7,7,1,29,31,Silver medal
2008,Tianqi,Wu,7,7,7,7,0,0,28,64,Silver medal
1991,Zaoyang,Guo,7,7,4,7,7,4,36,39,Silver medal
1994,Haidong,Wang,7,7,7,7,7,0,35,49,Silver medal
1996,Kaihua,Cai,7,7,3,5,0,1,23,62,Silver medal
1994,Ting,Li,7,7,7,7,6,0,34,58,Silver medal
1994,Chenhai,Xi,7,7,7,7,6,0,34,58,Silver medal
1999,Qihui,Zhu,7,7,0,7,0,1,22,70,Silver medal
1991,Tongwei,Liu,7,7,3,7,7,1,32,61,Silver medal
2024,Yuxing,Ye,7,7,2,7,0,0,23,125,Silver medal
1987,Zigang,Pan,7,7,6,7,7,0,34,51,Silver medal
1987,Qiang,Lin,1,7,7,5,7,7,34,51,Silver medal
2014,Yishan,Huang,7,7,1,7,0,0,22,124,Silver medal
1986,Qin,Jing,7,7,0,0,5,7,26,54,Silver medal
1996,Fu,Liu,4,7,1,5,0,1,18,111,Bronze medal
2012,Yutao,Liu,7,5,0,2,3,1,18,163,Bronze medal
1987,Xia,Gao,7,7,0,7,7,1,29,72,Bronze medal
1985,Sihao,Wu,7,7,0,2,0,0,16,83,Bronze medal
1986,Qiang,Lin,1,7,0,1,6,4,19,87,Bronze medal
1987,Jianxun,He,2,7,0,5,5,0,19,113,Bronze medal
1986,Jian,Shen,1,7,0,7,0,0,15,110,
