Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2010,Isaac Jean Eliel,Konan,7,7,0,7,0,0,21,106,Silver medal
2010,Allassane Salamy,Badélé,5,2,0,7,0,0,14,266,Honourable mention
2011,Allassane Salamy,Badélé,7,0,0,1,4,0,12,320,Honourable mention
2012,Allassane Salamy,Badélé,7,0,0,3,0,0,10,350,Honourable mention
2010,Gnoléba Ulrich Silvère,Goué,5,0,0,7,0,0,12,337,Honourable mention
2011,Abdoul Bamory,Cissé,7,0,0,1,1,0,9,378,Honourable mention
2018,Neba Eddie Ibrahim,Polneau,7,0,0,0,0,0,7,430,Honourable mention
2012,Kouadio Désiré Martial,Aguessi,7,0,0,1,0,0,8,398,Honourable mention
2012,Kpayerigue Arnaud,Silué,7,0,0,0,0,0,7,425,Honourable mention
2011,Gnoléba Ulrich Silvère,Goué,2,0,0,1,2,0,5,449,
2011,Daza Louis,Zadi,2,0,0,0,2,0,4,466,
2024,Kouassi Noah Kevin,Ekue,6,0,0,0,0,0,6,511,
2012,Koffi Kouamé Privat,Toto,3,0,0,1,0,0,4,465,
2024,Anne Jemima Akissi,N'guessan,2,0,0,3,0,0,5,522,
2011,Yves Carmel,Guebae,2,0,0,1,0,0,3,491,
2024,Mouhammad Abder-Raouf,Kone,2,0,0,0,1,0,3,533,
2010,Daza Louis,Zadi,5,0,0,0,0,0,5,461,
2024,Kouame Christ Elfried Carlos,Yao,2,0,0,0,0,0,2,551,
2024,Mohamed Habib Baba,Traore,1,0,0,1,0,0,2,551,
2014,Djoman Biédjui Samira Georgina,Danho,0,0,0,1,0,0,1,507,
2014,Yann Emmanuel Koffi,Kouacy,0,0,0,1,0,0,1,507,
2014,Vassina Hassane,Méité,0,0,0,1,0,0,1,507,
2018,Cheick Abdoul Karim Nouredine,Koné,1,0,0,0,0,0,1,538,
2017,Moussa,Nana,2,0,0,1,0,0,3,559,
2017,Siaka Davi,Ouattara,0,1,0,2,0,0,3,559,
2017,Kouakou Dieudonné,Kouassi,0,1,0,1,0,0,2,567,
2010,Yves Carmel,Guebae,2,0,0,0,0,0,2,484,
2024,Sie Kouadio Loic,Kone,1,0,0,0,0,0,1,565,
2011,Ehui Roméo,Kabran,0,0,0,0,1,0,1,530,
2017,Blaise-Pascal,Allo,0,0,0,1,0,0,1,582,
2017,Pihely Soraya,Blé,0,0,0,1,0,0,1,582,
2017,Yao Antoine Jean-Phillippe,Dormekpor,0,0,0,1,0,0,1,582,
2018,Kafalo Abdoul Kader Hassane,Coulibaly,0,0,0,0,0,0,0,565,
2018,Abonouan Eric Stéphane,Koffi,0,0,0,0,0,0,0,565,
2018,Atcho Hemerson Camp-Bellh,Nogbou,0,0,0,0,0,0,0,565,
2018,Koko Jean Marcel,Assouman,0,0,0,0,0,0,0,565,
2014,Gnalé Jean-Baptiste Florent,Zikakpé,0,0,0,0,0,0,0,544,
2014,Mariam,Anzoumana,0,0,0,0,0,0,0,544,
2014,Joseph Edgar Loïc,Sombo,0,0,0,0,0,0,0,544,
