Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2011,Humberto,Jiménez Alvarado,7,0,1,7,7,0,22,113,Silver medal
2007,Daniel,Campos Salas,3,7,0,7,2,0,19,133,Bronze medal
2012,Oscar,Arguedas Leiva,7,1,0,6,6,0,20,140,Bronze medal
2012,Tomás,Calderón Gómez,7,4,0,6,2,0,19,151,Bronze medal
2016,Daniel,León Jiménez,7,6,0,7,0,0,20,169,Bronze medal
2021,José Javier,Álvarez Pacheco,7,0,0,7,0,0,14,218,Bronze medal
2024,Carlos,Shum Apuy,7,0,0,6,7,0,20,216,Bronze medal
2024,Sebastian,Aguilar Pineda,6,0,0,7,7,0,20,216,Bronze medal
2018,Fernando,Trejos Suarez,7,0,0,5,7,0,19,215,Bronze medal
2009,Rafael Ángel,Rodríguez Arguedas,7,2,1,6,2,0,18,208,Bronze medal
2015,José Armando,Chacón Rodríguez,6,1,0,7,1,0,15,217,Bronze medal
2015,Kevin Gabriel,Coto Mora,7,0,0,7,1,0,15,217,Bronze medal
2006,Daniel,Campos Salas,7,0,1,7,0,0,15,189,Bronze medal
2018,Carlos Andrés,Solano Saltachín,7,3,0,7,1,0,18,228,Bronze medal
2008,Carlos,Bonilla Zúñiga,7,2,0,7,0,0,16,212,Bronze medal
2022,Carlos Felipe,Shum Apuy,7,7,0,7,3,0,24,247,Bronze medal
2016,José Armando,Chacón Rodríguez,7,0,0,7,0,2,16,253,Bronze medal
2014,Kimberly,Villalobos Carballo,7,2,0,7,2,0,18,238,Bronze medal
2010,Anthony Santiago,Chaves Aguilar,7,1,0,7,0,0,15,226,Bronze medal
2013,Humberto,Jiménez Alvarado,7,2,0,7,0,0,16,234,Bronze medal
2008,Karim Antonio,Vindas Yassine,7,1,0,7,0,0,15,238,Bronze medal
2023,Gabriel,Najmias Lang,7,3,0,7,2,0,19,279,Bronze medal
2012,Humberto,Jiménez Alvarado,7,0,0,7,0,0,14,254,Bronze medal
2016,Luis Alejandro,Kuffner Piñeiro,7,2,0,2,0,4,15,281,Honourable mention
2005,Juan,Alberto Vargas Mesén,1,7,0,1,0,2,11,249,Honourable mention
2011,Anthony Santiago,Chaves Aguilar,7,0,0,4,4,0,15,282,Honourable mention
2005,Daniel,Campos Salas,1,2,0,7,0,0,10,261,Honourable mention
2010,Jonathan,Valverde Lizano,7,0,0,7,0,0,14,266,Honourable mention
2020,José Javier,Álvarez Pacheco,7,2,0,5,0,0,14,317,Honourable mention
2018,Luis Diego,Mata Boschini,7,3,0,3,1,0,14,307,Honourable mention
2015,Daniel,León Jiménez,4,0,0,7,1,0,12,307,Honourable mention
2024,Gabriel,Najmias Lang,7,1,0,7,0,0,15,327,Honourable mention
2024,Luiscarlos De Jesus,Hernandez Hernandez,7,0,0,7,1,0,15,327,Honourable mention
2008,Alonso,Zamora Mejias,7,1,0,4,0,0,12,297,Honourable mention
2008,Rafael Ángel,Rodríguez Arguedas,7,1,0,3,1,0,12,297,Honourable mention
2009,Anthony Santiago,Chaves Aguilar,7,3,0,1,0,0,11,314,Honourable mention
2017,Luis Alejandro,Kuffner Piñeiro,7,0,0,7,0,0,14,342,Honourable mention
2022,José Javier ,Álvarez Pacheco,7,1,0,7,4,0,19,328,Honourable mention
2014,Daniel,León Jiménez,7,0,0,7,0,0,14,321,Honourable mention
2012,Oscar Emilio,Quesada Herrera,4,0,0,7,0,0,11,315,Honourable mention
2019,Carlos Andres,Solano Saltachin,7,0,0,4,2,0,13,361,Honourable mention
2022,Kristel Fiorella ,Acuña García,7,3,0,7,1,0,18,343,Honourable mention
2018,Eduardo,Salas Jiménez,7,1,0,2,1,0,11,350,Honourable mention
2023,Alejandro ,Campos Rojas,7,7,0,1,0,0,15,366,Honourable mention
2023,Carlos ,Shum Apuy,7,0,0,7,1,0,15,366,Honourable mention
2013,Juleana,Villegas Segura,1,0,0,7,2,0,10,322,Honourable mention
2006,Karim Antonio,Vindas Yassine,7,1,0,4,0,0,12,308,Honourable mention
2016,Marco Antonio,Cabrera Aguilar,7,3,0,0,0,1,11,379,Honourable mention
2011,Tomás,Calderón Gómez,7,0,0,1,2,0,10,356,Honourable mention
2011,Oscar,Arguedas Leiva,7,0,0,1,2,0,10,356,Honourable mention
2017,Gabriel Javier,Collado Valverde,7,0,0,6,0,0,13,390,Honourable mention
2013,Kimberly,Villalobos Carballo,1,1,0,7,0,0,9,335,Honourable mention
2019,José Javier,Álvarez Pacheco,7,0,0,1,2,0,10,402,Honourable mention
2014,Kevin Gabriel,Coto Mora,5,0,0,7,0,0,12,366,Honourable mention
2014,Marco Antonio,Cabrera Aguilar,7,1,0,3,0,0,11,375,Honourable mention
2013,Colleen,Marín Aguilar,1,0,0,7,0,0,8,355,Honourable mention
2013,Daniel,León Jiménez,1,0,0,7,0,0,8,355,Honourable mention
2013,Jorge Aurelio,Víquez Bolaños,1,0,0,7,0,0,8,355,Honourable mention
2017,René David,Reyes Bardales,5,0,0,7,0,0,12,416,Honourable mention
2012,Juleana,Villegas Segura,7,0,0,2,0,0,9,373,Honourable mention
2015,Marco Antonio,Cabrera Aguilar,0,0,0,7,1,0,8,394,Honourable mention
2007,Karim Antonio,Vindas Yassine,0,1,0,7,0,0,8,365,Honourable mention
2022,Alejandro,Campos Rojas,2,4,0,7,1,0,14,420,Honourable mention
2020,José Eduardo,López Corella,7,0,0,0,0,0,7,445,Honourable mention
2008,Daniel,Barrantes Garbanzo,7,0,0,0,0,0,7,392,Honourable mention
2023,Carlos Manuel,Navarro Mora,7,1,0,1,0,0,9,459,Honourable mention
2023,Sergio Manuel,Baldares Arce,2,0,0,7,0,0,9,459,Honourable mention
2017,Eduardo,Salas Jiménez,7,1,0,1,0,0,9,471,Honourable mention
2024,Beatriz,Sancho Chaves,1,0,0,7,0,0,8,475,Honourable mention
2014,Jose Sebastián,Pereira Cubillo,7,0,0,0,0,0,7,446,Honourable mention
2017,Luis Diego,Mata Boschini,7,0,0,1,0,0,8,497,Honourable mention
2022,Nicole,Lipschitz Kesselman ,7,0,0,0,1,0,8,493,Honourable mention
2005,José,Fabio Gómez Rodríguez,0,1,0,1,6,0,8,296,
2005,Eythan,Familier Cukier,0,4,0,1,0,0,5,341,
2014,José Armando,Chacón Rodríguez,3,6,0,1,0,0,10,387,
2021,Alejandro,Campos Rojas,2,0,0,2,0,0,4,439,
2019,Luis Diego,Mata Boschini,6,0,0,1,1,0,8,444,
2021,Nicole,Lipschitz Kesselman,1,0,0,0,2,0,3,459,
2009,Christopher Antonio,Trejos Castillo,2,1,0,2,0,0,5,429,
2005,Christian,Zamora Jaen,0,1,0,1,0,0,2,396,
2007,Andrés Alonso,Segura Medina,0,1,0,6,0,0,7,402,
2012,Kimberly,Villalobos Carballo,4,1,0,2,0,0,7,425,
2022,Gabriel,Najmias Lang,6,1,0,0,2,0,9,469,
2016,Gabriel Javier,Collado Valverde,1,0,0,4,0,0,5,481,
2021,Carlos,Shum Apuy,1,0,0,0,0,0,1,499,
2021,Danny,Solorzano Mayorga,1,0,0,0,0,0,1,499,
2018,Andrew Eliecer,Vargas Puffenberger,1,0,0,2,0,0,3,486,
2020,Antonio,Caravaca López,0,0,1,3,0,0,4,505,
2015,Erick Arturo,Cortés Gutiérrez,1,0,0,2,0,0,3,480,
2019,Eduardo,Salas Jiménez,1,0,0,0,1,0,2,523,
2020,Danny,Solórzano Mayorga,0,2,0,0,0,0,2,521,
2016,René David,Reyes Bardales,2,0,0,0,0,0,2,515,
2008,Daniel,Esquivel Barrantes,1,1,0,1,0,0,3,459,
2021,Maricruz,Vasquez Sandi,0,0,0,0,0,0,0,533,
2024,Juan Pablo,Hernandez Abarca,1,1,0,1,1,0,4,525,
2020,Nicole,Lipschitz Kesselman,0,1,0,0,0,0,1,532,
2005,Andrés Alonso,Segura Medina,0,0,0,1,0,0,1,445,
2019,Floria,Fang Zhang,1,0,0,0,0,0,1,540,
2007,Rafael Ángel,Rodríguez Arguedas,0,1,0,1,0,0,2,464,
2023,Bryan Gabriel,Hernández Siles,2,0,0,0,0,0,2,554,
2020,Maricruz,Vásquez Sandí,0,0,0,0,0,0,0,560,
2010,Oscar Emilio,Quesada Herrera,3,0,0,0,0,0,3,477,
2017,Melissa,Cai Shi,1,0,0,1,0,0,2,567,
2019,Carolina,Zamora Nasralah,0,0,0,0,0,0,0,573,
2015,Marianne,De Bedout Mora,0,0,0,0,0,0,0,553,
2009,Ezequiel,Heredia Fernández,0,0,0,0,0,0,0,547,
2007,Daniel José,Murillo Barrantes,0,0,0,0,0,0,0,506,
