Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2001,Jorge Erik,López Velázquez,7,6,2,7,5,4,31,33,Gold medal
2010,Reynaldo,Gil Pons,7,7,0,7,5,0,26,48,Silver medal
2008,Manuel,Candales Rodríguez,7,6,7,7,0,0,27,71,Silver medal
1997,Lorver,Duarte Puig,7,7,0,7,7,0,28,79,Silver medal
1993,Janko,Hernandez Cortes,7,7,0,5,3,0,22,73,Silver medal
1999,Olemis Lang,Camina,6,5,0,2,7,0,20,85,Silver medal
2001,Raúl,Arderí García,7,0,0,7,7,0,21,97,Silver medal
1981,Jose I.,Ariza,,,,,,,34,72,Silver medal
1978,Ricardo Gonzalez,Felipe,,,,,,,24,35,Bronze medal
1983,Abel,Torres,,,,,,,22,52,Bronze medal
2002,Mario,García Armas,7,7,0,4,2,0,20,145,Bronze medal
1996,Lorver,Duarte Puig,4,7,1,1,0,3,16,130,Bronze medal
1985,Jorge,Lodos Vigil,1,4,0,5,7,1,18,65,Bronze medal
2009,Reynaldo,Gil Pons,7,6,1,5,2,0,21,181,Bronze medal
2000,Rolando,Trujillo Rasúa,7,2,0,2,3,2,16,149,Bronze medal
2007,Douglas,Curbelo Aguilera,1,7,0,7,1,0,16,171,Bronze medal
2002,Ingmar,Vázquez García,6,5,0,7,1,0,19,160,Bronze medal
1997,Enrique,Portela García,3,7,1,4,5,0,20,155,Bronze medal
1991,Mijail,Borges Quintana,7,7,3,0,7,0,24,108,Bronze medal
2005,Alvaro Javier Fuentes,Suárez,3,6,0,1,7,0,17,175,Bronze medal
1998,Andres Gago,Alonso,2,7,1,2,7,0,19,145,Bronze medal
1993,Leonel,Robert Gonzalez,0,7,0,6,0,2,15,143,Bronze medal
1978,Rafael Pedrosa,Martinez,,,,,,,23,47,Bronze medal
1999,Franklin Vera,Pacheco,6,1,0,2,4,1,14,159,Bronze medal
1999,Daniel Hernández,Díaz,4,1,0,2,7,0,14,159,Bronze medal
1987,Alex,Gay Cabera,7,7,0,7,4,0,25,86,Bronze medal
1989,Rolando,Uranga Piña,0,7,0,7,7,2,23,108,Bronze medal
2005,Gerandy,Brito Montes de Oca,0,2,0,7,7,0,16,191,Bronze medal
2015,Humberto,Riverón Valdés,7,0,0,7,1,0,15,217,Bronze medal
1987,Jorge Luis,de Armas Garcia,5,7,0,4,7,0,23,91,Bronze medal
2003,Mario,García Armas,2,5,0,7,0,0,14,179,Bronze medal
1999,Yunior Sánchez,Fernández,4,0,0,2,7,0,13,178,Bronze medal
2000,Raúl,Arderí García,7,1,0,5,0,0,13,190,Bronze medal
1991,Alien Herrera,Torres,7,7,0,0,7,0,21,133,Bronze medal
1997,Alden,Torres Cuón,0,7,0,5,4,0,16,200,Bronze medal
2004,Jorge E,Moreira Broche,7,4,3,0,3,0,17,212,Bronze medal
1985,Daniel,Alfaro Vigo,7,5,0,2,0,1,15,93,Bronze medal
2001,Pavel,Silveira Díaz,7,1,0,2,2,0,12,212,Bronze medal
2001,Tania,Moreno García,6,0,1,3,2,0,12,212,Bronze medal
2001,Reydel,Pérez Pastó,7,0,2,0,3,0,12,212,Bronze medal
1999,Rolando,Trujillo Rasúa,2,2,0,2,6,0,12,202,Bronze medal
1990,Rolando,Uranga Piña,7,1,0,6,1,1,16,139,Bronze medal
2005,Edel,Pérez Castillo,7,1,0,5,0,0,13,238,Bronze medal
1984,A.,Torres Montoya,6,4,0,7,0,0,17,96,Bronze medal
1973,Luis,Sastra Vidal,2,6,3,0,6,0,17,66,Bronze medal
2000,Reydel,Pérez Pastó,7,0,0,0,1,2,10,230,Honourable mention
1993,Luis,Santiago Moreno,0,7,0,1,1,0,9,210,Honourable mention
1995,Lorver,Duarte Puig,6,0,0,4,7,0,17,210,Honourable mention
2024,Marcel,Gámez Salvó,7,0,0,7,0,1,15,327,Honourable mention
1995,Walter,Carballosa Torres,7,0,0,2,7,0,16,222,Honourable mention
1989,Jorge Alejandro,Piñero Barcelo,1,7,0,3,5,0,16,162,Honourable mention
2000,Noslen,Hernandez Gonzalez,7,1,0,0,1,0,9,260,Honourable mention
2005,Abdel,Alberto García Mola,0,1,0,7,0,0,8,296,Honourable mention
2013,Lázaro Ángel,Ortiz Hechavarría,1,1,0,7,2,0,11,306,Honourable mention
2002,Pavel,Silveira Díaz,1,7,0,1,1,0,10,281,Honourable mention
2002,Dagnier Antonio Curra,Sosa,0,1,1,7,1,0,10,281,Honourable mention
2024,Ailema,Matos Rodríguez,7,0,0,7,0,0,14,366,Honourable mention
2024,Ián David,Lorenzo García,7,0,0,7,0,0,14,366,Honourable mention
2024,Ricardo Miguel,Molano Dominguez,7,0,0,7,0,0,14,366,Honourable mention
2019,Juliet,Bringas Miranda,3,2,0,7,0,0,12,376,Honourable mention
1997,Maikel,Garma de la Osa,0,7,0,1,2,0,10,285,Honourable mention
2019,Sofia Albizu,Campos Rodríguez,7,1,0,1,2,0,11,386,Honourable mention
2017,Marcos Manuel,Tirador del Riego,5,1,0,7,0,0,13,390,Honourable mention
1991,Ariel Almendral,Vazquez,4,0,0,1,7,0,12,202,Honourable mention
2002,Andrés Sánchez,García,0,7,0,0,1,0,8,308,Honourable mention
1997,Ramiro,Feria Purón,1,7,0,0,0,1,9,299,Honourable mention
1989,Castor José,Alvarez Bebesa,0,4,0,0,7,0,11,190,Honourable mention
1992,Hugo,de La Cruz Canc,0,1,0,7,0,0,8,211,Honourable mention
1991,Alcides Morales,Guedes,7,3,0,0,1,0,11,210,Honourable mention
2014,Humberto,Riverón Valdés,1,1,0,7,1,0,10,387,Honourable mention
1994,Moreno Santiago,Luis,0,7,0,4,1,0,12,268,Honourable mention
1997,Rafael Arturo,Trujillo Rasúa,0,0,0,1,7,0,8,322,Honourable mention
1989,Li-Vang,Lozada Chang,0,0,2,0,0,7,9,204,Honourable mention
1990,Guido,Jorge Castro Odio,7,1,0,0,3,0,11,216,Honourable mention
1988,Rene,Guerra Millet,7,0,0,0,0,0,7,195,Honourable mention
2023,Karla Yisel,Ramírez Garcell,7,0,0,0,2,0,9,459,Honourable mention
2022,Elvis ,Cabrera Leal,7,0,0,0,2,0,9,469,Honourable mention
2024,Karla Yisel,Ramirez Garcel,7,0,0,0,0,0,7,487,Honourable mention
1985,Angel Ribalta,Stanford,7,0,0,0,7,0,14,102,
1984,J. R.,Presa Sague,2,7,0,7,0,0,16,99,
1995,Alexander Alvarez,Hernandez,6,0,5,5,0,0,16,222,
2002,Franklin,Rivero Duarte,6,0,0,4,1,0,11,266,
1981,Andrei,Martinez,,,,,,,25,104,
1985,Guillermo Reyes,Souto,7,1,0,0,3,0,11,118,
1987,Rene,Guerra Millet,4,0,0,3,7,0,14,135,
1990,Mijail,Borges Quintana,4,1,4,1,3,0,13,184,
1982,René,Dager Salomon,4,0,2,5,6,0,17,73,
1982,Ernesto,Moreno Frias,4,6,0,0,7,0,17,73,
1986,?,?,7,1,0,2,3,0,13,129,
1984,M. T.,Alzugaray Rodriguez,5,7,0,0,0,0,12,118,
1987,Nelson,Navarro Navarro,1,7,1,1,2,0,12,146,
1985,Alfredo Herrera,Hérnandez,7,0,0,0,3,0,10,129,
1977,Garcia Carlos,De Armas,,,,,,,13,97,
1977,Sague Arturo,Presa,,,,,,,13,97,
1981,Domingo,Louis,,,,,,,22,117,
1986,?,?,3,0,0,7,2,0,12,133,
1984,M.,Perera Chang,2,3,0,3,1,2,11,123,
1976,Sarah Maria,Duyos,0,0,7,1,0,5,13,90,
2000,Orlando,Cabrera Baez,0,1,0,6,0,0,7,309,
1989,Fremior,Camba Aldanás,4,4,0,2,0,0,10,196,
1981,Jorge L.,Barreras,,,,,,,19,126,
1993,Ailin,Ruiz de Zarate,0,0,0,0,3,2,5,284,
1988,Sergio,Torres,6,0,1,0,1,0,8,185,
1995,Héctor Antonio,Mesa Barrameda,6,0,3,1,0,0,10,291,
1972,?,?,,,,,,,10,76,
1991,Mirta,Castro Smirnova,2,5,0,0,2,0,9,226,
1992,Janko,Hernandez Cortes,0,1,0,6,0,0,7,229,
1971,?,?,,,,,,,4,82,
1986,?,?,3,0,2,4,0,1,10,151,
2000,Jorge Erik,López Velázquez,2,1,0,1,0,2,6,333,
2012,Lázaro Ángel,Ortiz Hechavarría,2,6,0,0,0,0,8,398,
1990,Alien Herrera,Torres,4,1,1,2,1,1,10,225,
1990,Julio,Cesar Exposito Garcia,1,2,2,3,1,1,10,225,
2001,Evelín,Fonseca Cruz,3,0,0,1,0,0,4,347,
1974,Ramiro,Ochoa Julve,3,0,0,2,5,5,15,104,
1984,Karel,Roiz Wilson,2,1,1,0,4,0,8,144,
1988,Carlos,Mora,5,1,0,0,0,0,6,201,
1988,Aldo,Rodriguez,1,4,1,0,0,0,6,201,
1988,Daniel,Lodos,3,0,1,2,0,0,6,201,
1979,?,?,3,0,2,4,2,0,11,126,
1981,Raul,Perez,,,,,,,14,141,
1985,Karel,Roiz Wilson,2,0,0,3,0,1,6,160,
1973,Luis,Prado García,6,0,0,3,0,0,9,96,
1971,?,?,,,,,,,3,90,
1983,Juan Carlos,Sanchez,,,,,,,4,146,
1983,Nelson,Gonzalez,,,,,,,4,146,
1974,Sarah Maria,Duyos,5,0,0,5,2,1,13,111,
1979,?,?,0,5,3,0,1,1,10,132,
1977,Crespo Jorge,Fernandez,,,,,,,8,124,
1979,?,?,2,1,0,5,0,1,9,135,
1986,?,?,3,0,1,0,4,0,8,172,
1993,Hugo,de La Cruz Canc,0,0,0,2,1,0,3,339,
1973,Jorge Carlos,Estrasa,0,0,0,2,6,0,8,103,
1987,Aldo,Rodriguez Gonzales,2,3,0,0,0,0,5,196,
1977,Rafael Pedrosa,Martinez,,,,,,,7,129,
1978,Alberto Ochoa,Rodriguez,,,,,,,12,111,
1981,René,Dager Salomon,,,,,,,12,156,
1983,Ricardo,Gomez,,,,,,,2,158,
1983,Rodolfo,Toledo,,,,,,,2,158,
1983,José,Presa,,,,,,,2,158,
1987,Luis,Artiles Martinez,1,0,0,2,1,0,4,203,
1974,Angel,Perez,5,1,1,2,1,1,11,120,
2024,Damiam David,Fuentes Campos,1,0,0,3,0,0,4,525,
1990,Li-Vang,Lozada Chang,0,1,1,2,3,0,7,266,
1984,Daniel,Alfaro Vigo,2,1,0,0,0,0,3,166,
1978,Javier Avalons,Llerena,,,,,,,9,115,
1993,Erwin,Mina Diaz,0,1,0,0,1,0,2,360,
1982,Alejandro Bandinez,O'Farrill,2,1,2,0,2,0,7,104,
1999,Román Fresneda,Quiroga,3,0,0,0,0,1,4,394,
1991,Rely,Pellicer Bidot,1,1,0,0,1,0,3,279,
1981,Marco A.,Gonzalez,,,,,,,9,164,
2023,Aser,Acosta Carrión,2,0,0,0,0,0,2,554,
1986,?,?,3,0,0,2,0,0,5,189,
2022,Thalía Faustina,Zayas Suárez,1,1,0,2,0,0,4,532,
1988,Rolando,Uranga Piña,2,0,0,0,0,0,2,243,
1974,Enrique,Marill,5,0,0,4,1,0,10,127,
1982,Alberto Jiménez,Moreno,2,0,0,0,1,0,3,108,
1981,Ernesto,Moreno Frias,,,,,,,6,169,
1972,?,?,,,,,,,2,98,
1972,?,?,,,,,,,2,98,
1979,?,?,0,0,1,1,2,1,5,152,
1971,?,?,,,,,,,1,106,
1971,?,?,,,,,,,1,106,
1992,Pedro Luis,Alonso,0,1,1,0,0,0,2,297,
1973,Ramiro,Ochoa Julve,0,0,0,4,0,0,4,116,
1973,Alberto Juan,León Escobio,1,0,0,2,1,0,4,116,
1974,Jose,Anta,3,0,0,4,1,0,8,131,
1986,?,?,0,0,0,2,1,0,3,199,
1976,Arturo,Presa,0,0,2,0,0,0,2,133,
