Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2015,Andreas,Stavrou,7,1,4,7,3,0,22,76,Silver medal
2024,Theofanis,Orfanou,7,1,0,7,7,1,23,125,Silver medal
2009,Christos,Anastassiades,7,7,1,7,3,0,25,117,Silver medal
2023,Ara,Mahdessian,7,7,3,7,2,0,26,128,Silver medal
2016,Stelios,Stylianou,7,1,0,7,0,7,22,137,Silver medal
2024,Ara,Mahdessian,7,7,0,7,1,0,22,147,Silver medal
1986,Marios,Papadopoulos,7,7,0,7,4,1,26,54,Silver medal
2017,Angelos,Pelecanos,7,4,0,7,0,0,18,139,Bronze medal
2013,Andreas,Stavrou,7,2,5,7,2,0,23,138,Bronze medal
2017,Andreas,Economou,7,3,0,7,0,0,17,188,Bronze medal
2017,Andreas,Theocharous,7,3,0,7,0,0,17,188,Bronze medal
2017,Angelos,Assos,7,3,0,7,0,0,17,188,Bronze medal
2001,Nikolas,Socratous,4,7,1,1,3,0,16,148,Bronze medal
1998,Evis,Ieronymou,7,2,2,7,2,0,20,134,Bronze medal
2018,Angelos,Assos,7,6,0,7,1,0,21,193,Bronze medal
2004,Sofoklis,Zambirinis,7,2,0,7,5,0,21,159,Bronze medal
2010,Christos,Anastassiades,4,7,0,7,0,0,18,174,Bronze medal
1990,Giorgos,Zacharia,7,3,1,2,3,3,19,106,Bronze medal
2001,Evripides,Loukaides,6,7,0,0,1,1,15,164,Bronze medal
2001,Christina,Savvidou,5,7,1,0,2,0,15,164,Bronze medal
1984,Petros,Hadjicostas,7,7,0,4,2,1,21,69,Bronze medal
2008,Michael,Anastos,7,1,0,4,5,0,17,199,Bronze medal
2023,Filippos Athos,Chatzichristofi,7,7,0,7,0,0,21,237,Bronze medal
2011,Christos,Anastassiades,7,0,0,7,2,1,17,222,Bronze medal
2001,Kyriakos,Zacharias,6,7,0,0,0,0,13,199,Bronze medal
2017,Stelios,Stylianou,7,2,0,7,0,0,16,265,Bronze medal
1985,Marios,Papadopoulos,7,0,0,4,0,4,15,93,Bronze medal
1992,Giorgos,Zacharia,1,4,0,7,1,1,14,146,Bronze medal
2024,Filippos Athos,Chatzichristofi,7,1,0,7,0,1,16,283,Bronze medal
2016,Marios,Voskou,7,0,0,7,1,0,15,281,Honourable mention
2022,Theofanis,Orfanou,7,7,0,7,1,0,22,286,Honourable mention
2019,Angelos,Assos,7,1,0,6,2,0,16,303,Honourable mention
2007,Giorgios,Charalambous,0,7,0,6,0,0,13,254,Honourable mention
2007,Christos,Anastassiades,3,2,0,7,1,0,13,254,Honourable mention
2000,Themistoklis,Charalambous,7,1,0,1,1,0,10,230,Honourable mention
2008,Christos,Anastassiades,7,1,0,4,2,0,14,268,Honourable mention
1999,Georgos,Palechoros,7,0,2,2,0,0,11,227,Honourable mention
2005,Markos,Charalambides,1,1,1,7,0,0,10,261,Honourable mention
2023,Axel,Dobloug,7,1,0,7,2,0,17,315,Honourable mention
2001,Giorgos,Kafataris,2,7,1,0,0,0,10,243,Honourable mention
2020,Charalampos,Georgiou,7,0,0,7,0,0,14,317,Honourable mention
2020,Ioannis,Charalambous,7,2,0,0,5,0,14,317,Honourable mention
2021,Ioannis,Charalambous,3,0,0,7,0,0,10,319,Honourable mention
1994,Ernestos,Panayiotou,1,7,3,2,2,2,17,205,Honourable mention
2012,Anastasios,Stylianou,7,0,0,2,3,0,12,302,Honourable mention
2001,Sofoklis,Zambirinis,0,7,1,0,1,0,9,262,Honourable mention
2015,Stelios,Stylianou,4,0,0,7,0,0,11,322,Honourable mention
1988,Andreas,Achilleos,2,1,1,0,7,0,11,150,Honourable mention
2011,Georgios,Panagopoulos,7,0,1,1,3,0,12,320,Honourable mention
2014,Thomas,Thoma,7,0,0,7,0,0,14,321,Honourable mention
2014,Marios,Voskou,7,0,0,7,0,0,14,321,Honourable mention
2014,Andreas,Stavrou,7,0,0,7,0,0,14,321,Honourable mention
2022,Panagiotis,Chatzikostas,7,3,0,7,1,0,18,343,Honourable mention
2022,Ara,Mahdessian,7,1,0,7,3,0,18,343,Honourable mention
2023,Kyriakos,Tsiannis,7,7,0,1,0,0,15,366,Honourable mention
2010,Panayiota,Katsamba,4,2,0,7,0,0,13,313,Honourable mention
2010,Michael,Anastos,4,1,0,7,1,0,13,313,Honourable mention
2021,Kyriakos,Tsiannis,7,0,0,0,0,0,7,372,Honourable mention
1998,Demetris,Christofides,7,1,0,1,0,0,9,253,Honourable mention
2013,Georgios Rafael,Patsalidis,1,2,0,7,0,0,10,322,Honourable mention
2018,Marios,Avraamidis,0,3,0,7,0,0,10,368,Honourable mention
2023,Panagiotis,Chatzikostas,7,0,0,7,0,0,14,385,Honourable mention
2016,Angelos,Pelecanos,1,0,0,7,3,0,11,379,Honourable mention
2013,Anastasios,Stylianou,1,0,0,7,1,0,9,335,Honourable mention
