Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2010,Mathias Bæk Tejs,Knudsen,4,7,1,5,7,7,31,13,Gold medal
2008,Sune Kristian,Jakobsen,7,1,1,7,7,1,24,107,Silver medal
2011,Asbjørn Christian,Nordentoft,7,0,1,7,7,0,22,113,Silver medal
2009,Mathias Bæk Tejs,Knudsen,7,7,0,4,7,0,25,117,Silver medal
2019,Marius Christian,Fischer,7,6,0,5,7,0,25,132,Silver medal
1993,No,Netterstrøm,7,0,5,0,6,2,20,91,Silver medal
2008,Asger Kjærulff,Jensen,7,1,0,7,7,0,22,127,Silver medal
2017,Iustin,Beldie,7,1,0,7,3,0,18,139,Bronze medal
2022,Mikkel Sigurd Ebbesen,Haagh,7,7,1,7,6,0,28,146,Bronze medal
2007,Sune Kristian,Jakobsen,7,1,2,7,1,1,19,133,Bronze medal
1999,Thomas,Kragh,5,0,7,1,0,3,16,129,Bronze medal
2018,Marius Christian,Fischer,7,7,0,7,1,0,22,174,Bronze medal
1993,Bjarne,Knudsen,0,0,7,2,6,2,17,122,Bronze medal
2023,Luna Skjernaa,Mygind,7,0,3,7,6,0,23,183,Bronze medal
2023,Daniel Pham,Nguyen,7,7,0,7,0,2,23,183,Bronze medal
2012,Asbjørn Christian,Nordentoft,7,7,0,4,0,0,18,163,Bronze medal
2024,Theodor Boaz,Pedersen,7,0,0,7,7,0,21,182,Bronze medal
2005,Martin,Wedel Jacobsen,2,1,1,7,6,1,18,156,Bronze medal
2015,Eigil Fjeldgren,Rischel,7,1,0,7,1,0,16,183,Bronze medal
2020,Johan,Skak,7,0,7,7,0,0,21,206,Bronze medal
2020,Magnus Ridder,Olsen,7,0,0,7,7,0,21,206,Bronze medal
2005,Eske,Sparsø,7,2,0,7,0,1,17,175,Bronze medal
2018,Alex Villaro Y,Krüger,7,2,0,4,7,0,20,204,Bronze medal
2019,Alex Villaro,Krüger,7,7,0,0,7,0,21,214,Bronze medal
2004,Martin,Wedel Jacobsen,7,3,0,7,0,3,20,169,Bronze medal
2021,Johan,Skak,7,0,0,7,0,0,14,218,Bronze medal
1999,Anders,Schack-Nielsen,7,2,2,1,1,1,14,159,Bronze medal
2014,Jakob Bæk Tejs,Knudsen,7,6,0,7,0,0,20,200,Bronze medal
2018,Jingdan,Hua,7,4,0,7,0,1,19,215,Bronze medal
2015,Mads Bach,Villadsen,7,1,0,7,0,0,15,217,Bronze medal
2010,Nikolaj,Kammersgaard,7,0,0,7,2,0,16,199,Bronze medal
2020,Jingdan,Hua,7,7,1,4,0,0,19,236,Bronze medal
1996,Mads,Gydesen,2,3,0,0,1,7,13,164,Bronze medal
1993,Jesper,Østergaard Jensen,1,2,0,3,3,4,13,161,Bronze medal
1993,Frederik,Schaffalitzky,6,0,0,0,5,2,13,161,Bronze medal
2014,Morten Konggaard,Schou,6,6,0,7,0,0,19,221,Bronze medal
2000,Anders,Schack-Nielsen,3,1,2,7,0,0,13,190,Bronze medal
2019,Oskar Nikolaj Press,Mathiasen,7,0,5,0,7,0,19,256,Bronze medal
2009,Niels,Olsen,7,5,1,1,2,0,16,233,Bronze medal
2022,Benjamin Boholt,Hilton,7,7,0,7,3,0,24,247,Bronze medal
1996,Kai Dainkhe,Christensen,4,0,2,0,0,6,12,180,Bronze medal
1994,Bjarne,Knudsen,7,7,1,1,5,0,21,165,Bronze medal
