Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2024,Emil Alejandro,Peralta Cabrera,7,0,0,7,0,0,14,366,Honourable mention
2024,Gianmarco,Sangiovanni Castellanos,7,0,0,0,7,0,14,366,Honourable mention
2024,Enmanuel Starlin,Germosén De Los Santos,7,0,0,0,0,0,7,487,Honourable mention
2022,Miguel Angel ,Hernández Lora,1,0,0,7,0,0,8,493,Honourable mention
2022,Natalia Mia,Cedano Sanchez,0,0,0,7,0,0,7,510,Honourable mention
2019,Franco,Almonte Bacci,1,0,0,0,2,0,3,504,
2023,Enmanuel Starlin,Germosen De los Santos,2,0,0,1,1,0,4,527,
2023,Miguel Angel ,Hernandez Lora,1,0,0,2,0,0,3,535,
2022,Juan Manuel,Jimenez Alberto,6,1,0,0,0,0,7,510,
2019,Lee,Jin Woo,1,0,0,0,0,0,1,540,
2019,Rafaelito,Amador del Orbe,1,0,0,0,0,0,1,540,
2023,Gianmarco,Sangiovanni Castellanos,2,0,0,0,0,0,2,554,
2023,Iraira Lucia,Rivera Rojas ,2,0,0,0,0,0,2,554,
2024,Wilfrin,Vizcaíno Peña,1,0,0,0,1,0,2,551,
2019,Isanny,Tejeda Guzman,0,0,0,0,0,0,0,573,
2019,Vladislav,Ryabinin,0,0,0,0,0,0,0,573,
2022,Johanny Elibel,Pérez Muñoz,1,0,0,2,0,0,3,544,
2024,Luis Daniel,Valdés George,1,0,0,0,0,0,1,565,
2024,Johnny Ho,Chen,1,0,0,0,0,0,1,565,
2023,Rinaldo Antonio,Garcia Beltres,1,0,0,0,0,0,1,589,
2023,Natalia Mia,Cedano Sanchez,1,0,0,0,0,0,1,589,
2022,Iraira Lucia ,Rivera Rojas,1,0,0,0,0,0,1,563,
