Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2013,Carlos,Cortéz,7,7,0,7,2,0,23,138,Bronze medal
2012,Carlos,Cortéz,7,6,0,6,0,0,19,151,Bronze medal
2020,Yu,Jiamao,7,7,0,7,1,0,22,181,Bronze medal
2011,Carlos,Cortéz,7,0,0,7,6,0,20,171,Bronze medal
2017,Sebastian,Regalado,7,3,0,7,0,0,17,188,Bronze medal
2021,Jiamao,Yu,7,0,0,7,0,0,14,218,Bronze medal
2024,Keny,Carlosama,5,0,0,7,7,0,19,227,Bronze medal
2006,Fernando Daniel,Gómez Sánchez,7,1,0,7,0,0,15,189,Bronze medal
2010,Miguel,Ordóñez,7,1,0,7,0,0,15,226,Bronze medal
2007,Qi,Han,1,6,0,7,0,0,14,226,Bronze medal
2005,Fernando Daniel,Gómez Sánchez,1,4,0,7,2,0,14,225,Bronze medal
2021,Miguel,Guzman,5,0,0,7,0,0,12,290,Bronze medal
2018,Ana Paula,Indacochea,7,1,0,6,1,0,15,290,Honourable mention
2020,Yu,Peng,7,0,0,7,0,0,14,317,Honourable mention
2016,Sebastián,Regalado,7,0,0,7,0,0,14,312,Honourable mention
2015,Paolo,Cuéllar,4,0,0,7,1,0,12,307,Honourable mention
2018,Yu,Peng,1,2,0,7,1,2,13,320,Honourable mention
2004,Fernando Daniel,Gómez Sánchez,7,0,1,2,3,0,13,272,Honourable mention
2012,Javier,Perez,7,0,0,0,4,0,11,315,Honourable mention
2018,Pedro Andrés,Suárez,7,1,0,2,1,0,11,350,Honourable mention
2010,Xavier,Soriano,4,2,0,7,0,0,13,313,Honourable mention
2019,Pedro,Suarez,7,2,0,1,2,0,12,376,Honourable mention
2009,Xavier,Soriano,1,1,0,7,0,0,9,354,Honourable mention
2015,Anthony,Flores,1,0,0,7,1,0,9,365,Honourable mention
2020,Jahir Manuel,Cajas Toapanta,7,2,0,0,0,0,9,395,Honourable mention
2020,Leonardo,Zambrano,7,2,0,0,0,0,9,395,Honourable mention
2020,Jhosue Esteban,Infante Carvajal,7,2,0,0,0,0,9,395,Honourable mention
2008,Qi,Han,7,1,0,1,0,0,9,346,Honourable mention
2019,Yu,Peng,7,0,0,0,2,0,9,417,Honourable mention
2013,Javier,Perez,0,1,0,7,0,0,8,355,Honourable mention
2017,Christopher,Molina,5,0,0,7,0,0,12,416,Honourable mention
2020,Miguel,Guzmán,7,0,1,0,0,0,8,419,Honourable mention
2012,Omar,Paladines,7,0,0,2,0,0,9,373,Honourable mention
