Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2018,Ahmed,Abdelaziz,1,0,0,7,0,0,8,413,Honourable mention
2021,Ahmad,Elsaieed,1,0,0,0,1,0,2,470,
2019,Ahmed,Sharaf,1,1,0,0,2,0,4,489,
2019,Zyad,Hassan,1,0,0,0,3,0,4,489,
2019,Abdelrahman,Aboubih,1,0,0,1,0,0,2,523,
2019,Adham,Ahmed,0,0,0,0,2,0,2,523,
2016,Moaaz,Alqady,0,2,0,0,0,0,2,515,
2016,Noha,Aboqara,2,0,0,0,0,0,2,515,
2018,John,Attia,0,2,0,0,0,0,2,511,
2021,Mohamed,Mostafa,0,0,0,0,0,0,0,533,
2016,Marim,Faroun,1,0,0,0,0,0,1,539,
2017,Zyad,Hassan,1,0,0,1,0,0,2,567,
2016,Ahmad,El Gazzar,0,0,0,0,0,0,0,568,
2016,Hatem,Mousa,0,0,0,0,0,0,0,568,
2017,Khaled,Hagras,1,0,0,0,0,0,1,582,
2018,Bassant,Mohamed,0,0,0,0,0,0,0,565,
2018,Emil,Yousef,0,0,0,0,0,0,0,565,
2017,Abdelrahman,Elawadly,0,0,0,0,0,0,0,604,
