Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2023,Ruben Mason,Carpenter,7,7,3,7,7,0,31,55,Silver medal
2006,Hugo,Fernández Hervás,7,7,0,7,3,0,24,52,Silver medal
2010,Moisés,Herradón Cueto,7,1,0,7,7,1,23,64,Silver medal
2020,Ignacio,Císcar Múgica,7,7,0,7,7,0,28,86,Silver medal
2012,Óscar,Rivero,7,7,0,7,0,1,22,96,Silver medal
1993,Antonio,Rojas Leon,7,3,0,7,3,0,20,91,Silver medal
2020,Pau,Cantos Coll,7,2,0,7,7,1,24,140,Silver medal
1986,Ricardo,Perez Marco,5,6,2,7,7,0,27,51,Silver medal
2017,Jordi,Rodríguez Manso,7,4,0,7,0,0,18,139,Bronze medal
2011,Pablo,Boixeda,7,0,0,7,7,0,21,145,Bronze medal
1999,Ramón José,Aliaga Varea,6,0,2,3,4,2,17,119,Bronze medal
2019,Pau,Cantos Coll,7,1,0,7,7,0,22,168,Bronze medal
2014,Gonzalo,Cao,7,5,0,7,2,0,21,163,Bronze medal
2020,Javier,Nistal Salas,7,7,0,7,1,0,22,181,Bronze medal
2020,Leonardo,Costa Lesage,7,0,0,7,7,1,22,181,Bronze medal
2023,Darío,Martínez Ramírez,7,1,0,7,7,1,23,183,Bronze medal
2003,Victor,González Alonso,7,1,0,7,1,0,16,138,Bronze medal
2016,Daniel,Puignau,7,1,0,7,4,0,19,184,Bronze medal
2017,Rafah,Hajjar Muñoz,7,3,0,7,0,0,17,188,Bronze medal
2010,Ander,Lamaison,7,0,2,7,0,3,19,167,Bronze medal
1987,Fernando,Galve Mauricio,7,6,0,7,7,1,28,78,Bronze medal
2007,Diego Bruno,Izquierdo Arseguet,4,3,0,7,2,0,16,171,Bronze medal
2007,Adrián,Rodrigo Escudero,6,1,0,7,2,0,16,171,Bronze medal
2011,Óscar,Rivero,7,1,0,7,4,0,19,186,Bronze medal
1995,Angel,Paredes Galan,7,0,5,6,7,0,25,137,Bronze medal
2020,Mario,Marcos Losada,7,0,0,7,7,0,21,206,Bronze medal
2009,Moisés,Herradón Cueto,5,3,0,5,7,0,20,190,Bronze medal
2005,Elisa,Lorenzo García,7,1,0,7,2,0,17,175,Bronze medal
2019,Leonardo,Costa Lesage,7,0,0,7,7,0,21,214,Bronze medal
2016,Alberto,Acosta Reche,7,0,0,7,3,0,17,224,Bronze medal
2024,Maxim,Dudik,7,5,0,7,0,0,19,227,Bronze medal
2015,Ismael,Sierra,7,0,0,7,1,0,15,217,Bronze medal
2006,Xavier,Ros Otón,7,0,1,7,0,0,15,189,Bronze medal
2006,Javier,de la Nuez González,7,1,0,6,1,0,15,189,Bronze medal
2010,Xavier,Fernández-Real,6,0,0,3,7,0,16,199,Bronze medal
2023,Jordi,Ferré García,7,4,0,7,3,0,21,237,Bronze medal
2023,Roger,Lidón Ardanuy,3,4,0,7,7,0,21,237,Bronze medal
1992,Roger Espel,Llima,5,7,0,1,0,3,16,125,Bronze medal
2022,Roger,Lidón Ardanuy,7,7,1,7,3,0,25,230,Bronze medal
2022,Jordi,Ferré García,6,6,0,7,6,0,25,230,Bronze medal
2022,Álvaro,Gamboa Rodríguez,7,4,0,7,7,0,25,230,Bronze medal
2011,Jaime,Mendizábal,7,1,0,7,2,0,17,222,Bronze medal
2014,Raúl,Alonso,6,6,0,7,0,0,19,221,Bronze medal
2002,Luis,Hernández Corbato,7,0,0,7,2,0,16,191,Bronze medal
1987,Santiago,Vila Doncel,7,7,1,0,7,0,22,95,Bronze medal
2013,Marc,Felipe,7,0,0,7,3,0,17,211,Bronze medal
2004,Maite,Peña Alcaraz,7,5,1,3,2,0,18,200,Bronze medal
2019,Albert,López Bruch,7,1,0,4,7,0,19,256,Bronze medal
1986,Juan,D. Gonzales Cobas,5,7,0,0,7,0,19,87,Bronze medal
1989,Vicente,Muñoz Velazquez,0,7,3,0,7,4,21,122,Bronze medal
1998,Jaime,Vinuesa del Río,2,7,0,0,7,0,16,176,Bronze medal
2001,Luis,Hernández Corbato,6,0,0,7,0,0,13,199,Bronze medal
2018,Santiago,Vázquez Sáez,7,1,0,2,7,0,17,250,Bronze medal
2014,Ismael,Sierra,7,4,0,7,0,0,18,238,Bronze medal
2017,Alberto,Acosta Reche,7,7,0,2,0,0,16,265,Bronze medal
2021,Àlex,Rodríguez García,6,0,0,0,7,0,13,268,Bronze medal
2009,Glenier Lázaro,Bello Burguet,7,7,1,0,0,0,15,249,Bronze medal
2009,Iván,Geffner,7,3,0,3,2,0,15,249,Bronze medal
2009,Ander,Lamaison,7,1,0,0,7,0,15,249,Bronze medal
2020,Álvaro,Acitores Montero,7,2,0,0,7,0,16,272,Bronze medal
2019,Oriol,Baeza Guasch,7,4,0,4,2,0,17,275,Bronze medal
2019,Pablo,Soto Martín,1,7,0,7,2,0,17,275,Bronze medal
2008,Arnau,Messegué Buisan,7,1,0,7,0,0,15,238,Bronze medal
2008,Diego Bruno,Izquierdo Arseguet,5,1,0,7,2,0,15,238,Bronze medal
