Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2021,Ralf Joosep,Kask,7,0,0,7,7,0,21,105,Silver medal
2002,Martin,Pettai,7,7,1,7,2,0,24,86,Silver medal
2018,Richard,Luhtaru,7,7,0,7,5,1,27,111,Silver medal
2017,Richard,Luhtaru,7,4,0,7,1,0,19,115,Silver medal
2022,Kristjan-Erik,Kahu,7,7,1,7,6,1,29,112,Silver medal
2019,Artur,Avameri,7,6,0,6,7,0,26,122,Silver medal
1998,Meelis,Kull,2,7,2,7,7,0,25,86,Silver medal
2001,Hendrik,Nigul,7,3,1,7,3,0,21,97,Silver medal
2002,Hendrik,Nigul,7,6,1,7,2,0,23,99,Silver medal
2020,Hendrik,Vija,7,2,0,7,7,1,24,140,Silver medal
2024,Ervin,Ivanov,7,1,0,7,7,0,22,147,Silver medal
2023,Aleksei,Ganyukov,7,7,1,7,2,0,24,145,Bronze medal
2023,Bronislav,Shatil,7,7,1,7,2,0,24,145,Bronze medal
2005,Juhan,Aru,7,7,0,7,0,0,21,131,Bronze medal
2005,Laur,Tooming,7,7,0,1,0,6,21,131,Bronze medal
2006,Laur,Tooming,7,3,0,7,1,0,18,132,Bronze medal
1998,Rustam,Novikov,7,0,1,7,7,0,22,112,Bronze medal
2019,Hendrik,Vija,7,1,0,7,7,0,22,168,Bronze medal
2019,Richard,Luhtaru,7,1,0,7,7,0,22,168,Bronze medal
2001,Martin,Pettai,0,7,0,7,2,0,16,148,Bronze medal
2022,Ralf Joosep,Kask,7,6,1,7,6,0,27,187,Bronze medal
2006,Heiki,Niglas,7,1,1,7,0,0,16,161,Bronze medal
2007,Nikolai,Voitsehhovski,4,4,0,7,1,0,16,171,Bronze medal
1997,Rustam,Novikov,4,7,0,1,7,1,20,155,Bronze medal
2000,Hendrik,Nigul,7,2,0,5,1,0,15,161,Bronze medal
2021,Kristjan-Erik,Kahu,5,0,0,7,2,0,14,218,Bronze medal
2024,Kirill,Tselovalnikov,7,1,0,7,5,0,20,216,Bronze medal
2011,Aleksandr,Šved,7,7,0,3,1,0,18,202,Bronze medal
1994,Peeter,Laud,0,7,7,0,2,7,23,143,Bronze medal
2015,Joonas,Kalda,7,0,0,7,0,1,15,217,Bronze medal
2001,Leopold,Parts,3,1,0,7,3,0,14,181,Bronze medal
2001,Oleg,Petšonkin,7,0,0,0,7,0,14,181,Bronze medal
2020,Artur,Avameri,7,4,0,7,1,0,19,236,Bronze medal
2023,Kristjan-Erik,Kahu,7,3,1,3,7,0,21,237,Bronze medal
1993,Peeter,Laud,0,0,3,2,6,2,13,161,Bronze medal
2019,Toomas,Tennisberg,7,0,0,6,7,0,20,245,Bronze medal
2005,Jaan,Vajakas,0,7,0,7,0,1,15,207,Bronze medal
2019,Kaarel August,Kurik,6,0,0,7,6,0,19,256,Bronze medal
1997,Kaido,Kaarli,1,7,0,7,2,0,17,192,Bronze medal
2022,Bronislav,Shatil,7,7,0,7,3,0,24,247,Bronze medal
2016,Oliver,Nisumaa,7,2,0,7,0,0,16,253,Bronze medal
2020,Martin,Rahe,7,0,1,7,1,0,16,272,Bronze medal
2013,Janno,Veeorg,7,2,0,7,0,0,16,234,Bronze medal
2008,Fjodor,Gainullin,7,1,0,7,0,0,15,238,Bronze medal
1999,Rustam,Novikov,7,1,0,3,0,1,12,202,Bronze medal
2011,Jaan,Toots,7,1,0,7,1,0,16,253,Bronze medal
2004,Juhan,Aru,7,1,0,7,1,0,16,229,Bronze medal
2004,Jaan,Vajakas,0,7,0,7,1,1,16,229,Bronze medal
2013,Sandra,Schumann,7,0,0,7,1,0,15,250,Bronze medal
2003,Juhan,Aru,1,3,0,7,1,0,12,211,Honourable mention
2018,Artur,Avameri,5,2,0,7,1,0,15,290,Honourable mention
2015,Triinu,Veeorg,4,0,0,7,2,0,13,283,Honourable mention
2021,Andres,Alumets,7,0,0,4,0,0,11,304,Honourable mention
2009,Rauno,Siinmaa,7,2,0,4,0,0,13,283,Honourable mention
2009,Kairi,Kangro,7,4,0,0,2,0,13,283,Honourable mention
2004,Kaie,Kubjas,7,0,0,7,1,0,15,244,Honourable mention
2012,Janno,Veeorg,7,0,0,6,0,0,13,277,Honourable mention
2010,Rauno,Siinmaa,7,0,0,7,0,0,14,266,Honourable mention
2023,Ervin,Ivanov,7,1,0,7,2,0,17,315,Honourable mention
2006,Nikolai,Voitsehhovski,7,0,0,7,0,0,14,254,Honourable mention
