Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1981,Taneli,Huuskonen,,,,,,,41,27,Gold medal
2019,Olli,Järviniemi,7,7,1,7,7,0,29,55,Silver medal
1982,Taneli,Huuskonen,7,0,7,7,7,7,35,12,Silver medal
2020,Asla,Heiskanen,7,7,0,7,7,1,29,59,Silver medal
2013,Otte,Heinävaara,7,7,0,7,7,0,28,61,Silver medal
1982,Heikki,Tuuri,7,0,7,7,7,6,34,16,Silver medal
2011,Olli,Hirviniemi,7,2,1,7,7,0,24,74,Silver medal
2024,Aino,Aulanko,7,2,2,7,7,1,26,82,Silver medal
1999,Hannu,Niemistö,7,7,1,3,0,4,22,70,Silver medal
2023,Daniil,Akimov,7,7,0,7,7,0,28,104,Silver medal
2012,Otte,Heinävaara,7,7,0,5,3,0,22,96,Silver medal
2007,Sebastian,Dumitrescu,5,7,1,7,1,0,21,110,Silver medal
1981,Eero,Saksman,,,,,,,38,43,Silver medal
1983,Heikki,Tuuri,,,,,,,24,44,Bronze medal
1997,Peter,Hästö,4,7,0,6,6,0,23,120,Bronze medal
1978,Markku,Markkanen,5,0,8,5,6,0,24,35,Bronze medal
2018,Olli,Järviniemi,5,3,0,7,7,1,23,157,Bronze medal
1995,Uoti,Urpala,0,7,0,7,6,7,27,114,Bronze medal
1983,Jarkko,Kari,,,,,,,22,52,Bronze medal
2014,Jakob,Wartiovaara,7,6,0,1,7,0,21,163,Bronze medal
2018,Joonatan,Honkamaa,7,7,0,7,1,0,22,174,Bronze medal
2004,Lauri,Ahlroth,6,7,1,7,0,1,22,143,Bronze medal
2005,Sebastian,Dumitrescu,1,7,0,7,1,2,18,156,Bronze medal
1982,Jyrki,Lahtonen,7,1,2,7,7,4,28,37,Bronze medal
2022,Juho,Arala,7,7,0,7,6,0,27,187,Bronze medal
1977,Olli,Anttila,,,,,,,21,50,Bronze medal
2006,Esa,Vesalainen,4,0,0,7,5,0,16,161,Bronze medal
1986,Matti,Tienari,7,0,4,5,6,0,22,69,Bronze medal
1991,Harri,Lappalainen,7,7,3,0,0,7,24,108,Bronze medal
1973,Kari,Vilonen,2,4,6,3,6,0,21,43,Bronze medal
1979,Antti,Valmari,0,7,7,6,2,1,23,57,Bronze medal
2000,Riikka,Korte,7,1,0,7,0,0,15,161,Bronze medal
