Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1976,Laurent,Pierre,5,7,8,6,7,7,40,1,Gold medal
1974,Jean Christophe,Yoccoz,5,6,8,6,7,8,40,1,Gold medal
1990,Vincent,Lafforgue,7,7,7,7,7,7,42,1,Gold medal
1991,Vincent,Lafforgue,7,7,7,7,7,7,42,1,Gold medal
1994,Philippe,Golle,7,7,7,7,7,7,42,1,Gold medal
1975,Jean Claude,Sikorav,6,7,7,6,6,8,40,1,Gold medal
1981,Pierre,Lavaurs,7,7,7,7,7,7,42,1,Gold medal
1981,Jean-François,Bertin,7,7,7,7,7,7,42,1,Gold medal
2020,Aurélien,Fourré,7,7,7,7,7,1,36,4,Gold medal
1997,Joseph,Najnudel,4,7,7,7,7,7,39,11,Gold medal
2021,Aurélien,Fourré,4,7,0,7,7,7,32,15,Gold medal
1988,Julien,Cassaigne,7,7,7,7,7,5,40,8,Gold medal
2006,Ilia,Smilga,7,7,4,5,0,7,30,16,Gold medal
1986,Bruno,Sauvalle,3,7,7,7,7,7,38,9,Gold medal
1998,Joseph,Najnudel,5,7,7,7,7,1,34,18,Gold medal
1990,Pierre,Casevitz,7,7,6,7,7,2,36,14,Gold medal
1982,Jean-François,Bertin,7,6,4,7,7,7,38,6,Gold medal
1979,Thierry,Coquand,6,7,7,5,5,7,37,8,Gold medal
1993,Jean-Paul,Mohsen,7,7,0,7,4,7,32,19,Gold medal
2024,Anatole,Bouton,7,7,5,7,1,3,30,29,Gold medal
1977,Raphael,Douady,,,,,,,35,9,Gold medal
2007,Benjamin,Scellier,7,7,0,7,7,1,29,28,Gold medal
1995,Emmanuel,Breuillard,7,2,7,7,7,7,37,23,Gold medal
2018,Paul,Cahen,7,7,1,7,7,2,31,34,Gold medal
1990,Cedric,Peschard,7,7,6,7,4,3,34,21,Gold medal
1992,Patrick,Popescu-Pampu,7,7,1,7,7,3,32,22,Gold medal
