Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1972,Pawel,Kröger,5,6,7,7,7,8,40,1,Gold medal
1970,Wolfgang,Burmeister,5,7,8,6,6,8,40,1,Gold medal
1966,Walter,Liepe,6,7,7,5,7,8,40,1,Gold medal
1966,Josef,Richardt,6,7,7,5,7,8,40,1,Gold medal
1966,Peter,Enskonatus,6,7,7,5,7,8,40,1,Gold medal
1968,Christoph,Bandt,6,7,7,5,7,8,40,1,Gold medal
1968,Stefan,Heinrich,6,7,7,5,7,8,40,1,Gold medal
1968,Jürgen,Gärtner,6,7,7,5,7,8,40,1,Gold medal
1968,Ulrich,Zähle,6,7,7,5,7,8,40,1,Gold medal
1967,Christoph,Bandt,6,7,8,6,7,8,42,1,Gold medal
1967,Stefan,Heinrich,6,7,8,6,7,8,42,1,Gold medal
1984,Karin,Gröger,7,7,7,7,7,7,42,1,Gold medal
1987,Gerd,Kunert,7,7,7,7,7,7,42,1,Gold medal
1987,Frank,Göring,7,7,7,7,7,7,42,1,Gold medal
1989,Gerard,Zenker,7,7,7,7,7,7,42,1,Gold medal
1989,Andreas,Siebert,7,7,7,7,7,7,42,1,Gold medal
1989,Frank,Göring,7,7,7,7,7,7,42,1,Gold medal
1986,Jörg,Jahnel,7,7,7,6,7,7,41,4,Gold medal
1971,Wolfgang,Burmeister,,,,,,,38,3,Gold medal
1982,Ralf,Hortig,7,7,7,7,7,5,40,4,Gold medal
1988,Andreas,Siebert,7,7,7,7,4,1,33,14,Gold medal
1977,Michael,Marczinek,,,,,,,34,10,Gold medal
1977,Lutz,Gärtner,,,,,,,34,10,Gold medal
1982,Bodo,Heise,7,6,7,7,7,3,37,8,Gold medal
1967,Reinhard,Höppner,,,,,,,39,7,Gold medal
1968,Wolfgang,Burmeister,6,7,6,5,7,8,39,17,Gold medal
1969,Jürgen,Gärtner,5,7,7,6,7,4,36,6,Silver medal
1969,Andreas,Felgenhauer,5,7,7,6,7,3,35,7,Silver medal
1969,Wolfgang,Burmeister,5,5,7,6,7,5,35,7,Silver medal
1988,Martin,Welk,7,7,7,3,7,0,31,18,Silver medal
1985,Ulrich,Meister,7,7,6,7,0,5,32,15,Silver medal
1974,Konrad,Engel,5,6,5,6,7,8,37,11,Silver medal
1990,Thomas,Mautsch,7,7,2,7,7,3,33,24,Silver medal
1976,Michael,Marczinek,5,7,4,1,7,6,30,12,Silver medal
1973,Elias,Wegert,6,0,8,6,6,4,30,11,Silver medal
1975,Klaus,Altmann,6,7,6,6,6,5,36,13,Silver medal
1969,Stefan,Heinrich,5,7,5,4,7,4,32,12,Silver medal
1970,Andreas,Felgenhauer,,,,,,,,,Silver medal
1974,Hans-Gert,Gräbe,5,6,8,6,3,8,36,15,Silver medal
1984,Arnd,Rösch,7,7,7,7,7,0,35,21,Silver medal
1976,Uwe,Risch,5,0,7,6,3,7,28,16,Silver medal
1990,Jan,Fricke,4,7,4,7,7,1,30,35,Silver medal
1987,Uta,Hövel,7,7,7,7,7,5,40,28,Silver medal
1986,Mathias-Torsten,Tok,7,7,2,7,7,1,31,26,Silver medal
1986,Stefan,Günther,4,7,0,6,7,7,31,26,Silver medal
