Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1983,Bernhard,Leeb,7,7,7,7,7,7,42,1,Gold medal
1982,Bruno,Haible,7,7,7,7,7,7,42,1,Gold medal
1981,Hartmut,Maennel,7,7,7,7,7,7,42,1,Gold medal
1981,Martin,Neschen,7,7,7,7,7,7,42,1,Gold medal
1981,Günter M.,Ziegler,7,7,7,7,7,7,42,1,Gold medal
1983,Frank,Wagner,7,7,7,7,7,7,42,1,Gold medal
1983,Michael,Stoll,7,7,7,7,7,7,42,1,Gold medal
1987,Wolfgang,Schwarz,7,7,7,7,7,7,42,1,Gold medal
1987,Jörg,Eisfeld,7,7,7,7,7,7,42,1,Gold medal
1987,Thorsten,Kleinjung,7,7,7,7,7,7,42,1,Gold medal
1987,Martin,Härterich,7,7,7,7,7,7,42,1,Gold medal
2005,Peter,Scholze,7,7,7,7,7,7,42,1,Gold medal
2011,Lisa,Sauermann,7,7,7,7,7,7,42,1,Gold medal
2007,Peter,Scholze,7,7,1,7,7,7,36,2,Gold medal
2009,Lisa,Sauermann,7,6,7,7,7,7,41,3,Gold medal
1993,Jakob,Stix,7,7,4,7,7,7,39,3,Gold medal
2010,Lisa,Sauermann,7,7,7,7,1,7,36,4,Gold medal
2002,Christian,Reiher,6,7,7,7,7,2,36,4,Gold medal
1993,Martin,Wiechert,7,2,7,7,7,7,37,4,Gold medal
2018,Jonas,Walter,7,7,3,7,7,7,38,6,Gold medal
2006,Peter,Scholze,7,7,0,7,7,7,35,6,Gold medal
2019,Jonas,Walter,7,7,3,7,7,7,38,11,Gold medal
2021,Lennart Christian,Grabbel,7,7,0,7,7,5,33,13,Gold medal
2008,Lisa,Sauermann,7,2,7,7,5,7,35,12,Gold medal
1983,Daniel,Grieser,,,,,,,39,5,Gold medal
2022,Samuel,Meyer,7,7,7,7,7,4,39,14,Gold medal
1996,Arend,Bayer,7,7,7,7,0,7,35,11,Gold medal
2003,Christian,Reiher,7,7,7,7,1,7,36,12,Gold medal
1979,Hartmut,Maennel,6,7,7,5,7,7,39,5,Gold medal
1991,Norbert,Hoffmann,7,6,7,7,7,7,41,10,Gold medal
2006,Darij,Grinberg,7,1,7,7,7,1,30,16,Gold medal
1978,Uwe,Weselmann,,,,,,,35,5,Gold medal
1989,Martin,Härterich,7,7,7,7,7,6,41,11,Gold medal
