Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2020,Roni Adom,Edwin,7,2,0,3,7,0,19,236,Bronze medal
2021,Roni Adom,Edwin,7,0,0,0,0,0,7,372,Honourable mention
2019,Roni,Edwin,7,0,0,0,2,0,9,417,Honourable mention
2021,Keith Kojo,Torpey,4,0,0,0,0,0,4,439,
2018,Aayush,Agrawal,2,0,0,2,0,0,4,470,
2018,Muhammad,Ali,1,2,0,0,0,0,3,486,
2018,Denzel,Segbefia,2,1,0,0,0,0,3,486,
2015,Alexander,Bechtold,1,0,0,2,0,0,3,480,
2016,Jesse Odame,Phillips,1,2,0,0,0,0,3,501,
2023,Joel,Manu,4,0,0,2,0,0,6,515,
2023,Jeet,Thakwani,5,0,0,0,1,0,6,515,
2022,Joel,Manu,6,1,0,1,0,0,8,493,
2016,Inhee,Baek,1,0,0,1,0,0,2,515,
2018,Isabelle,Quaye,2,0,0,0,0,0,2,511,
2021,Prince Appiah,Debrah,0,0,0,0,0,0,0,533,
2021,Johannes Sylvester,Arizie,0,0,0,0,0,0,0,533,
2020,Valerie Maame Abena,Ackon,0,0,1,0,0,0,1,532,
2020,Sylvester Johannes,Arizie,0,0,1,0,0,0,1,532,
2019,Nii Aryee,Aryeetey,1,0,0,0,0,0,1,540,
2019,Carolyn,Asante-Dartey,1,0,0,0,0,0,1,540,
2017,Jonathan Kweku Deladem,Akaba,5,0,0,1,0,0,6,538,
2024,Excell,Kumah Awusi,3,0,0,0,0,0,3,533,
2015,Nuneke Fafa Esi,Kwetey,0,0,0,2,0,0,2,508,
2022,Keith Kojo,Torpey,3,1,0,1,0,0,5,522,
2022,Prince Appiah,Debrah,1,0,0,3,1,0,5,522,
2018,Carolyn,Asante-Dartey,1,0,0,0,0,0,1,538,
2020,Prince Appiah Junior,Debrah,0,0,0,0,0,0,0,560,
2020,Keith Kojo,Torpey,0,0,0,0,0,0,0,560,
2019,Gianna,Torpey,0,0,0,0,0,0,0,573,
2024,Naana Ekua Adokua,Annan,1,0,0,0,0,0,1,565,
2016,Senyo Kofi Edzeani,Ohene,0,0,0,0,0,0,0,568,
2015,Senyo Kofi Edzeani,Ohene,0,0,0,0,0,0,0,553,
2015,Kapila,Kommareddy,0,0,0,0,0,0,0,553,
2015,Nii Aryee,Aryeetey,0,0,0,0,0,0,0,553,
2024,Nana Bawuah,Addai-Mensah,0,0,0,0,0,0,0,589,
2024,Akua Ntiwaa,Mensah,0,0,0,0,0,0,0,589,
2024,Joel,Boateng-Yamoah,0,0,0,0,0,0,0,589,
2024,Adwoa Afriyie,Asare Frimpong,0,0,0,0,0,0,0,589,
2014,Sefa Adzo,Yakpo,0,0,0,0,0,0,0,544,
