Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2008,Esteban José,Arreaga Ambéliz,7,1,0,7,0,0,15,238,Bronze medal
2012,Alejandra,Valdez,7,0,0,4,0,0,11,315,Honourable mention
2001,Antonio,Juarez Lopez,0,0,1,7,0,0,8,277,Honourable mention
2009,Alejandro José,Vargas De León,7,0,0,2,0,0,9,354,Honourable mention
2018,Edgar Alessandro,Santos Sagastume,1,0,0,7,1,0,9,391,Honourable mention
2010,Francisco José,Martínez Figueroa,7,0,0,0,0,0,7,418,Honourable mention
2017,Elder Raúl Alejandro,Guzmán Romero,7,0,0,1,0,0,8,497,Honourable mention
2000,Javier,Brolo,0,1,0,4,0,0,5,350,
2001,Pedro Fernando,Morales Almazán,0,0,0,1,2,0,3,364,
2005,Ricardo,Neftalí Pontaza Rodas,0,1,0,1,0,0,2,396,
2005,Javier,Alfredo Ronquillo Rivera,0,1,0,1,0,0,2,396,
2005,Helder,Ottoniel Gramajo López,0,1,0,1,0,0,2,396,
2019,Edgar Alessandro,Santos Sagastume,1,1,0,0,2,0,4,489,
2009,Marcos Fernando,Galindo Gomez,0,3,0,0,0,0,3,459,
2002,Pedro Fernando,Morales Almazán,0,1,0,1,1,0,3,393,
1999,Bidkar Alexander,Pojoy Corzo,4,0,0,0,0,1,5,371,
2011,Fernando José,Mazariegos Camas,3,0,0,1,0,0,4,466,
1997,Alejandro,Toriello,0,0,0,1,2,0,3,391,
2000,Bidkar Alexander,Pojoy Corzo,1,1,0,0,1,0,3,394,
2000,Antonio,Juarez Lopez,0,1,0,1,1,0,3,394,
2017,Edgar Alessandro,Santos Sagastume,5,0,0,2,0,0,7,528,
2018,Elder Raúl Alejandro,Guzmán Romero,0,1,0,0,1,0,2,511,
2023,Arianée Abigail,Enriquez Contreras,2,0,0,1,0,0,3,535,
2011,Alejandra,Valdez,0,0,0,3,0,0,3,491,
1999,Rudolf Wilhelm,Peters Chaves,0,0,3,1,0,0,4,394,
1999,Antonio,Juarez Lopez,0,0,3,1,0,0,4,394,
2010,José Alberto,Ligorría Taracena,5,0,0,0,0,0,5,461,
2023,Ana Julia,Rojas Buezo,2,0,0,0,0,0,2,554,
2002,Michaelle,Perez,0,0,0,0,1,0,1,431,
2017,Fernando José,Pérez Colaj,0,0,0,2,2,0,4,555,
2009,Francisco José,Martínez Figueroa,1,0,0,0,0,0,1,511,
2009,José Carlos,Arandi Ayala,0,0,0,0,1,0,1,511,
2001,Bidkar Alexander,Pojoy Corzo,0,0,0,1,0,0,1,429,
1997,Silvia,Cabrera,0,0,0,1,0,0,1,419,
1997,Paola,De León,0,0,0,1,0,0,1,419,
1997,Carlos,Molina,0,0,0,1,0,0,1,419,
1997,Tanya,Urrutia,0,0,0,0,1,0,1,419,
2019,Fátima Lucia,Reyes Paniagua,0,0,0,0,0,0,0,573,
2019,Juan Pablo,Pirir Montenegro,0,0,0,0,0,0,0,573,
1999,Gilda Margarita,Alonzo Argueta,3,0,0,0,0,0,3,422,
2011,María Andrea,Maldonado Hernández,1,0,0,0,0,0,1,530,
2017,Karina Alejandra,Valladares Díaz,0,0,0,1,0,0,1,582,
2008,Mario Roberto,Mata Arenales,1,0,0,0,0,0,1,508,
2018,Alejandro,Pallais,0,0,0,0,0,0,0,565,
2002,Ricardo,Moll,0,0,0,0,0,0,0,459,
2011,Ana Sofía,Rosenberg Padilla,0,0,0,0,0,0,0,544,
1999,Emely Tze Hao,Hung Tsai,0,1,0,1,0,0,2,435,
2012,Kevin Eduardo,Rivera Argüello,0,0,0,0,0,0,0,529,
1997,Rudolf Wilhelm,Peters Chaves,0,0,0,0,0,0,0,446,
2008,Hector Eduardo,Hernández Ruiz,0,0,0,0,0,0,0,521,
2008,Victor Manuel,Moscoso Villagrán,0,0,0,0,0,0,0,521,
2000,Sergio Silverio,Merida Molina,0,0,0,0,0,0,0,451,
2000,Gilda Margarita,Alonzo Argueta,0,0,0,0,0,0,0,451,
2000,Pedro Fernando,Morales Almazán,0,0,0,0,0,0,0,451,
1999,Sergio Silverio,Merida Molina,0,0,0,1,0,0,1,444,
