Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2017,Vasileios,Georgiadis,7,7,0,7,7,0,28,14,Gold medal
2011,Georgios,Vlachos,7,7,2,7,7,0,30,14,Gold medal
2023,Georgios,Tzachristas,7,7,7,7,7,0,35,28,Gold medal
2024,Kyriakos,Tsourekas,7,7,1,7,7,1,30,29,Gold medal
2012,Panagiotis,Lolas,7,7,0,7,7,0,28,33,Gold medal
2019,Dimitrios Chrysovalantis,Melas,7,6,0,7,7,2,29,55,Silver medal
2023,Panagiotis,Liampas,7,7,3,7,7,0,31,55,Silver medal
1989,Christos,Athanasiadis,0,7,7,7,7,7,35,32,Silver medal
2013,Panagiotis,Lolas,7,0,7,7,7,0,28,61,Silver medal
1997,Petros,Bregiannis,4,7,7,4,7,1,30,60,Silver medal
2007,Nikolaos,Romanidis,3,7,0,7,7,0,24,68,Silver medal
2017,Dimitrios,Lolas,7,7,0,7,0,0,21,82,Silver medal
2017,Rafail,Tsiamis,7,7,0,7,0,0,21,82,Silver medal
2017,Dimitrios Chrysovalantis,Melas,7,6,0,7,0,1,21,82,Silver medal
1998,Petros,Bregiannis,4,7,3,7,7,0,28,58,Silver medal
2022,Prodromos,Fotiadis,7,7,2,7,7,0,30,84,Silver medal
2014,Panagiotis,Dimakis,6,6,0,7,7,0,26,83,Silver medal
2003,Michail,Rassias,7,7,0,7,1,0,22,69,Silver medal
2012,Panagiotis,Dimakis,7,7,0,2,7,0,23,85,Silver medal
1984,A.,Melas,6,7,1,7,7,3,31,31,Silver medal
2004,Minas,Pagonakis,7,7,0,7,6,0,27,81,Silver medal
1996,Petros,Bregiannis,2,4,4,7,4,1,22,71,Silver medal
1998,Romanos - Diogenis,Malikiosis,7,0,2,7,7,3,26,73,Silver medal
2015,Petros,Ntounis,7,4,1,7,1,0,20,101,Silver medal
2014,Petros,Ntounis,7,6,0,7,4,0,24,102,Silver medal
2017,Dimitrios,Tsintsilidas,7,3,0,7,2,0,19,115,Silver medal
1999,Theofanis,Matsoukas,7,2,6,3,0,2,20,85,Silver medal
1985,Paul,Tzermias,7,0,0,7,7,3,24,40,Silver medal
2022,Panagiotis,Liampas,7,7,0,7,7,1,29,112,Silver medal
1975,Antony,Beris,6,7,7,4,6,3,33,27,Silver medal
2010,Evangelos,Taratoris,7,7,0,7,0,0,21,106,Silver medal
2010,Fotis,Logothetis,7,7,0,7,0,0,21,106,Silver medal
2001,Georgios,Raptis,7,0,1,4,7,2,21,97,Silver medal
2024,Orestis,Lignos,7,7,0,7,0,2,23,125,Silver medal
2013,Panagiotis,Dimakis,0,6,7,7,6,0,26,110,Silver medal
1999,Spyridon,Antonakopoulos,5,1,2,3,7,1,19,95,Silver medal
2004,Stergios,Antonakoudis,6,5,2,7,4,0,24,113,Silver medal
2024,Nektarios Rafail,Berkoutakis,7,1,0,7,7,0,22,147,Silver medal
1983,Stavros,Garoufalidis,,,,,,,25,37,Bronze medal
1983,Georges,Panagopoulos,,,,,,,25,37,Bronze medal
2023,Orestis,Lignos,7,7,1,7,2,0,24,145,Bronze medal
2023,Prodromos,Fotiadis,7,7,1,7,2,0,24,145,Bronze medal
2002,Michail-Romanos,Papalambros,7,6,0,7,2,0,22,113,Bronze medal
2022,Emmanouil,Petrakis,7,7,0,7,7,0,28,146,Bronze medal
2022,Orestis,Lignos,7,7,0,7,7,0,28,146,Bronze medal
2022,Georgios,Tzachristas,7,7,0,7,7,0,28,146,Bronze medal
2004,Marios,Papamichalis,7,2,0,7,7,0,23,124,Bronze medal
1996,Georgios,Takos,4,4,1,7,1,1,18,111,Bronze medal
1996,Nikolaos,Michalakis,1,7,1,1,7,1,18,111,Bronze medal
2009,Dimitrios,Papadimitriou,7,7,0,5,4,0,23,148,Bronze medal
2019,Spyridon,Galanopoulos,7,1,0,7,7,0,22,168,Bronze medal
1985,Vasilios,Missoulis,7,3,0,7,2,0,19,60,Bronze medal
2014,Christos Nestor,Chachamis,7,6,0,6,2,0,21,163,Bronze medal
2001,Dimitrios,Poulopoulos,7,0,0,2,7,1,17,140,Bronze medal
2008,Anastasios,Vafeidis,7,4,2,7,0,0,20,159,Bronze medal
2003,Michail-Romanos,Papalambros,5,3,0,7,1,0,16,138,Bronze medal
1987,Ioannis,Ivrissimtzis,7,7,0,7,7,1,29,72,Bronze medal
2005,Theodosios,Douvropoulos,7,1,1,2,7,0,18,156,Bronze medal
2005,Eleftherios,Tsiokos,1,1,0,7,7,2,18,156,Bronze medal
2017,Rafail,Psyroukis,7,3,0,7,0,0,17,188,Bronze medal
2001,Anastasios,Dimou,7,0,0,2,7,0,16,148,Bronze medal
2006,Konstantinos,Psychas,7,1,1,7,0,0,16,161,Bronze medal
1988,Christos,Athanasiadis,7,0,0,7,5,0,19,87,Bronze medal
2004,Stefanos,Aretakis,7,2,0,7,5,0,21,159,Bronze medal
2012,Alexandros,Mousatov,7,0,0,3,7,0,17,182,Bronze medal
1989,Georgios,Papoutsis,1,6,3,5,4,7,26,98,Bronze medal
1986,Tilemahos,Stamkopuluos,7,7,0,2,5,0,21,73,Bronze medal
2004,Theofanis,Papamichalis,7,3,0,7,3,0,20,169,Bronze medal
1987,Haralambos,Tamvakis,5,7,0,7,7,1,27,83,Bronze medal
2003,Andreas,Galanis,0,7,0,7,1,0,15,163,Bronze medal
2011,Georgios,Kalantzis,7,0,1,1,2,7,18,202,Bronze medal
1995,Efstratios,Rappos,7,0,4,6,7,0,24,148,Bronze medal
2018,Dimitrios,Lolas,7,3,0,7,1,1,19,215,Bronze medal
1991,Alexandros,Karelas,7,7,2,7,0,0,23,117,Bronze medal
1989,Prodromos,Symeonidis,7,7,0,2,7,0,23,108,Bronze medal
1994,Ioannis,Mavroidis,7,7,0,1,7,1,23,143,Bronze medal
2008,Silouanos,Brazitikos,7,4,0,6,0,0,17,199,Bronze medal
2016,Rafail,Tsiamis,7,2,0,7,1,0,17,224,Bronze medal
