Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2009,Tak Wing,Ching,7,7,7,7,7,0,35,14,Gold medal
2016,Shun Ming Samuel,Lee,7,7,0,7,7,3,31,23,Gold medal
2016,John Michael,Wu,7,7,0,7,7,3,31,23,Gold medal
2016,Hoi Wai,Yu,7,7,0,7,7,3,31,23,Gold medal
2011,Tak Wing,Ching,7,1,7,7,7,0,29,25,Gold medal
2011,Yau Wing,Li,7,1,7,7,7,0,29,25,Gold medal
2005,Yun Pui,Tsoi,7,7,7,7,7,2,37,23,Gold medal
2023,Cheuk Hei,Chu,7,7,7,7,5,2,35,28,Gold medal
2021,Alex,Chui,7,0,7,7,7,0,28,32,Gold medal
2006,Yun Pui,Tsoi,7,7,1,6,7,0,28,27,Gold medal
2017,Shun Ming Samuel,Lee,7,4,0,7,7,0,25,36,Gold medal
2002,Hok Pun,Yu,7,7,1,7,7,0,29,29,Gold medal
2022,Cheuk Hei,Chu,6,7,2,7,5,7,34,38,Gold medal
2010,Tak Wing,Ching,6,7,1,7,6,0,27,42,Gold medal
1989,Shu Hung,Choy,6,7,3,7,7,7,37,21,Silver medal
1995,Wing Yip,Ho,7,7,7,7,7,1,36,31,Silver medal
2007,Cho Ho,Lam,7,7,0,7,7,0,28,40,Silver medal
2007,Chiu Wai,Wong,7,7,0,7,7,0,28,40,Silver medal
2002,Wai Ying,Leung,7,6,1,7,5,2,28,40,Silver medal
2021,Cheuk Hei,Chu,7,2,0,7,7,0,23,53,Silver medal
2006,Pok Wai,Fong,7,7,5,7,1,0,27,43,Silver medal
1994,Ka Hing,Tsui,7,7,7,5,4,7,37,37,Silver medal
2020,Alex,Chui,7,7,0,7,7,1,29,59,Silver medal
2020,Harris,Leung,7,0,7,7,7,1,29,59,Silver medal
2024,Yung Ho,Kwan,7,7,2,7,5,0,28,59,Silver medal
2021,Harris,Leung,7,1,0,7,7,0,22,63,Silver medal
2021,Ching Yan Timothy,Yau,7,0,1,7,7,0,22,63,Silver medal
2022,Ching Yan Timothy,Yau,7,7,4,7,6,1,32,61,Silver medal
2017,Man Yi,Kwok,7,4,0,7,5,0,23,64,Silver medal
2016,Wai Lam,Cheung,7,5,0,7,7,0,26,68,Silver medal
2022,Chong Ho,Hsieh,7,7,2,7,7,1,31,68,Silver medal
2013,Chun Ting,Lau,7,7,0,7,7,0,28,61,Silver medal
1998,Pok Man,Cheung,6,7,2,7,7,0,29,49,Silver medal
2012,Yau Wing,Li,7,3,0,7,7,1,25,64,Silver medal
2010,Ping Ngai,Chung,7,7,1,7,0,1,23,64,Silver medal
2014,Hing Shing,Wong,7,7,0,7,6,0,27,69,Silver medal
2014,Pak Nam,Hui,7,7,0,7,6,0,27,69,Silver medal
2005,Jack,Hui,7,1,0,7,7,7,29,65,Silver medal
2001,Hok Pun,Yu,7,7,0,7,3,1,25,61,Silver medal
2007,Pok Wai,Fong,7,7,2,7,1,0,24,68,Silver medal
1996,Wai Hoi Bobby,Poon,3,7,5,1,1,7,24,57,Silver medal
2024,Wai Lok,Lai,7,7,1,7,0,4,26,82,Silver medal
2020,Ching Yan Timothy,Yau,7,7,0,7,7,0,28,86,Silver medal
2005,Ho,Chung Siu,7,7,0,7,7,0,28,72,Silver medal
2009,Cho Ho,Lam,7,6,1,7,7,0,28,83,Silver medal
2014,Sze Nga,Wong,7,6,0,7,6,0,26,83,Silver medal
2003,Tsz Chiu,Kwok,1,7,0,7,7,0,22,69,Silver medal
2006,Jack,Hui,7,7,1,7,0,0,22,76,Silver medal
2001,Kei Tsi Daniel,Cheng,7,7,7,0,2,0,23,73,Silver medal
2016,Yui Hin Arvin,Leung,7,6,0,7,4,0,24,94,Silver medal
2007,Pak Hin,Lee,2,7,0,7,7,0,23,83,Silver medal
2024,Hok Lai,Ng,7,7,0,7,3,0,24,100,Silver medal
2004,Tsz Chiu,Kwok,7,6,2,7,3,2,27,81,Silver medal
2023,Chun Hei,Yiu,7,7,3,7,2,2,28,104,Silver medal
2008,Cho Ho,Lam,7,7,0,4,7,0,25,92,Silver medal
2015,Hoi Wai,Yu,7,3,0,0,3,7,20,101,Silver medal
2015,John Michael,Wu,7,2,0,7,4,0,20,101,Silver medal
2007,Jack,Hui,7,7,0,7,1,0,22,93,Silver medal
2002,Kei Tsi Daniel,Cheng,7,6,5,4,2,0,24,86,Silver medal
2022,Chun Hei,Yiu,7,7,1,7,7,0,29,112,Silver medal
2005,Ming Fung,Poon,7,7,0,7,0,4,25,100,Silver medal
2019,Harris,Leung,7,0,5,7,7,0,26,122,Silver medal
2011,Chun Tung Raymond,Lo,7,1,0,7,7,0,22,113,Silver medal
1992,Kar-Keung,To,7,7,2,7,0,2,25,65,Silver medal
1994,Wing Yip,Ho,5,7,5,5,3,6,31,78,Silver medal
2010,Ka Yu,Tam,7,0,0,7,7,0,21,106,Silver medal
2012,Andy,Loo,7,7,0,7,0,0,21,112,Silver medal
2012,Chi Hong,Chow,7,0,0,7,7,0,21,112,Silver medal
2024,Zi Jie,Xu,7,7,1,7,0,1,23,125,Silver medal
2004,Tat Chi,Chung,7,6,1,7,3,1,25,101,Silver medal
2003,Hok Pun,Yu,7,7,3,0,1,1,19,98,Silver medal
2000,Hok Pun,Yu,0,7,2,6,6,0,21,100,Silver medal
1995,Him Ting,Wong,7,7,2,3,7,3,29,90,Silver medal
2006,On Yip,Chung,7,7,0,6,0,0,20,109,Silver medal
2014,Wai Lam,Cheung,7,6,0,7,2,0,22,124,Silver medal
1989,Ting Kin,Tam,5,6,0,7,7,6,31,65,Silver medal
2009,Ka Kin Kenneth,Hung,7,7,1,7,2,0,24,130,Silver medal
2008,Cheuk Ting,Li,7,1,0,7,7,0,22,127,Silver medal
2008,Chiu Wai,Wong,7,7,1,0,7,0,22,127,Silver medal
2024,Sebastian,Chase,7,7,0,7,1,0,22,147,Silver medal
2017,Jeff York,Ye,7,3,0,1,7,0,18,139,Bronze medal
2023,Hok Lai,Ng,7,0,3,7,7,0,24,145,Bronze medal
1996,Chun,Ling Yu,4,7,1,1,1,5,19,102,Bronze medal
2015,Man Yi,Kwok,7,0,1,7,3,0,18,140,Bronze medal
1988,Nung-Kwan,Yip,7,0,1,7,7,0,22,66,Bronze medal
1998,Wing Chung,Leung,7,7,2,7,0,0,23,104,Bronze medal
2022,Wai Lok,Lai,7,6,0,7,7,1,28,146,Bronze medal
2011,Ka Yu,Tam,7,0,0,7,7,0,21,145,Bronze medal
1990,Chi,Hin Lau,7,7,4,1,3,0,22,80,Bronze medal
1997,Pok Man,Cheung,1,7,1,7,7,0,23,120,Bronze medal
1994,Him Ting,Wong,7,2,7,7,5,0,28,102,Bronze medal
2001,Wai Ying,Leung,7,0,1,7,3,0,18,127,Bronze medal
2019,Daniel Weili,Sheremeta,7,1,0,7,7,0,22,168,Bronze medal
2002,Khek Lun Harold,Chao,6,6,0,7,2,0,21,133,Bronze medal
2007,Cheuk Ting,Li,3,7,0,7,1,0,18,145,Bronze medal
2013,Sze Nga,Wong,7,7,0,7,1,0,22,151,Bronze medal
1992,Pei-Fung,Lam,7,4,1,7,0,2,21,93,Bronze medal
2010,Ka Kin Kenneth,Hung,5,7,1,7,0,0,20,151,Bronze medal
2014,Hoi Wai,Yu,7,6,0,1,7,0,21,163,Bronze medal
2020,Cheuk Hei,Chu,7,2,4,7,0,2,22,181,Bronze medal
2004,Chiu Fai,Tang,1,3,1,7,3,7,22,143,Bronze medal
1993,Kwong,Shing Lin,0,4,0,4,4,5,17,122,Bronze medal
2001,Kin Hang,Chan,7,0,1,6,3,0,17,140,Bronze medal
2023,Chong Ho,Hsieh,7,0,6,7,3,0,23,183,Bronze medal
2023,Yung Ho,Kwan,7,1,1,7,7,0,23,183,Bronze medal
2003,Tsz Hang,Siu,5,2,0,7,2,0,16,138,Bronze medal
2005,On Yip,Chung,0,7,7,1,0,3,18,156,Bronze medal
2017,Alvin Cheuk Hin,Tse,7,3,0,7,0,0,17,188,Bronze medal
2017,Hoi Wai,Yu,7,3,0,0,7,0,17,188,Bronze medal
1999,Tsz Hong Hubert,Chan,7,0,2,5,0,1,15,138,Bronze medal
1997,Lap Ming Alvin,Lau,3,7,1,6,4,0,21,142,Bronze medal
2015,Shun Ming Samuel,Lee,7,1,0,7,1,0,16,183,Bronze medal
1995,Kwok,Koon Cheung,7,7,4,1,7,0,26,132,Bronze medal
2000,Ka Ho,Law,7,1,0,4,4,0,16,149,Bronze medal
2006,Chiu Wai,Wong,7,1,1,7,0,0,16,161,Bronze medal
2006,Chak Hei,Yuen,7,1,1,7,0,0,16,161,Bronze medal
2011,Bar Wai Barry,Wo,7,1,0,7,4,0,19,186,Bronze medal
1995,Wai Hoi Bobby,Poon,7,0,4,4,7,3,25,137,Bronze medal
1997,Chung Lam,Chan,1,7,1,5,6,0,20,155,Bronze medal
2013,Hing Shing,Wong,7,6,0,7,0,0,20,180,Bronze medal
2016,Man Yi,Kwok,7,2,0,7,2,0,18,206,Bronze medal
1994,Wai Hoi Bobby,Poon,7,7,7,1,0,2,24,132,Bronze medal
1990,Wing,Kai Leung,4,5,1,1,7,1,19,106,Bronze medal
1990,Kin-Wah,Chan,1,7,1,2,7,1,19,106,Bronze medal
