Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2009,José Ramón,Madrid Padilla,1,7,0,6,0,0,14,264,Bronze medal
2021,Ezra,Guerrero Alvarez,2,0,0,7,0,0,9,332,Honourable mention
2022,Ezra,Guerrero Alvarez,7,3,0,7,1,0,18,343,Honourable mention
2023,Derek Samir,Funez Estrada,7,0,0,7,0,0,14,385,Honourable mention
2020,Ezra,Guerrero Álvarez,7,0,0,3,0,0,10,384,Honourable mention
2008,Oscar Hernan,Madrid Padilla,7,1,0,1,0,0,9,346,Honourable mention
2008,Darwin Omar,Gutierrez,7,1,0,0,0,0,8,368,Honourable mention
2020,Alejandro José,Madrid Euceda,7,0,0,0,0,0,7,445,Honourable mention
2020,Francisco José,Villeda Cárcamo,7,0,0,0,0,0,7,445,Honourable mention
2012,Jeany Sergei,Meza,7,0,0,1,0,0,8,398,Honourable mention
2012,Jason Josue,Bermúdez,7,0,0,0,0,0,7,425,Honourable mention
2022,Derek Samir,Funez Estrada,3,0,0,7,0,0,10,458,Honourable mention
2016,Cesar Andres,Cárdenas Alvarado,1,2,0,6,0,0,9,409,
2009,Sergio David,Manzanarez,3,3,0,0,0,0,6,416,
2021,Emerson Franzua,Aldana Gavarrete,2,0,0,0,0,0,2,470,
2021,Derek Samir,Funez Estrada,2,0,0,0,0,0,2,470,
2009,Nestor Alejandro,Bermudez,3,1,0,0,0,0,4,444,
2011,Jeany Sergei,Meza,3,0,0,0,2,0,5,449,
2018,Lizzie,Hernandez Videa,1,0,0,2,0,0,3,486,
2020,Samuel Armando,Aguilar Sorto,1,0,0,2,0,0,3,512,
2019,Ulises Ariel,Obando Reyes,1,0,0,0,1,0,2,523,
2017,Eduardo Andree,Lorenzana Solano,5,0,0,2,0,0,7,528,
2018,David Josué,Cruz Moreno,0,1,0,0,1,0,2,511,
2021,Jose David,Betanco Gunera,0,0,0,0,0,0,0,533,
2021,Ronald Francisco,Hernandez Valenzuela,0,0,0,0,0,0,0,533,
2021,Erick Andre,Irias Rodriguez,0,0,0,0,0,0,0,533,
2020,Ronald Francisco,Hernández Valenzuela,1,0,0,0,0,0,1,532,
2023,Omar Andres,Suazo Zeron,2,0,0,1,0,0,3,535,
2019,Samuel Armando,Aguilar Sorto,1,0,0,0,0,0,1,540,
2017,Harold David,Sánchez Lagos,1,0,0,4,0,0,5,547,
2016,Andrei Esteban,Oses Amaya,1,0,0,0,0,0,1,539,
2018,Alicia Gabrielle,Smith Reina,1,0,0,0,0,0,1,538,
2011,Jason Josue,Bermúdez,1,0,0,1,0,0,2,516,
2019,Francisco Jose,Villeda Carcamo,0,0,0,0,0,0,0,573,
2024,Jared Fabricio,Escobar,1,0,0,0,0,0,1,565,
2013,Leonel Alejandro,Obando Reyes,0,0,0,0,0,0,0,494,
2022,Antony Williams,Martinez Gonzales,0,0,0,2,0,0,2,556,
2022,Avril Nathalie,Matute Cruz,1,0,0,0,0,0,1,563,
