Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2013,Domagoj,Ćevid,7,7,7,7,7,0,35,10,Gold medal
2015,Adrian,Beker,7,7,1,7,7,0,29,19,Gold medal
2021,Bernard,Inkret,7,7,0,7,7,0,28,32,Gold medal
2012,Domagoj,Ćevid,7,7,0,7,7,0,28,33,Gold medal
2013,Borna,Vukorepa,7,7,3,7,7,0,31,34,Gold medal
2014,Mislav,Balunović,7,7,1,7,7,0,29,40,Gold medal
2018,Marin,Varivoda,7,7,0,7,7,2,30,49,Silver medal
2015,Petar,Orlić,7,2,1,7,7,0,24,55,Silver medal
2021,Ivan,Vojvodić,7,0,1,7,7,0,22,63,Silver medal
1997,Vedran,Zorić,4,2,7,7,7,5,32,50,Silver medal
2022,Bernard,Inkret,7,7,2,7,6,2,31,68,Silver medal
2012,Matija,Bucić,7,7,3,4,4,0,25,64,Silver medal
1996,Bojan,Antolović,1,7,3,7,0,7,25,50,Silver medal
2006,Goran,Dražić,7,1,1,7,7,0,23,60,Silver medal
2016,Daniel,Paleka,7,3,0,7,4,4,25,78,Silver medal
2015,Kristijan,Štefanec,7,4,1,7,3,0,22,76,Silver medal
2010,Matko,Ljulj,7,7,0,7,1,0,22,76,Silver medal
2017,Lukas,Novak,7,6,0,7,0,0,20,103,Silver medal
2017,Adrian,Beker,7,4,0,7,2,0,20,103,Silver medal
2021,Krešimir,Nežmah,7,0,0,7,7,0,21,105,Silver medal
2015,Daniel,Paleka,7,2,1,7,3,0,20,101,Silver medal
2009,Nina,Kamčev,7,7,1,7,5,0,27,101,Silver medal
2005,Goran,Dražić,7,1,7,7,0,4,26,93,Silver medal
2018,Ivan,Novak,7,6,0,7,7,0,27,111,Silver medal
2011,Domagoj,Ćevid,7,1,0,7,7,0,22,113,Silver medal
2010,Matija,Bucić,7,1,0,7,6,0,21,106,Silver medal
2001,Tonći,Antunović,7,7,1,3,3,0,21,97,Silver medal
2024,Fabijan,Cikač,7,2,0,7,7,0,23,125,Silver medal
