Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2013,Stephen,Sanjaya,7,7,7,7,7,0,35,10,Gold medal
2020,Stanve Avrilium,Widjaja,7,7,4,7,7,1,33,22,Gold medal
2020,Aaron Alvarado Kristanto,Julistiono,7,7,4,7,7,1,33,22,Gold medal
2018,Gian Cordana,Sanjaya,7,7,3,7,7,0,31,34,Gold medal
2019,Kinantan Arya,Bagaspati,6,6,0,7,7,6,32,41,Gold medal
2024,Kevin,Adi Senjaya,7,7,0,7,7,1,29,47,Gold medal
2018,Farras Mohammad,Hibban Faddila,7,7,0,7,1,7,29,61,Silver medal
2018,Kinantan Arya,Bagaspati,7,7,0,7,7,1,29,61,Silver medal
2018,Alfian Edgar,Tjandra,7,7,0,7,7,1,29,61,Silver medal
2022,Rafael,Kristoforus Yanto,7,7,7,7,4,0,32,61,Silver medal
2019,Jonathan Christian,Nitisastro,7,7,0,7,7,0,28,65,Silver medal
2007,Raymond,Christopher,6,7,0,7,7,0,27,55,Silver medal
2016,Timothy Jacob,Wahyudi,7,7,0,7,2,3,26,68,Silver medal
2013,Fransisca,Susan,7,0,7,7,7,0,28,61,Silver medal
2012,Stefanus,Lie,7,1,0,7,7,2,24,72,Silver medal
2023,Rafael Kristoforus,Yanto,7,7,1,7,7,0,29,82,Silver medal
2017,Gian Cordana,Sanjaya,7,7,0,7,0,0,21,82,Silver medal
2018,Valentino Dante,Tjowasi,7,7,0,7,7,0,28,87,Silver medal
2011,Ivan Wangsa,Cipta Lingga,7,1,0,7,7,1,23,83,Silver medal
2014,Jonathan,Mulyawan Woenardi,5,7,0,7,7,0,26,83,Silver medal
2019,Aaron Alvarado,Kristanto,6,7,0,7,7,0,27,101,Silver medal
2019,Alfian Edgar,Tjandra,7,6,0,7,7,0,27,101,Silver medal
2017,Bimo Adityarahman,Wiraputra,7,4,0,7,2,0,20,103,Silver medal
2021,Stanve Avrilium ,Widjaja,7,0,0,7,7,0,21,105,Silver medal
2021,Aaron Alvarado Kristanto,Julistiono,7,0,0,7,7,0,21,105,Silver medal
2015,Adi Suryanata,Herwana,7,2,1,7,3,0,20,101,Silver medal
2016,Rezky,Arizaputra,7,2,0,7,7,0,23,114,Silver medal
2016,Erlang Wiratama,Surya,7,2,0,7,7,0,23,114,Silver medal
2014,Gede,Bagus Bayu Pentium,7,7,0,7,2,0,23,109,Silver medal
2011,Johan,Gunardi,7,0,1,7,7,0,22,113,Silver medal
2010,Ahmad,Zaky,7,7,0,7,0,0,21,106,Silver medal
2015,Rezky,Arizaputra,4,1,0,7,7,0,19,118,Silver medal
2019,Valentino Dante,Tjowasi,7,6,0,5,7,0,25,132,Silver medal
2008,Andreas Dwi Maryanto,Gunawan,7,5,0,4,7,0,23,116,Silver medal
2018,Otto Alexander,Sutianto,7,3,0,7,7,1,25,131,Silver medal
2001,Sie Hendrata,Dharmawan,7,0,0,7,6,0,20,108,Silver medal
2017,Kinantan Arya,Bagaspati,7,4,0,7,0,0,18,139,Bronze medal
2023,Rizky Rajendra,Ananta Dewa,7,7,1,7,2,0,24,145,Bronze medal
2016,Henry,Jayakusuma,7,3,0,7,4,0,21,146,Bronze medal
2022,Sandy,Kristian Waluyo,7,7,0,7,7,0,28,146,Bronze medal
2005,Sander,Parawira,7,0,7,7,0,0,21,131,Bronze medal
2009,Andreas Dwi Maryanto,Gunawan,7,2,0,7,7,0,23,148,Bronze medal
2012,Ahmad,Zaky,7,3,0,7,2,0,19,151,Bronze medal
2005,Andre Yohannes,Wibisono,7,1,0,7,4,0,19,144,Bronze medal
2013,Bivan Alzacky,Harmanto,7,2,0,7,6,0,22,151,Bronze medal
2010,Tobi,Moektijono,7,0,1,7,5,0,20,151,Bronze medal
2021,Elbert,Benedict,7,1,0,7,0,0,15,180,Bronze medal
2021,Farrel Dwireswara,Salim,7,0,1,7,0,0,15,180,Bronze medal
2014,Herbert,Ilhan Tanujaya,7,6,0,7,1,0,21,163,Bronze medal
2014,Reza,Wahyu Kumara,7,5,0,7,2,0,21,163,Bronze medal
2014,Fransisca,Susan,7,5,0,7,2,0,21,163,Bronze medal
2012,Tobi,Moektijono,7,7,0,4,0,0,18,163,Bronze medal
2012,Fransisca,Susan,7,1,0,7,3,0,18,163,Bronze medal
2024,Frederico,Samuel Halim,7,7,0,7,0,0,21,182,Bronze medal
