Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1995,Maryam,Mirzakhani,7,7,7,7,7,7,42,1,Gold medal
1998,Omid,Amini,7,7,7,7,7,7,42,1,Gold medal
1997,Eaman,Eftekhari,7,7,7,7,7,7,42,1,Gold medal
2005,Ali Akbar,Daemi,7,7,7,7,7,7,42,1,Gold medal
2017,Amirmojtaba,Sabour,7,7,0,7,7,7,35,1,Gold medal
2008,Kasra,Ahmadi,7,7,1,7,7,7,36,8,Gold medal
1998,Sahand,Haji Ali Ahmad,7,7,2,7,7,7,37,7,Gold medal
2013,Alek,Bedroya,7,7,7,7,7,0,35,10,Gold medal
2011,Mina,Dalirrooyfard,7,0,2,7,7,7,30,14,Gold medal
1998,Kasra,Alishahi,7,7,4,7,4,7,36,12,Gold medal
1999,Amir,Ajorlou,7,7,1,7,7,5,34,15,Gold medal
2015,Ali,Sayadi,7,5,7,7,3,0,29,19,Gold medal
1993,Mohammed,Mahdiaan,7,7,0,5,7,7,33,14,Gold medal
2020,Alireza,Haqi,7,7,4,7,7,1,33,22,Gold medal
2007,Seyedhesam,Firouzi,7,7,2,7,6,1,30,19,Gold medal
1998,Alireza,Keshavarzhaddad,7,7,2,4,7,7,34,18,Gold medal
1991,Behrang,Noohi,7,7,5,7,7,7,40,14,Gold medal
2015,Aria,Halavati,7,0,7,7,1,6,28,26,Gold medal
2023,Ehsan,Heidari,7,7,7,7,7,0,35,28,Gold medal
2018,Mohammad,Sharifi Kiasari,7,7,3,7,7,1,32,27,Gold medal
1997,Hadi,Salmasian,4,7,7,7,7,5,37,22,Gold medal
2024,Radin,Zahedigolpayegani,7,7,1,7,7,1,30,29,Gold medal
1998,Amir,Ajorlou,7,7,1,4,7,7,33,21,Gold medal
2000,Amin Aminzadeh,Gohari,7,1,3,7,7,7,32,25,Gold medal
2006,Jaber,Zarezadeh,7,7,0,7,7,0,28,27,Gold medal
2006,Nima,Ahmadi Pour Anari,7,7,0,7,7,0,28,27,Gold medal
2006,Naser,Talebizadeh Sardari,7,7,0,6,7,1,28,27,Gold medal
2012,Pedram,Safaee,7,7,0,7,7,1,29,30,Gold medal
1995,Reza,Sadeghi,7,7,7,7,7,2,37,23,Gold medal
1991,Payman L.,Kassaei,7,7,4,7,7,7,39,18,Gold medal
2015,Mojtaba,Zareh Bidaki,7,3,7,7,3,0,27,32,Gold medal
2017,Aryo,Lotfi Jandaghi,7,7,0,7,2,2,25,36,Gold medal
1994,Maziyar,Ramin Rad,7,7,6,7,7,7,41,23,Gold medal
1994,Maryam,Mirzakhani,6,7,7,7,7,7,41,23,Gold medal
1993,Mehrdaad,Abbaaspour,7,7,1,4,7,5,31,25,Gold medal
2012,Mina,Dalirrooyfard,7,7,0,7,7,0,28,33,Gold medal
2012,Alek,Bedroya,7,7,3,4,7,0,28,33,Gold medal
1997,Mohsen,Bahramgiri,7,7,7,7,7,1,36,28,Gold medal
1999,Seyed Majed,Taheri,7,7,1,7,7,1,30,28,Gold medal
