Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2021,Muhammed Ali,Othman,7,0,1,7,0,0,15,180,Bronze medal
2024,Ali Muqdad Mawlood,Al-Ani,7,2,0,2,7,0,18,238,Bronze medal
2024,Hatem Muqdad Mawlood,Al-Ani,7,2,0,7,0,0,16,283,Bronze medal
2024,Yousif Wameedh Ghassan,Algharani,7,0,0,7,0,0,14,366,Honourable mention
2019,Abdullah Muqdad Mawlood,Al-Ani,7,0,0,0,2,0,9,417,Honourable mention
2020,Mohammed Ali Othman,Othman,7,0,0,0,0,0,7,445,Honourable mention
2017,Abdulhameed Bassam,Hameed Al-Jarrah,7,0,0,0,0,0,7,528,Honourable mention
2018,Mustafa Hassan Khaleel,Al-Obaidi,6,0,0,0,0,0,6,441,
2019,Ibraheem Fadhil Adeeb,Al-Ani,1,0,0,1,2,0,4,489,
2021,Naime Beyza,Gokce,1,0,0,0,0,0,1,499,
2020,Abdullah Muqdad Mawlood,Al-Ani,0,0,0,5,0,0,5,498,
2019,Nizar Hussein,Ibrahim,0,0,0,0,2,0,2,523,
2020,Ibraheem Fadhil Adeeb,Al-Ani,0,2,0,0,0,0,2,521,
2023,Yousif Wameedh Ghassan,Algharani,2,0,0,0,2,0,4,527,
2023,Hatem Muqdad Mawlood,Al-Ani,1,0,0,1,2,0,4,527,
2021,Mohammed Muqdad,Mawlood,0,0,0,0,0,0,0,533,
2021,Musa Semih,Sahin,0,0,0,0,0,0,0,533,
2021,Mehmet Hakan,Topal,0,0,0,0,0,0,0,533,
2020,Mustafa Hassan Khaleel,Al-Obaidi,1,0,0,0,0,0,1,532,
2023,Ali Muqdad Mawlood,Al-Ani,2,0,0,1,0,0,3,535,
2019,Akar Hassan,Abdalqadir,1,0,0,0,0,0,1,540,
2019,Mustafa Hassan Khaleel,Al-Obaidi,1,0,0,0,0,0,1,540,
2016,Mohammed Turki,Mubrd,1,0,0,0,0,0,1,539,
2016,Abdulhameed Bassam,Hameed Al-Jarrah,0,0,0,0,0,1,1,539,
2018,Abdullah Muqdad,Mawlood Al-Ani,1,0,0,0,0,0,1,538,
2018,Akar Hassan,Abdalqadir,0,0,0,1,0,0,1,538,
2018,Ibrahim Fadhil,Adeeb Al-Ani,0,0,0,0,1,0,1,538,
2017,Abdullah Muqdad,Mawlood Al-Ani,2,0,0,1,0,0,3,559,
2020,Naime Beyza,Gokce,0,0,0,0,0,0,0,560,
2020,Zafer Burak,Bulut,0,0,0,0,0,0,0,560,
2017,Meer Kamal,M. Mohammed,1,0,0,1,0,0,2,567,
2019,Nabaz Muhammed,Sabah,0,0,0,0,0,0,0,573,
2024,Ihsan,Dagdelenli,1,0,0,0,0,0,1,565,
2024,Sebnem,Yilmaz,1,0,0,0,0,0,1,565,
2016,Arsan Safeen,Yaseen,0,0,0,0,0,0,0,568,
2016,Hevar Hamid,Abdulrahman,0,0,0,0,0,0,0,568,
2016,Mustafa Hassan Khaleel,Al-Obaidi,0,0,0,0,0,0,0,568,
2017,Mustafa Hassan Khaleel,Al-Obaidi,1,0,0,0,0,0,1,582,
2018,Wizhdan Ibrahim,Mahmood,0,0,0,0,0,0,0,565,
2018,Nizar Hussein,Ibrahim,0,0,0,0,0,0,0,565,
2023,Şebnem,Yilmaz,0,0,0,0,0,0,0,603,
