Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1997,Kári,Ragnarsson,4,0,7,7,7,0,25,100,Silver medal
2006,Örn,Stefánsson,7,4,0,7,0,0,18,132,Bronze medal
2014,Sigurður Jens,Albertsson,7,6,0,7,1,0,21,163,Bronze medal
1999,Stefán Ingi,Valdimarsson,7,1,3,2,1,1,15,138,Bronze medal
1990,Frosti,Pétursson,0,7,2,7,4,0,20,96,Bronze medal
1991,Frosti,Pétursson,7,7,1,1,7,0,23,117,Bronze medal
2008,Guðmundur Reynir,Gunnarsson,7,1,0,7,2,0,17,199,Bronze medal
2023, Benedikt Vilji,Magnússon,6,1,0,7,7,0,21,237,Bronze medal
1988,Guðbjörn Freyr,Jónsson,7,0,0,1,7,0,15,113,Bronze medal
2018,Elvar Wang,Atlason,7,2,0,7,1,0,17,250,Bronze medal
1996,Magnús,Þór Torfason,3,0,2,0,0,7,12,180,Bronze medal
2003,Eyvindur Ari,Pálsson,2,3,0,7,1,0,13,197,Bronze medal
2005,Örn,Stefánsson,7,1,0,6,0,0,14,225,Bronze medal
2018,Ari Páll,Agnarsson,7,1,0,7,0,0,15,290,Honourable mention
2015,Dagur Tómas,Ásgeirsson,6,0,0,7,0,0,13,283,Honourable mention
1998,Stefán Ingi,Valdimarsson,4,0,2,7,0,0,13,206,Honourable mention
2000,Pawel,Bartoszek,0,2,1,7,0,0,10,230,Honourable mention
2011,Áslaug,Haraldsdóttir,7,0,0,7,1,0,15,282,Honourable mention
2004,Höskuldur Pétur,Halldórsson,7,1,1,2,4,0,15,244,Honourable mention
1989,Guðbjörn Freyr,Jónsson,7,3,0,7,0,0,17,148,Honourable mention
2006,Guðmundur Reynir,Gunnarsson,7,0,0,7,0,0,14,254,Honourable mention
2007,Guðmundur Reynir,Gunnarsson,3,1,0,7,1,0,12,266,Honourable mention
2022,Benedikt Vilji,Magnússon,7,3,0,7,1,2,20,314,Honourable mention
2002,Eyvindur Ari,Pálsson,0,0,0,4,7,0,11,266,Honourable mention
2017,Elvar Wang,Atlason,7,3,0,4,0,0,14,342,Honourable mention
1992,Bjarni,Halldórsson,7,0,1,1,0,2,11,180,Honourable mention
2011,Ásgeir,Valfells,7,0,0,3,2,0,12,320,Honourable mention
2020,Arnar Ágúst,Kristjánsson,7,2,0,3,0,0,12,358,Honourable mention
2015,Garðar Andri,Sigurðsson,7,1,0,2,0,0,10,337,Honourable mention
2021,Benedikt Vilji,Magnússon,7,0,0,0,0,0,7,372,Honourable mention
2018,Tómas Ingi,Hrólfsson,7,0,0,2,1,0,10,368,Honourable mention
2003,Líney Halla,Kristinsdóttir,7,1,0,0,0,0,8,292,Honourable mention
2002,Stefán,Þorvarðarson,7,0,0,0,1,0,8,308,Honourable mention
2002,Helga,Ragnheiður Haraldsdóttir,0,0,0,7,1,0,8,308,Honourable mention
2010,Áslaug,Haraldsdóttir,5,0,0,7,0,0,12,337,Honourable mention
1998,Pétur,Runólfsson,0,7,0,1,0,0,8,271,Honourable mention
1998,Sveinn Birgir,Sigurðsson,0,0,1,0,7,0,8,271,Honourable mention
2011,Benedikt,Blöndal,7,0,0,2,0,0,9,378,Honourable mention
2010,Ragnheiður,Guðbrandsdóttir,2,2,0,7,0,0,11,351,Honourable mention
2006,Einar Axel,Helgason,7,1,0,2,0,0,10,335,Honourable mention
2013,Benedikt,Blöndal,7,1,0,0,0,0,8,355,Honourable mention
2013,Ásgeir,Valfells,0,7,0,0,1,0,8,355,Honourable mention
2017,Atli Fannar,Franklín,7,1,0,4,0,0,12,416,Honourable mention
2015,Hjalti Þór,Ísleifsson,1,0,0,7,0,0,8,394,Honourable mention
2009,Ingólfur,Eðvarðsson,7,0,0,0,0,0,7,393,Honourable mention
2024,Ragna María,Sverrisdóttir,4,0,0,7,0,0,11,425,Honourable mention
1989,Hrafnkell,Kárason,0,7,0,2,0,0,9,204,Honourable mention
2010,Sólrún Halla,Einarsdóttir,7,0,0,3,0,0,10,366,Honourable mention
2024,Valur Einar,Georgsson,1,0,0,2,7,0,10,434,Honourable mention
2019,Vigdís,Gunnarsdóttir,1,0,0,0,7,0,8,444,Honourable mention
2018,Hrólfur,Eyjólfsson,0,0,0,7,0,0,7,430,Honourable mention
2010,Helga Kristín,Ólafsdóttir,1,1,0,7,0,0,9,386,Honourable mention
2022,Sverrir,Hákonarson,7,0,0,5,0,0,12,436,Honourable mention
2023,Hrafnkell Hvanndal,Halldórsson,7,0,0,0,2,0,9,459,Honourable mention
2023,Kirill,Zolotuskiy,7,0,0,0,2,0,9,459,Honourable mention
2019,Andri Snær,Axelsson,7,0,0,0,0,0,7,463,Honourable mention
1994,Magnús,Þór Torfason,0,3,0,0,0,7,10,297,Honourable mention
2023,Ísak,Norðfjörð,7,0,0,0,1,0,8,490,Honourable mention
2014,Hjalti Þór,Ísleifsson,0,0,0,7,0,0,7,446,Honourable mention
2023, Matthías Andri,Hrafnkelsson,7,0,0,0,0,0,7,508,Honourable mention
2022,Kirill,Zolotuskiy,7,0,0,1,0,0,8,493,Honourable mention
2017,Hrólfur,Eyjólfsson,7,0,0,0,0,0,7,528,Honourable mention
1993,Bjarni,Halldórsson,1,0,0,0,5,3,9,210,
1987,Sverrir Örn,Þorvaldsson,7,2,1,0,7,0,17,121,
1996,Kári,Ragnarsson,3,0,2,1,0,3,9,227,
1998,Marteinn Þór,Harðarson,2,5,2,0,0,1,10,242,
1993,Daníel F.,Guðbjartsson,1,0,0,0,3,3,7,241,
1999,Bjarni Kristinn,Torfason,5,0,1,2,1,0,9,270,
1988,Sverrir Örn,Þorvaldsson,2,3,0,1,4,0,10,166,
2007,Einar Axel,Helgason,3,1,0,6,0,0,10,322,
2000,Guðni,Ólafsson,4,1,0,3,0,0,8,287,
2001,Guðni,Ólafsson,1,0,1,2,3,0,7,296,
1986,Fjóla Rún,Björnsdóttir,7,0,0,1,3,1,12,133,
1987,Davíð,Aðalsteinsson,7,0,1,3,0,0,11,151,
1999,Guðni,Ólafsson,4,0,3,1,0,0,8,292,
1997,Stefán Ingi,Valdimarsson,3,0,0,6,0,0,9,299,
2001,Stefán,Þorvarðarson,3,0,0,0,3,0,6,312,
1985,Agúst,Sverrir Egilsson,1,0,0,1,7,0,9,139,
1987,Geir,Agnarsson,1,7,0,2,0,0,10,159,
2000,Ingvar,Sigurjónsson,3,1,0,3,0,0,7,309,
1986,Ari Kristinn,Jónsson,7,0,0,1,3,0,11,142,
1996,Sveinn Birgir,Sigurðsson,4,0,1,0,0,0,5,290,
1995,Georg,Lúðvíksson,0,0,6,4,0,0,10,291,
2019,Tómas Ingi,Hrólfsson,5,0,0,1,2,0,8,444,
2005,Baldur,Sigurðsson,0,3,0,0,0,0,3,368,
2014,Garðar Andri,Sigurðsson,2,6,0,1,0,0,9,404,
2004,Örn,Stefánsson,6,0,1,0,1,0,8,351,
2000,Eyvindur Ari,Pálsson,1,1,0,4,0,0,6,333,
1988,Halldór,Árnason,1,4,1,1,0,0,7,195,
2016,Guðjón Helgi,Auðunsson,5,0,0,2,0,0,7,443,
2009,Ögmundur,Eiríksson,6,0,0,0,0,0,6,416,
2019,Árni,Bjarnsteinsson,1,0,0,4,2,0,7,463,
2015,Jóhann Ólafur,Sveinbjarnarson,4,1,0,0,1,0,6,431,
2002,Höskuldur Pétur,Halldórsson,1,1,0,3,0,0,5,360,
1993,Bergþór,Björgvinsson,0,1,0,0,3,0,4,311,
2003,Höskuldur Pétur,Halldórsson,2,0,0,3,0,0,5,346,
2008,Trausti,Sæmundsson,1,1,0,4,0,0,6,406,
1987,Guðbjörn Freyr,Jónsson,1,0,1,2,3,0,7,180,
2009,Arna,Pálsdóttir,5,0,0,0,0,0,5,429,
2021,Einar Andri,Víðisson,2,0,0,0,0,0,2,470,
1999,Pawel,Bartoszek,5,0,0,1,0,0,6,344,
2001,Helga,Ragnheiður Haraldsdóttir,0,2,0,0,1,0,3,364,
1986,Sverrir Örn,Þorvaldsson,7,1,0,0,1,0,9,162,
2005,Einar Axel,Helgason,0,1,0,1,0,0,2,396,
2005,María Helga,Guðmundsdóttir,0,1,0,1,0,0,2,396,
2005,Benjamín Ragnar,Sveinbjörnsson,0,1,0,1,0,0,2,396,
1997,Marteinn Þór,Harðarson,1,0,0,4,1,0,6,356,
2012,Sigurður Kári,Árnason,4,0,0,3,0,0,7,425,
2006,Pétur Orri,Ragnarsson,5,1,0,2,0,0,8,388,
2016,Álfheiður Edda,Sigurðardóttir,1,1,0,0,4,0,6,469,
2009,Paul,Frigge,4,0,0,0,0,0,4,444,
2009,Helgi,Kristjánsson,3,0,0,0,1,0,4,444,
2019,Friðrik Snær,Björnsson,1,0,0,1,2,0,4,489,
1997,Pétur,Runólfsson,1,0,0,4,0,0,5,364,
2018,Breki,Pálsson,0,1,0,2,1,0,4,470,
2003,Örn,Arnaldsson,2,0,0,2,0,0,4,363,
2011,Hólmfríður,Hannesdóttir,3,0,0,0,2,0,5,449,
1988,Ásta Kristjana,Sveinsdóttir,1,0,0,0,4,0,5,214,
2000,Bjarni Kristinn,Torfason,2,2,0,0,0,0,4,368,
2016,Atli Fannar,Franklín,5,0,0,0,0,0,5,481,
1994,Alfreð,Hauksson,0,0,6,1,2,0,9,309,
2021,Selma Rebekka,Kattoll,1,0,0,0,0,0,1,499,
2021,Viktor Már,Guðmundsson,1,0,0,0,0,0,1,499,
2019,Arnar Ágúst,Kristjánsson,1,0,0,0,2,0,3,504,
1985,Hákon,Guðbjartsson,1,0,1,2,0,0,4,170,
2013,Gunnar Thor,Örnólfsson,0,6,0,0,0,0,6,429,
2004,Örn,Arnaldsson,3,1,0,1,0,0,5,396,
1995,Kári,Ragnarsson,1,0,0,5,0,0,6,337,
2018,Andri Snær,Axelsson,1,0,0,2,0,0,3,486,
2006,Elvar Steinn,Kjartansson,5,0,0,2,0,0,7,408,
1993,Alfreð,Hauksson,0,0,0,0,3,0,3,339,
2007,Pétur Orri,Ragnarsson,5,0,0,1,0,0,6,430,
2007,Hlín,Önnudóttir,0,0,0,6,0,0,6,430,
2013,Sigurður Jens,Albertsson,0,2,0,3,0,0,5,436,
2011,Sigurður Kári,Árnason,3,0,0,1,0,0,4,466,
2020,Karl,Andersson Claesson,0,0,0,3,0,0,3,512,
2020,Andri Snær,Axelsson,0,0,0,0,3,0,3,512,
2020,Emil,Fjóluson Thoroddsen,0,0,0,3,0,0,3,512,
2015,Atli Fannar,Franklín,1,0,0,2,0,0,3,480,
2016,Elvar Wang,Atlason,1,0,0,2,0,0,3,501,
2008,Hlín,Önnudóttir,0,0,0,4,0,0,4,448,
2024,Merkúr Máni,Hermannsson,0,0,0,0,6,0,6,511,
2014,Jóhann Ólafur,Sveinbjarnarson,3,1,0,1,0,0,5,470,
2004,Jón,Guðmundsson,2,1,0,1,0,0,4,408,
2003,Ásgeir,Alexandersson,0,1,0,2,0,0,3,386,
1994,Bjarni,Einarsson,0,4,1,2,0,0,7,326,
2006,Jón,Benediktsson,5,0,0,1,0,0,6,422,
2014,Dagur Tómas,Ásgeirsson,1,2,0,1,0,0,4,476,
2012,Benedikt,Blöndal,1,1,0,2,0,0,4,465,
2012,Arnór,Valdimarsson,2,0,0,2,0,0,4,465,
1989,Ólafur Örn,Jónsson,0,1,0,3,0,0,4,248,
2010,Helgi,Kristjánsson,1,1,0,3,1,0,6,445,
2023,Víkingur Þorri Reykjalín,Sigurðsson,4,0,0,0,0,0,4,527,
2002,Þorbjörn,Guðmundsson,1,0,0,1,0,0,2,410,
2002,Líney Halla,Kristinsdóttir,0,1,0,0,1,0,2,410,
2021,Óðinn,Andrason,0,0,0,0,0,0,0,533,
2021,Arnar,Ingason,0,0,0,0,0,0,0,533,
2020,Kári,Rögnvaldsson,1,0,0,0,0,0,1,532,
2011,Haukur Óskar,Þorgeirsson,2,0,0,0,1,0,3,491,
2017,Ari Páll,Agnarsson,5,0,0,1,0,0,6,538,
2024,Hrafnkell,Hvanndal Halldórsson,2,1,0,0,0,0,3,533,
2024,Magnús,Thor Holloway,3,0,0,0,0,0,3,533,
1991,Hersir,Sigurgeirsson,0,2,0,0,1,0,3,279,
1996,Pétur,Runólfsson,0,0,1,1,0,0,2,372,
1996,Hannes,Helgason,0,0,2,0,0,0,2,372,
1998,Björn,Bennewitz,0,1,1,0,0,0,2,369,
2012,Ásgeir,Valfells,0,0,0,3,0,0,3,483,
2010,Paul,Frigge,4,1,0,0,0,0,5,461,
1989,Halldór,Árnason,0,1,1,1,0,0,3,258,
1997,Hannes,Helgason,1,0,0,0,0,1,2,408,
2017,Breki,Pálsson,4,1,0,0,0,0,5,547,
2008,Ingólfur,Eðvarðsson,0,1,0,1,0,0,2,479,
2008,Auðunn Skúta,Snæbjarnarson,1,0,0,1,0,0,2,479,
2016,Martha Guðrún,Bjarnadóttir,1,0,0,0,0,0,1,539,
2016,Hannes Kristinn,Árnason,0,0,0,1,0,0,1,539,
1992,Alfreð,Hauksson,0,0,0,3,0,0,3,289,
2004,Sigþór Bessi,Bjarnason,0,0,1,1,0,0,2,437,
1986,Geir,Agnarsson,4,0,0,1,0,0,5,189,
2000,Indriði,Einarsson,0,1,0,1,0,0,2,416,
2022,Kristján Dagur,Jónsson,3,1,0,0,0,0,4,532,
2022,Ragna María,Sverrisdóttir,1,0,0,3,0,0,4,532,
2024,Álfrún,Haraldsdóttir,1,0,0,1,0,0,2,551,
2014,Kristján Andri,Gunnarsson,0,0,0,1,0,0,1,507,
1990,Ólafur Örn,Jónsson,2,0,0,2,1,0,5,279,
1990,Birgir,Örn Arnarson,2,0,1,0,1,1,5,279,
2001,Grétar Már,Ragnarsson Amazeen,0,0,1,0,0,0,1,429,
2001,Eyvindur Ari,Pálsson,0,0,1,0,0,0,1,429,
1991,Gestur,Guðjónsson,0,1,0,0,1,0,2,289,
2020,Bjarki,Baldursson Harksen,0,0,0,0,0,0,0,560,
2012,Sigurður Jens,Albertsson,1,0,0,1,0,0,2,498,
1997,Stefán,Freyr Guðmundsson,1,0,0,0,0,0,1,419,
2015,Elvar Wang,Atlason,0,0,0,1,0,0,1,532,
1992,Daníel F.,Guðbjartsson,0,1,1,0,0,0,2,297,
2022,Viktor Már,Guðmundsson,1,1,0,0,1,0,3,544,
1996,Stefán,Freyr Guðmundsson,0,0,1,0,0,0,1,392,
1995,Hannes,Helgason,1,0,0,1,0,0,2,381,
1998,Pawel,Bartoszek,0,0,1,0,0,0,1,388,
2007,Ögmundur,Eiríksson,0,0,0,1,0,0,1,482,
1991,Bjarni,Halldórsson,0,1,0,0,0,0,1,297,
2013,Aðalbjörg,Egilsdóttir,0,0,0,0,0,0,0,494,
2013,Jón Aron,Lundberg,0,0,0,0,0,0,0,494,
2004,Salvör,Egilsdóttir,1,0,0,0,0,0,1,456,
2012,Hjörvar Logi,Ingvarsson,1,0,0,0,0,0,1,514,
1994,Ingileif B.,Hallgrímsdóttir,0,3,0,0,0,0,3,362,
2001,Andri,Kristinsson,0,0,0,0,0,0,0,446,
2017,Valgeir,Sigurðsson,1,0,0,0,0,0,1,582,
2005,Inga,Steinunn Helgadóttir,0,0,0,0,0,0,0,486,
1995,Einar,Guðfinnsson,1,0,0,0,0,0,1,395,
1991,Ásbjörn,Ólafsson,0,0,0,0,0,0,0,305,
1991,Grétar,Kárason,0,0,0,0,0,0,0,305,
1999,Ingvar,Sigurjónsson,1,0,0,1,0,0,2,435,
2009,Helga Kristín,Ólafsdóttir,0,0,0,0,0,0,0,547,
2007,Jón,Benediktsson,0,0,0,0,0,0,0,506,
2003,Hringur,Grétarsson,0,0,0,0,0,0,0,446,
1999,Alfred,Kjeld,0,0,0,1,0,0,1,444,
