Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2007,Pietro,Vertechi,7,7,0,7,7,7,35,4,Gold medal
2015,Francesco,Sala,7,6,7,7,5,0,32,9,Gold medal
2021,Matteo,Poletto,7,0,7,7,7,7,35,10,Gold medal
2022,Matteo,Damiano,7,7,6,7,7,7,41,11,Gold medal
2013,Dario,Ascari,7,7,7,7,7,0,35,10,Gold medal
2017,Nikita,Deniskin,7,7,0,7,7,0,28,14,Gold medal
2011,Andrea,Bianchi,7,6,3,7,7,0,30,14,Gold medal
2014,Dario,Ascari,7,7,6,7,1,7,35,15,Gold medal
2010,Luca,Ghidelli,7,7,1,7,7,1,30,16,Gold medal
2006,Maria,Colombo,7,7,0,7,7,2,30,16,Gold medal
2022,Massimiliano,Foschi,7,7,2,7,7,7,37,19,Gold medal
1993,Marco,Cammi,7,2,6,4,7,7,33,14,Gold medal
2020,Matteo,Damiano,7,7,4,7,7,1,33,22,Gold medal
2023,Luca,Sartori,7,7,7,7,7,1,36,23,Gold medal
2016,Filippo Gianni,Baroni,7,7,0,7,7,3,31,23,Gold medal
1990,Sergio,Conti,6,6,5,7,6,6,36,14,Gold medal
2006,Simone,Di Marino,7,7,0,7,7,0,28,27,Gold medal
2020,Massimiliano,Foschi,7,7,3,7,7,1,32,34,Gold medal
2017,Fabio,Pruneri,7,4,0,7,7,0,25,36,Gold medal
2009,Andrea,Fogari,7,7,5,7,7,0,33,37,Gold medal
2024,Enrico,Zonta,7,7,3,7,5,0,29,47,Gold medal
2009,Giovanni,Paolini,7,7,4,7,7,0,32,44,Gold medal
2016,Jacopo Guoyi,Chen,7,7,1,7,3,3,28,45,Silver medal
2018,Bernardo,Tarini,7,7,0,7,7,2,30,49,Silver medal
2021,Romeo,Passaro,7,2,0,7,7,0,23,53,Silver medal
2021,Matteo,Damiano,7,1,1,7,7,0,23,53,Silver medal
2021,Massimiliano,Foschi,7,0,1,7,7,1,23,53,Silver medal
2013,Federico,Glaudo,7,7,2,7,7,0,30,46,Silver medal
2009,Pietro,Vertechi,7,7,7,3,7,0,31,50,Silver medal
2014,Francesco,Ballini,7,7,0,7,7,0,28,50,Silver medal
2008,Andrea,Fogari,7,1,7,7,7,1,30,48,Silver medal
2006,Francesco,Cavazzani,7,7,1,7,4,0,26,45,Silver medal
2024,Alessandro,Lombardo,7,7,0,7,7,0,28,59,Silver medal
2018,Saro,Passaro,7,7,0,7,7,1,29,61,Silver medal
2018,Federico,Viola,7,7,0,7,7,1,29,61,Silver medal
2016,Federico,Viola,7,6,0,7,7,0,27,63,Silver medal
2019,Massimiliano,Foschi,7,7,0,7,7,0,28,65,Silver medal
2019,Matteo,Poletto,7,7,0,7,7,0,28,65,Silver medal
