Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2005,Toshiki,Kataoka,7,7,7,7,7,7,42,1,Gold medal
2005,Tsukasa,Kuribayashi,7,7,7,7,7,7,42,1,Gold medal
2009,Makoto,Soejima,7,7,7,7,7,7,42,1,Gold medal
2017,Yuta,Takaya,7,7,0,7,7,7,35,1,Gold medal
2022,Yuya,Oki,7,7,7,7,7,7,42,1,Gold medal
2024,Satoshi,Kano,7,7,2,7,7,7,37,4,Gold medal
2009,Akio,Kishikawa,7,7,7,7,7,4,39,4,Gold medal
2014,Yuji,Yamamoto,7,6,7,7,7,5,39,5,Gold medal
2018,Naoki,Kuroda,7,7,3,7,7,7,38,6,Gold medal
2011,Kensuke,Yoshida,7,6,7,7,7,1,35,6,Gold medal
2007,Toshiki,Kataoka,7,7,3,7,7,1,32,7,Gold medal
2009,Kazuhiro,Hosaka,7,7,7,7,7,3,38,8,Gold medal
1997,Tetsuyuki,Maruoka,7,7,7,7,7,5,40,7,Gold medal
1996,Sachiko,Nakajima,7,7,7,7,1,7,36,7,Gold medal
1998,Kentaro,Nagao,7,7,3,7,7,6,37,7,Gold medal
2010,Akio,Kishikawa,7,7,7,7,6,0,34,9,Gold medal
2023,Ryunosuke,Kitamura,7,7,7,7,7,2,37,12,Gold medal
2009,Motoki,Takigiku,7,7,5,5,7,5,36,12,Gold medal
2014,Soh,Kumabe,7,7,1,7,7,7,36,12,Gold medal
2008,Makoto,Soejima,7,7,7,7,7,0,35,12,Gold medal
2006,Yuta,Ohashi,7,7,7,7,3,0,31,13,Gold medal
1992,Hiroki,Kodama,7,7,7,7,0,7,35,11,Gold medal
1995,Tetsuyuki,Maruoka,7,7,7,6,7,7,41,15,Gold medal
2007,Makoto,Soejima,7,7,1,7,7,1,30,19,Gold medal
2016,Yuta,Takaya,7,7,0,7,7,3,31,23,Gold medal
2006,Masaki,Watanabe,7,7,0,7,7,1,29,21,Gold medal
2011,Takuma,Kitamura,7,4,1,7,7,3,29,25,Gold medal
2005,Masaki,Watanabe,7,7,2,7,7,7,37,23,Gold medal
2019,Taiyo,Kodama,7,7,7,6,7,0,34,28,Gold medal
2019,Heizo,Sakamoto,7,6,0,7,7,7,34,28,Gold medal
2023,Tanoshi,Furuya,7,7,7,7,7,0,35,28,Gold medal
2014,Satoshi,Hayakawa,7,7,0,7,7,5,33,26,Gold medal
2024,Siwoo,Kim,7,7,2,7,7,0,30,29,Gold medal
2009,Shiro,Imamura,7,7,7,6,7,0,34,27,Gold medal
2010,Shutaro,Inoue,7,7,7,7,0,0,28,27,Gold medal
2004,Toshihiro,Shimizu,7,7,3,7,3,7,34,28,Gold medal
2017,Naoki,Kuroda,7,4,0,7,7,0,25,36,Gold medal
1994,Satoru,Takahashi,7,7,7,7,6,7,41,23,Gold medal
2002,Naoki,Imai,7,6,6,7,3,0,29,29,Gold medal
2000,Kentaro,Nagao,7,1,3,6,7,7,31,28,Gold medal
1999,Atsushi,Ito,6,3,4,7,7,3,30,28,Gold medal
2003,Masaki,Nishimoto,7,7,0,7,7,1,29,29,Gold medal
2008,Norifumi,Seki,7,7,4,7,7,0,32,35,Gold medal
2004,Masaki,Nishimoto,6,7,3,7,3,7,33,33,Gold medal
2014,Takahiro,Ueoro,7,7,1,7,7,0,29,40,Gold medal
2021,Yuhi,Kamio,7,1,0,2,7,7,24,48,Gold medal
2001,Yuji,Odaka,7,5,2,7,5,4,30,38,Gold medal
1999,Kentaro,Nagao,7,7,7,4,0,3,28,37,Gold medal
1991,Atsuo,Yamauchi,7,7,7,3,7,7,38,21,Silver medal
2016,Sogo,Murakami,7,7,0,7,0,7,28,45,Silver medal
2016,Rikimaru,Kurata,7,7,2,7,4,1,28,45,Silver medal
2003,Yoshiki,Oshima,7,7,0,7,7,0,28,38,Silver medal
1996,Tetsuyuki,Maruoka,7,7,6,7,0,0,27,36,Silver medal
1995,Satoru,Takahashi,7,0,7,7,7,7,35,36,Silver medal
2013,Mayuko,Yamashita,7,2,7,7,7,0,30,46,Silver medal
2023,Satoshi,Kano,7,7,3,7,7,0,31,55,Silver medal
2006,Toshiki,Kataoka,7,7,2,7,1,2,26,45,Silver medal
1997,Sachiko,Nakajima,7,7,0,7,5,7,33,44,Silver medal
2020,Naoki,Watanabe,7,7,0,7,7,1,29,59,Silver medal
1992,Hiroki,Tamura,7,7,7,1,1,7,30,32,Silver medal
2021,Yuya,Oki,7,1,0,7,7,0,22,63,Silver medal
2018,Daishi,Kiyohara,7,7,0,7,7,1,29,61,Silver medal
2019,Yudai,Hiraishi,7,6,1,7,7,0,28,65,Silver medal
2007,Norifumi,Seki,7,7,0,7,5,0,26,60,Silver medal
2022,Ryunosuke,Kitamura,7,7,2,7,7,1,31,68,Silver medal
2013,Takahiro,Ueoro,7,7,0,7,7,0,28,61,Silver medal
2013,Kento,Nomura,7,7,0,7,7,0,28,61,Silver medal
2012,Hiroki,Komatsu,7,6,0,7,5,0,25,64,Silver medal
2017,Soji,Kubota,7,1,0,7,7,0,22,72,Silver medal
1993,Satoru,Takahashi,7,0,7,3,4,5,26,49,Silver medal
2004,Yuya,Matsumoto,6,7,2,7,1,7,30,58,Silver medal
2004,Kei,Irie,7,7,2,7,5,2,30,58,Silver medal
1992,Tatsuyuki,Iwata,5,3,7,7,3,4,29,39,Silver medal
2002,Hiroki,Kondo,7,6,1,7,6,0,27,58,Silver medal
2016,Ko,Aoki,6,7,0,7,2,3,25,78,Silver medal
1997,Kentaro,Nagao,2,7,7,7,7,0,30,60,Silver medal
2012,Takuma,Kitamura,7,7,0,2,7,1,24,72,Silver medal
2008,Shiro,Imamura,5,1,7,6,7,1,27,71,Silver medal
1996,Yuji,Tachikawa,2,1,7,7,0,7,24,57,Silver medal
2001,Naoki,Imai,7,4,1,7,3,2,24,65,Silver medal
2005,Akinori,Mitani,7,7,0,7,0,7,28,72,Silver medal
2022,Takumi,Sannomiya,7,7,2,7,6,1,30,84,Silver medal
2022,Tasuku,Imoto,7,7,1,7,6,2,30,84,Silver medal
2022,Shuto,Arai,6,7,2,7,7,1,30,84,Silver medal
2010,Takuma,Kitamura,7,7,1,7,0,0,22,76,Silver medal
2010,Hiroki,Koshiyama,7,7,0,7,0,1,22,76,Silver medal
2008,Kazuhiro,Hosaka,7,5,0,7,7,0,26,78,Silver medal
2018,Tomochika,Arai,7,7,0,7,7,0,28,87,Silver medal
1991,Taku,Katagiri,7,7,4,7,7,3,35,47,Silver medal
2011,Ryu,Minegishi,7,1,0,7,7,1,23,83,Silver medal
