Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2010,Nursultan,Khadjimuratov,7,7,1,7,3,7,32,11,Gold medal
2004,Kuat,Yessenov,7,7,2,7,7,7,37,12,Gold medal
2010,Denis,Ovchinnikov,7,7,5,7,0,5,31,13,Gold medal
2015,Akhan,Ismailov,7,6,2,7,7,0,29,19,Gold medal
2001,Baurzhan,Bektemirov,7,7,2,7,7,3,33,21,Gold medal
2001,Aman,Zhumekeshov,7,7,0,7,7,5,33,21,Gold medal
2017,Amir,Mokhammed-Ali,7,4,0,7,7,1,26,30,Gold medal
2010,Kanat,Satylkhanov,7,7,7,7,0,0,28,27,Gold medal
2016,Amir,Mokhammed-Ali,7,7,0,7,2,7,30,35,Gold medal
2001,Alibek,Aldangarov,7,7,2,7,7,2,32,28,Gold medal
2003,Kuat,Yessenov,7,7,0,7,7,1,29,29,Gold medal
2008,Yegor,Klochkov,7,7,4,7,7,0,32,35,Gold medal
2001,Igor,Ganichev,7,3,0,7,7,7,31,33,Gold medal
2014,Akhan,Ismailov,7,7,1,7,7,0,29,40,Gold medal
2021,Aibek,Myrzatay,7,7,1,7,0,2,24,48,Gold medal
2004,Andrey,Kim,7,5,4,7,4,5,32,38,Gold medal
2017,Alikhan,Kudaibergenov,7,3,0,7,7,0,24,49,Silver medal
2020,Tair,Satubaldin,7,7,7,7,1,1,30,50,Silver medal
2020,Tamirlan,Bektemissov,7,7,2,7,7,0,30,50,Silver medal
2002,Baurzhan,Bektemirov,7,7,1,7,6,0,28,40,Silver medal
2002,Igor,Ganichev,6,7,1,7,7,0,28,40,Silver medal
2001,Sergey,Umentayev,7,7,1,7,7,0,29,40,Silver medal
2023,Miron,Yurkevich,7,7,7,7,3,0,31,55,Silver medal
2024,Margulan,Sharel,7,7,0,7,5,2,28,59,Silver medal
2024,Amirlan,Amanzholov,7,7,0,7,7,0,28,59,Silver medal
2021,Fetullakh,Sam,7,0,1,7,7,0,22,63,Silver medal
2018,Aruzhan,Amanbayeva,7,7,0,7,7,1,29,61,Silver medal
2022,Fetullakh,Sam,7,7,2,7,7,2,32,61,Silver medal
2019,Danat,Duisenbekov,7,7,0,7,7,0,28,65,Silver medal
2019,Shyngys,Bilyalov,7,6,0,7,7,1,28,65,Silver medal
2003,Baurzhan,Bektemirov,7,3,0,7,6,2,25,50,Silver medal
2005,Andrey,Kim,7,5,1,7,7,3,30,57,Silver medal
2016,Temirkhan,Zimanov,7,7,0,7,4,0,25,78,Silver medal
2002,Kuat,Yessenov,7,7,1,4,7,0,26,64,Silver medal
2017,Temirkhan,Zimanov,7,3,0,7,0,4,21,82,Silver medal
2020,Nurtas,Shyntas,7,7,0,7,7,0,28,86,Silver medal
2022,Tair,Satubaldin,7,7,1,7,7,1,30,84,Silver medal
2010,Rauan,Rakhmet,7,7,0,7,1,0,22,76,Silver medal
2018,Alexey,Tsekhovoy,7,7,0,7,7,0,28,87,Silver medal
2018,Alikhan,Kudaibergenov,7,7,0,7,7,0,28,87,Silver medal
2009,Kanat,Satylkhanov,7,7,1,6,7,0,28,83,Silver medal
2003,Baurzhan,Urgunshbayev,7,7,0,7,1,0,22,69,Silver medal
2023,Raiymbek,Baishuak,7,7,5,7,2,0,28,104,Silver medal
2021,Danat,Duisenbekov,7,0,0,7,7,0,21,105,Silver medal
2005,Daniyar,Kelbetov,3,7,0,7,7,2,26,93,Silver medal
2022,Miron,Yurkevich,7,7,1,7,7,0,29,112,Silver medal
2000,Igor,Ganichev,7,7,1,7,0,0,22,89,Silver medal
2009,Yegor,Klochkov,7,6,1,5,7,0,26,110,Silver medal
1993,Alexander,Averjanov,7,0,4,3,4,3,21,83,Silver medal
2011,Medet,Zhanbulatuly,7,0,1,6,7,1,22,113,Silver medal
2010,Medet,Zhanbulatuly,7,7,0,7,0,0,21,106,Silver medal
2015,Olzhas,Kadyrakunov,7,2,0,7,3,0,19,118,Silver medal
2012,Yerniyaz,Nurgabylov,7,7,0,7,0,0,21,112,Silver medal
2007,Igor,Stassiy,3,7,2,7,2,0,21,110,Silver medal
2008,Nursultan,Khadjimuratov,7,5,0,4,0,7,23,116,Silver medal
2018,Shyngys,Bilyalov,7,2,0,7,7,2,25,131,Silver medal
2014,Sergazy,Kalmurzayev,7,2,0,7,6,0,22,124,Silver medal
2009,Nursultan,Khadjimuratov,7,7,1,7,2,0,24,130,Silver medal
2021,Tair,Satubaldin,6,6,1,7,0,0,20,143,Silver medal
2006,Nurbol,Duisenbayev,7,1,1,7,3,0,19,117,Silver medal
2008,Tussupbekov,Yerkin,7,7,0,7,1,0,22,127,Silver medal
2024,Miron,Yurkevich,7,7,0,7,0,1,22,147,Silver medal
2013,Alibek,Sailanbayev,7,3,0,7,7,0,24,131,Silver medal
2017,Aruzhan,Amanbayeva,7,3,0,7,1,0,18,139,Bronze medal
2023,Zhan,Dautov,7,7,1,7,2,0,24,145,Bronze medal
2023,Batyrkhan ,Sakenov,7,7,1,7,2,0,24,145,Bronze medal
2023,Vladimir,Rogovskiy,7,7,0,7,3,0,24,145,Bronze medal
2019,Nurtas,Shyntas,7,7,0,7,2,0,23,147,Bronze medal
