Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2016,Renyi,Qu,1,0,0,0,0,4,5,481,
2021,Reagan,Momanyi,0,0,0,1,0,0,1,499,
2021,Allan,Orina,0,0,0,1,0,0,1,499,
2016,Stefan,Tesliuc,2,0,0,0,2,0,4,493,
2020,John,Yoshi,0,2,0,0,0,0,2,521,
2016,Cynthia,Migika,1,0,0,0,0,1,2,515,
2021,Dev Bijesh Mansukhlal,Shah,0,0,0,0,0,0,0,533,
2021,Jeremy,Michoma,0,0,0,0,0,0,0,533,
2021,Joshua Kinara,Onunda,0,0,0,0,0,0,0,533,
2021,John,Yoshi,0,0,0,0,0,0,0,533,
2024,Gilbert Amani,Ongoro,3,0,0,0,0,0,3,533,
2017,Charles Onyango,Opiyo,3,0,0,0,2,0,5,547,
2023,Paul Mwangi,Maina,2,0,0,0,0,0,2,554,
2023,Tony Rotich,Odhiambo,2,0,0,0,0,0,2,554,
2024,Len Muriungi,Mutuma,1,0,0,0,1,0,2,551,
2020,Lukundo Okemba,Odhiambo,0,0,0,0,0,0,0,560,
2020,Monicah Njeri,Kimani,0,0,0,0,0,0,0,560,
2020,Paul,Mwangi,0,0,0,0,0,0,0,560,
2020,Abigael Mukene,Kyalo,0,0,0,0,0,0,0,560,
2017,Ben,Kyalo,0,0,0,2,0,0,2,567,
2019,Keziah Nyabengeya,Keya,0,0,0,0,0,0,0,573,
2019,Stephen Obure,Nyabuto,0,0,0,0,0,0,0,573,
2024,Tony Rotich,Odhiambo,1,0,0,0,0,0,1,565,
2024,Cynthia Kathomi,Mworia,1,0,0,0,0,0,1,565,
2016,Yash,Khapre,0,0,0,0,0,0,0,568,
2016,Victor,Momanyi,0,0,0,0,0,0,0,568,
2016,Kais,Mussa,0,0,0,0,0,0,0,568,
2017,Brian,Kirui,0,0,0,1,0,0,1,582,
2024,Alfred Githui,Muriu,0,0,0,0,0,0,0,589,
2017,Demetrius Sarrin,Chisombe,0,0,0,0,0,0,0,604,
2017,Isha,Khapre,0,0,0,0,0,0,0,604,
2017,Beracah May,Nyang'Or,0,0,0,0,0,0,0,604,
