Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2024,Nazar Azizbekovich,Kirgizbaev,7,7,0,7,7,1,29,47,Gold medal
2010,Azamat,Askarov,7,7,0,7,1,0,22,76,Silver medal
2024,Ian,Bobrus,7,3,0,7,7,0,24,100,Silver medal
2024,Eldar,Iskanderov,7,2,0,7,7,0,23,125,Silver medal
2024,Isken,Kenzhebaev,7,2,0,7,5,1,22,147,Silver medal
2004,Nurdin,Takenov,6,6,0,7,3,0,22,143,Bronze medal
2017,Saadinur,Azisbek Uulu,7,3,0,7,0,0,17,188,Bronze medal
2003,Timur,Mambetov,7,1,0,7,0,0,15,163,Bronze medal
2003,Nurdin,Takenov,0,1,7,7,0,0,15,163,Bronze medal
2005,Bekjan,Djumabaev,7,1,0,7,0,0,15,207,Bronze medal
2005,Ernist,Tilenbaev,7,0,0,1,7,0,15,207,Bronze medal
2017,Bekzhol,Zholdubai Uulu,7,0,0,7,2,0,16,265,Bronze medal
2010,Susarbek,Baibaev,1,7,0,7,0,0,15,226,Bronze medal
2007,Nurazem,Kaldybaev,0,7,0,7,0,0,14,226,Bronze medal
2020,Erdan,Apiev,7,2,0,0,7,0,16,272,Bronze medal
2000,Murat,Abduvaliev,2,7,0,2,0,0,11,213,Bronze medal
2013,Kairat,Eshbolotov,0,0,7,7,1,0,15,250,Bronze medal
2017,Begaaly,Chiketaev,7,1,0,7,0,0,15,292,Honourable mention
2022,Tilek,Askerbekov,7,7,0,7,1,0,22,286,Honourable mention
2007,Ermek,Bekbolot Uulu,3,0,0,3,7,0,13,254,Honourable mention
2021,Myrzabek,Belekov,4,0,0,7,0,0,11,304,Honourable mention
2023,Fedor,Korniiash,7,3,0,7,0,0,17,315,Honourable mention
2016,Saadinur,Azisbek Uulu,7,0,0,7,0,0,14,312,Honourable mention
2021,Tilek,Askerbekov,2,0,0,7,0,0,9,332,Honourable mention
2018,Bekzhol,Zholdubai Uulu,7,3,0,3,0,0,13,320,Honourable mention
2005,Bektur,Mambetov,0,2,0,7,0,0,9,277,Honourable mention
2002,Timur,Mambetov,7,0,0,4,0,0,11,266,Honourable mention
2017,Doslan,Zheksheev,7,0,0,7,0,0,14,342,Honourable mention
2004,Aibek,Djolbunov,7,3,0,0,3,0,13,272,Honourable mention
2020,Adilbek,Abdirasulov,7,1,0,0,5,0,13,345,Honourable mention
2003,Ernist,Tilenbaev,0,1,0,7,1,0,9,269,Honourable mention
2003,Aibek,Djolbunov,0,1,0,7,1,0,9,269,Honourable mention
2018,Doslan,Zheksheev,7,2,0,2,0,0,11,350,Honourable mention
2023,Aidin,Asankadyrov,7,1,0,7,0,0,15,366,Honourable mention
2008,Bekbolot,Urmatuulu,7,0,0,4,0,0,11,320,Honourable mention
2016,Doslan,Zheksheev,7,0,0,4,0,0,11,379,Honourable mention
2012,Syrgak,Zhylkybaev,7,1,0,2,0,0,10,350,Honourable mention
2012,Ilias,Subanov,7,1,0,2,0,0,10,350,Honourable mention
2022,Talgat ,Baktybekov,5,2,0,7,2,0,16,377,Honourable mention
2006,Makhamadkhan,Ishmatov,7,0,1,2,1,0,11,319,Honourable mention
2024,Nursultan,Eshperov,1,5,0,7,0,0,13,400,Honourable mention
2023,Nurtilek,Duishobaev,7,4,0,2,0,0,13,407,Honourable mention
2009,Azamat,Zhabykeev,1,7,0,0,0,0,8,376,Honourable mention
2022,Nurtilek,Duishobaev,7,0,0,7,1,0,15,394,Honourable mention
2014,Kairat,Eshbolotov,3,1,0,7,0,0,11,375,Honourable mention
2006,Evgenii,Balai,7,1,0,2,0,0,10,335,Honourable mention
2023,Ian,Bobrus,7,0,1,1,3,0,12,416,Honourable mention
2017,Amirbek,Abdirasulov,5,0,0,7,0,0,12,416,Honourable mention
