Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2010,Bunthan,Iea,7,0,0,7,0,0,14,266,Honourable mention
2007,Rasmey,Mak,3,0,0,7,0,0,10,322,Honourable mention
2010,Pumsakheyna,Chea,4,1,0,7,0,0,12,337,Honourable mention
2010,Vong,Vuthea,7,0,1,3,0,0,11,351,Honourable mention
2008,Samrith,Ly,7,1,0,0,0,0,8,368,Honourable mention
2007,Kim Leang,Song,0,1,0,7,0,0,8,365,Honourable mention
2007,Sovanlandy,Pheng,0,0,0,7,1,0,8,365,Honourable mention
2019,Usa,An,1,7,0,0,0,0,8,444,Honourable mention
2015,David,Taingngind,0,0,0,7,0,0,7,420,Honourable mention
2015,Sophearak,Choeng,0,0,0,7,0,0,7,420,Honourable mention
2016,Heng,Ngov,7,0,0,0,0,0,7,443,Honourable mention
2010,Sodarith,Seng,1,0,0,7,0,0,8,401,Honourable mention
2010,Bunchhieng,Soth,0,0,0,7,0,0,7,418,Honourable mention
2017,Techheang,Meng,1,0,0,7,0,0,8,497,Honourable mention
2009,Sopheak,Touch,2,3,0,1,0,0,6,416,
2008,Dara,Se,1,1,0,4,0,0,6,406,
2008,Darareaksmey,Saing,4,0,0,1,0,0,5,424,
2015,Mengsay,Loem,1,0,1,2,0,0,4,465,
2009,Nam,Seang,2,1,0,0,0,0,3,459,
2018,Hong Sheng,Dan,3,0,0,0,0,0,3,486,
2018,Vannalin,Phol,3,0,0,0,0,0,3,486,
2015,Someta,Sor,0,0,0,2,1,0,3,480,
2016,Namchhoen,Veng,3,0,0,0,0,0,3,501,
2008,Bunvirak,Seng,0,0,0,4,0,0,4,448,
2010,Tepkagna,Ly,2,1,0,3,0,0,6,445,
2009,Panha,Ouk,0,1,0,1,0,0,2,482,
2016,Puthvathna,Chourn,2,0,0,0,0,0,2,515,
2018,Samith,Va,2,0,0,0,0,0,2,511,
2018,Koemseang,Chhoun,2,0,0,0,0,0,2,511,
2019,Yongchhing,Chhun,0,1,0,0,0,0,1,540,
2019,Seyha,Sun,1,0,0,0,0,0,1,540,
2015,Malineth,Chea,0,0,0,2,0,0,2,508,
2008,Seav Er,Huy,0,1,0,1,0,0,2,479,
2016,Seavmey,Chip,1,0,0,0,0,0,1,539,
2009,Kunthea,Din,0,1,0,0,0,0,1,511,
2009,Leanghour,Lim,0,1,0,0,0,0,1,511,
2009,Guechlaing,Chea,0,0,0,1,0,0,1,511,
2018,Ly An,Chhay,1,0,0,0,0,0,1,538,
2015,Sereysopea,Ung,0,0,0,0,1,0,1,532,
2019,Eangly,Te,0,0,0,0,0,0,0,573,
2019,Theanwin,Mom,0,0,0,0,0,0,0,573,
2019,Monivathana,Ly,0,0,0,0,0,0,0,573,
2016,Sothea,Saren,0,0,0,0,0,0,0,568,
2016,Sovannit,Oun,0,0,0,0,0,0,0,568,
2017,Hong Sheng,Dan,0,0,0,1,0,0,1,582,
2017,Sothiroth,Hem,0,0,0,1,0,0,1,582,
2017,Piseth,Sophy,0,0,0,1,0,0,1,582,
2018,Ompor,Chin,0,0,0,0,0,0,0,565,
2007,Sophanha,Thy,0,0,0,0,0,0,0,506,
2008,Chhavy,Chan,0,0,0,0,0,0,0,521,
2017,Sodavann,Hak,0,0,0,0,0,0,0,604,
2017,Sivmey,Chhun,0,0,0,0,0,0,0,604,
