Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1995,Sug Woo,Shin,7,7,7,7,7,7,42,1,Gold medal
2013,Eunsoo,Jee,7,6,7,7,7,7,41,1,Gold medal
2016,Jaewon,Choi,7,7,7,7,7,7,42,1,Gold medal
2016,Eui Cheon,Hong,7,7,7,7,7,7,42,1,Gold medal
2016,Junghun,Ju,7,7,7,7,7,7,42,1,Gold medal
2023,Junhwi,Bae,7,7,7,7,7,7,42,1,Gold medal
2019,Youngjun,Cho,7,7,7,7,7,7,42,1,Gold medal
2012,Dong Ryul,Kim,7,7,7,5,7,7,40,2,Gold medal
1996,Yu Seek,Kong,4,7,7,7,7,7,39,2,Gold medal
2021,Gyudong,Lee,7,7,1,7,7,7,36,3,Gold medal
2021,Jimin,Kim,7,1,7,7,7,7,36,3,Gold medal
2015,Junghun,Ju,7,5,7,7,7,7,40,3,Gold medal
1996,Sug Woo,Shin,7,7,7,7,3,7,38,3,Gold medal
2020,Sangyoun,Ko,7,7,7,7,7,1,36,4,Gold medal
2020,Eunsu,Hur,7,7,7,7,7,1,36,4,Gold medal
2012,Jaewon,Chang,7,7,4,6,7,7,38,4,Gold medal
2024,Hyeongjoe,Chu,7,2,7,7,7,5,35,5,Gold medal
2015,Jaehyung,Kim,7,7,1,7,7,6,35,5,Gold medal
2013,Dong Ryul,Kim,7,7,3,7,7,7,38,5,Gold medal
2017,Jeonghyun,Ahn,7,7,1,7,0,7,29,7,Gold medal
2017,Sehun,Kim,7,7,0,7,1,7,29,7,Gold medal
2017,Dain,Kim,7,7,0,7,7,1,29,7,Gold medal
2006,Seok Hyeong,Lee,7,7,7,7,7,0,35,6,Gold medal
2014,Dong Ryul,Kim,7,7,7,7,3,7,38,7,Gold medal
2019,Seungho,Song,7,7,5,7,7,7,40,8,Gold medal
2007,Whan,Ghang,7,7,4,7,7,0,32,7,Gold medal
2023,Woojin,Choi,7,5,7,7,7,7,40,9,Gold medal
2012,Hanwool,Moon,7,7,4,7,7,4,36,9,Gold medal
2019,Sangyoun,Ko,7,6,4,7,7,7,38,11,Gold medal
2013,Sung Jin,Park,7,7,6,7,7,1,35,10,Gold medal
2023,Gyudong,Lee,7,7,7,7,7,2,37,12,Gold medal
2022,Woojin,Choi,7,7,7,7,7,5,40,12,Gold medal
2001,Myoung Sup,Kim,7,7,1,7,7,7,36,10,Gold medal
2008,Kyeong Sik,Nam,7,7,7,7,7,0,35,12,Gold medal
2008,Dong Gyu,Lim,7,7,7,7,7,0,35,12,Gold medal
2017,Songun,Lee,7,7,0,7,0,7,28,14,Gold medal
2017,Kyu Hyeon,Choi,7,7,0,7,7,0,28,14,Gold medal
2007,Jeha,Yang,7,7,2,7,7,1,31,12,Gold medal
2011,Jaewon,Chang,7,2,7,7,7,2,32,13,Gold medal
2019,Jimin,Kim,7,7,7,7,7,1,36,15,Gold medal
2009,Sang Hoon,Lee,7,7,7,7,7,0,35,14,Gold medal
2011,Sung Gi,Park,7,1,7,7,7,1,30,14,Gold medal
2012,Sung Jin,Park,7,7,3,7,7,3,34,15,Gold medal
2019,Hongnyung,Kim,7,6,7,7,7,1,35,18,Gold medal
2019,Ji Won,Kang,7,6,1,7,7,7,35,18,Gold medal
2022,Gyudong,Lee,7,7,7,7,6,4,38,18,Gold medal
1997,Jee Chul,Woo,7,7,7,7,7,3,38,15,Gold medal
1999,Suh Hyun,Choi,7,7,4,7,6,3,34,15,Gold medal
2003,June Hyuk,Jung,7,7,0,7,7,7,35,16,Gold medal
2016,Sehun,Kim,7,6,1,7,7,3,31,23,Gold medal
2022,Junhwi,Bae,7,7,7,7,7,1,36,23,Gold medal
2002,Yeong,Dae Kwon,6,6,5,7,5,2,31,19,Gold medal
2004,Seung Myung,Lee,7,7,4,7,7,3,35,20,Gold medal
2006,Ju Gang,Nam,7,7,7,7,1,0,29,21,Gold medal
2006,In Hwan,Choi,7,1,1,7,7,6,29,21,Gold medal
2000,Young-Han,Park,7,7,5,4,3,7,33,20,Gold medal
2012,Dong Hyo,Kim,7,7,3,7,7,0,31,24,Gold medal
2005,Doo,Sung Park,7,7,7,7,7,2,37,23,Gold medal
2023,Youngbeom,Jin,7,7,7,7,7,0,35,28,Gold medal
2018,Hongnyung,Kim,7,7,0,7,7,4,32,27,Gold medal
2017,Seungyoon,Baek,7,4,0,7,7,2,27,29,Gold medal
2024,Kyungjun,Park,7,7,2,7,0,7,30,29,Gold medal
2009,Hyun Sub,Hwang,7,7,7,6,7,0,34,27,Gold medal
2012,Tae Hwan,Park,7,7,0,7,7,2,30,27,Gold medal
1998,Se Yong,Park,7,7,7,7,3,2,33,21,Gold medal
1999,Lin,Han,7,7,4,7,2,4,31,23,Gold medal
1999,Young-Han,Park,6,7,4,7,6,1,31,23,Gold medal
1992,Jong Won,Park,7,4,7,7,6,2,33,17,Gold medal
2010,Sang Hoon,Lee,7,7,7,7,0,0,28,27,Gold medal
2010,Sanghun,Song,7,7,7,7,0,0,28,27,Gold medal
2010,Junhwa,Jung,7,7,7,7,0,0,28,27,Gold medal
2010,Bumsoo,Kim,7,7,1,7,0,6,28,27,Gold medal
2021,Junhwi,Bae,7,0,0,7,7,7,28,32,Gold medal
2000,Seung Hyup,Lee,7,7,5,3,5,5,32,25,Gold medal
2006,Whan,Ghang,7,1,7,7,6,0,28,27,Gold medal
2008,Soo Hong,Lee,6,7,7,7,7,0,34,29,Gold medal
1995,Kyo,Min Jeong,7,7,7,7,7,2,37,23,Gold medal
2015,Jaewon,Choi,7,0,7,7,3,3,27,32,Gold medal
2005,Won,Ho Jeong,7,7,6,7,7,2,36,29,Gold medal
2005,Ju Gang,Nam,5,7,7,7,7,3,36,29,Gold medal
2003,Yeo-Il,Yoon,7,7,1,7,7,1,30,26,Gold medal
2013,Se Hyun,Ji,7,7,3,7,7,1,32,30,Gold medal
2013,Jongwon,Lee,7,7,0,7,7,4,32,30,Gold medal
2018,Seungho,Song,7,7,3,7,7,0,31,34,Gold medal
2018,Dain,Kim,7,7,0,7,7,3,31,34,Gold medal
2001,Suehyun,Kwon,7,7,2,7,7,2,32,28,Gold medal
2000,Suh Hyun,Choi,7,7,2,6,7,2,31,28,Gold medal
2014,Minhyuk,Kim,7,7,7,7,2,0,30,36,Gold medal
2009,Tae Gu,Kang,7,7,5,7,7,0,33,37,Gold medal
2021,Eunsu,Hur,5,0,1,7,7,7,27,41,Gold medal
1998,Lin,Han,7,1,2,7,7,7,31,29,Gold medal
2001,Yoon Suk,Hyun,7,7,1,7,7,2,31,33,Gold medal
2021,Minkyu,Choi,7,1,1,7,7,1,24,48,Gold medal
2004,Sung-Yoon,Kim,6,7,4,7,7,1,32,38,Gold medal
2008,Gyu Jin,Oh,7,7,3,7,7,0,31,43,Gold medal
1991,Byung Hee,Choi,7,7,3,7,7,7,38,21,Silver medal
2007,Soo Hong,Lee,7,7,0,7,7,0,28,40,Silver medal
2003,Byoung Hyuck,Kim,5,7,0,7,2,7,28,38,Silver medal
2002,In,Suk Seo,6,6,1,7,6,2,28,40,Silver medal
2001,Young Jun,Jang,7,7,1,7,7,0,29,40,Silver medal
2001,Joo Yong,Ahn,7,7,1,7,7,0,29,40,Silver medal
2023,Jihoo,Lee,7,7,7,7,3,0,31,55,Silver medal
2014,Hong-Kwon,Jo,7,7,0,7,7,0,28,50,Silver medal
2014,San Ha,Lee,7,0,7,7,7,0,28,50,Silver medal
