Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2017,Shend,Zhjeqi,7,1,0,7,2,1,18,139,Bronze medal
2016,Doruntina,Sylejmani,7,2,0,7,0,0,16,253,Bronze medal
2016,Shend,Zhjeqi,7,0,1,7,0,0,15,281,Honourable mention
2019,Leart,Ajvazaj,7,0,0,7,2,0,16,303,Honourable mention
2015,Doruntina,Sylejmani,4,1,0,7,1,0,13,283,Honourable mention
2021,Diar,Gashi,4,0,0,7,0,0,11,304,Honourable mention
2019,Viktor,Ahmeti,7,6,0,1,1,0,15,326,Honourable mention
2017,Ardita,Berisha,7,0,0,7,0,0,14,342,Honourable mention
2022,Dion,Aliu,1,7,0,7,1,0,16,377,Honourable mention
2018,Duart,Nishefci,7,0,0,2,0,0,9,391,Honourable mention
2018,Viktor,Ahmeti,7,1,0,0,0,1,9,391,Honourable mention
2011,Arbër,Selimi,7,0,0,0,2,0,9,378,Honourable mention
2013,Besart,Kodraliu,1,0,0,7,0,0,8,355,Honourable mention
2013,Petrit,Avdylaj,1,0,0,7,0,0,8,355,Honourable mention
2017,Viktor,Ahmeti,5,0,0,7,0,0,12,416,Honourable mention
2020,Bardh,Osmani,7,1,0,0,0,0,8,419,Honourable mention
2020,Dren,Neziri,7,0,0,1,0,0,8,419,Honourable mention
2020,Lorik,Ramosaj,7,0,1,0,0,0,8,419,Honourable mention
2016,Arbër,Avdullahu,1,0,0,7,0,0,8,429,Honourable mention
2024,Ajan,Hajrullahu,7,0,0,3,0,0,10,434,Honourable mention
2024,Haris,Shaqiri,1,2,0,7,0,0,10,434,Honourable mention
2024,Edi,Berisha,7,0,0,2,1,0,10,434,Honourable mention
2019,Dren,Neziri,7,0,0,0,1,0,8,444,Honourable mention
2020,Andi,Sejdiu,7,0,0,0,0,0,7,445,Honourable mention
2020,Florian,Shabani,7,0,0,0,0,0,7,445,Honourable mention
2022,Viol,Guda,7,1,0,3,1,0,12,436,Honourable mention
2023,Edi,Berisha,7,0,0,2,0,0,9,459,Honourable mention
2023,Orges,Ajvazi,7,0,0,2,0,0,9,459,Honourable mention
2013,Valdrin,Sherifi,0,0,0,7,0,0,7,394,Honourable mention
2024,Orges,Ajvazi,7,1,0,1,0,0,9,457,Honourable mention
2022,Lum,Jerliu,1,1,0,7,0,0,9,469,Honourable mention
2022,Yllkë ,Jashari,1,0,0,7,0,0,8,493,Honourable mention
2021,Edon,Ramadani,4,0,0,4,0,0,8,348,
2021,Dion,Aliu,2,0,0,0,0,0,2,470,
2021,Era,Syla,1,0,0,1,0,0,2,470,
2011,Endrit,Fejzullahu,3,0,0,1,1,0,5,449,
2016,Ardita,Berisha,2,0,0,3,0,0,5,481,
2015,Albert,Hoxha,1,0,0,2,1,0,4,465,
2012,Arbër,Selimi,4,0,0,2,0,0,6,442,
2019,Duart,Nishefci,2,0,0,1,0,0,3,504,
2018,Leart,Ajvazaj,0,0,0,1,1,1,3,486,
2011,Islam,Foniqi,2,0,0,1,1,0,4,466,
2015,Liron,Morina,1,1,0,0,1,0,3,480,
2023,Erijon ,Hasi,2,3,0,1,0,0,6,515,
2024,Era,Januzi,5,0,0,0,1,0,6,511,
2023,Lum,Jerliu,2,3,0,0,0,0,5,521,
2016,Liron,Morina,1,0,0,1,0,0,2,515,
2021,Edi,Berisha,0,0,0,0,0,0,0,533,
2021,Viol,Guda,0,0,0,0,0,0,0,533,
2023,Olt,Imeri,2,0,0,1,0,0,3,535,
2019,Urim,Hoxha,1,0,0,0,0,0,1,540,
2011,Zoje,Selimi,2,0,1,0,0,0,3,491,
2017,Alban,Elezi,5,0,0,1,0,0,6,538,
2024,Shpendi,Deva,3,0,0,0,0,0,3,533,
2022,Arlind,Topanica,1,1,0,3,1,0,6,517,
2015,Besart,Kodraliu,0,0,0,1,1,0,2,508,
2017,Flutura,Shabani,5,0,0,0,0,0,5,547,
2016,Alban,Elezi,1,0,0,0,0,0,1,539,
2023,Dion,Aliu,0,0,0,0,2,0,2,554,
2013,Bardh,Shabani,1,0,0,0,0,0,1,474,
2013,Doruntina,Sylejmani,1,0,0,0,0,0,1,474,
2022,Edi,Berisha,1,0,0,3,0,0,4,532,
2020,Diar,Gashi,0,0,0,0,0,0,0,560,
2012,Valdrin,Sherifi,0,1,0,1,0,0,2,498,
2015,Arbër,Igrishta,0,0,0,0,1,0,1,532,
2015,Arbër,Avdullahu,0,0,0,0,1,0,1,532,
2019,Fisnik,Topalli,0,0,0,0,0,0,0,573,
2013,Alban,Kryeziu,0,0,0,0,0,0,0,494,
2012,Shqipron,Shala,0,0,0,1,0,0,1,514,
2011,Shqipron,Shala,1,0,0,0,0,0,1,530,
2018,Din,Dedaqi,0,0,0,0,0,0,0,565,
2018,Urim,Hoxha,0,0,0,0,0,0,0,565,
2018,Bardh,Osmani,0,0,0,0,0,0,0,565,
2011,Hamdi,Dërvodeli,0,0,0,0,0,0,0,544,
2012,Erza,Raskova,0,0,0,0,0,0,0,529,
2012,Besart,Kodraliu,0,0,0,0,0,0,0,529,
2012,Petrit,Avdylaj,0,0,0,0,0,0,0,529,
