Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1990,Abdul-Rahman,Ahmad,6,3,2,3,2,1,17,131,Bronze medal
1990,Qais,Al-Bassam,7,3,1,1,0,1,13,184,Honourable mention
1990,Danah,Al-Mulla,5,2,3,3,2,0,15,156,
1986,?,?,5,0,0,0,6,3,14,121,
1989,?,Al-Mutawa,1,3,6,4,0,0,14,172,
1987,Lamya,Al Rubaiah,2,4,0,2,5,0,13,141,
1986,?,?,5,2,0,0,6,0,13,129,
1986,?,?,4,1,0,4,2,0,11,142,
1987,Gahar,Al Tailji,2,0,1,2,3,1,9,170,
1989,?,Owayed,0,3,5,0,0,0,8,209,
1988,Maisoun,Al-Mosallam,3,0,0,0,0,3,6,201,
1993,Hesham,Al-Obaid,0,0,0,2,2,0,4,311,
1993,Khaleefa,Al-Sabah,0,0,0,2,2,0,4,311,
2000,Mohammad,Saoud,1,1,0,2,1,0,5,350,
1989,?,Dashti,0,3,0,3,0,0,6,229,
1997,Yagoub,Abdullah,1,4,0,0,0,0,5,364,
2003,Mekdad,Asad Allah,0,3,0,0,1,0,4,363,
1988,Ali,Al-Mutairi,0,0,1,4,0,0,5,214,
2000,Moudi Ebrahim,Alshatti,0,2,0,1,1,0,4,368,
1984,H. M. S. A.,Ahmad,3,0,0,2,0,0,5,156,
1985,Esmail,Redha,3,0,0,0,1,0,4,170,
2004,Hamad,Al-Jiran,0,2,0,0,3,0,5,396,
1986,?,?,5,2,0,0,1,0,8,172,
1993,Shathour,Al-Guname,0,2,0,1,0,0,3,339,
1988,Haitham,Al-Haji,1,0,0,0,0,3,4,223,
1988,Fouzi,Al-Essa,3,0,0,0,1,0,4,223,
1990,Shaima,Al-Ghunaim,2,0,2,4,0,0,8,257,
2001,Mohammad,AlWoqayyan,2,0,0,0,0,0,2,398,
2003,Mahmoud,Jamal,0,1,0,2,0,0,3,386,
2000,Khaled,Aljinaee,0,1,0,1,1,0,3,394,
1987,Fawzi,Mohamme Ahdulla,0,2,2,0,0,0,4,203,
2006,Sayed,Almohri,0,0,0,5,0,0,5,427,
2005,Mohammad,Sayed Zahed,1,0,0,0,0,0,1,445,
2005,Mahmeed,Al-Mahmeed,0,0,0,1,0,0,1,445,
2005,Mohammad,Al-Adwani,0,0,0,0,0,1,1,445,
1988,Safa,Abdil Salam,3,0,0,0,0,0,3,233,
1993,Abdulaziz,Qasem,1,0,0,1,0,0,2,360,
1993,Horeyay,Sarkhoh,0,0,0,1,1,0,2,360,
1999,Mahdi,Ghuloom,3,0,0,1,0,0,4,394,
