Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2014,Robert,Meier,7,6,0,7,2,0,22,124,Silver medal
2015,Robert,Meier,7,2,0,7,2,0,18,140,Bronze medal
2009,Florian,Meier,6,4,0,6,3,0,19,198,Bronze medal
2007,Florian,Meier,3,1,0,7,3,0,14,226,Bronze medal
2013,Robert,Meier,0,7,0,7,1,0,15,250,Bronze medal
2008,Florian,Meier,7,2,0,4,0,0,13,284,Honourable mention
2024,Leonhard,Hasler,7,0,0,7,0,0,14,366,Honourable mention
2022,Tobias,Marxer,4,1,0,7,0,0,12,436,Honourable mention
2023,Tobias,Marxer,7,0,0,0,2,0,9,459,Honourable mention
2023,Leonhard,Hasler,7,0,1,0,0,0,8,490,Honourable mention
2017,Ladina,Wohlwend,7,0,0,1,0,0,8,497,Honourable mention
2017,Nicole,Ospelt,7,0,0,1,0,0,8,497,Honourable mention
2005,Stefan,Wanger,1,0,0,1,1,0,3,368,
2012,Robert,Meier,1,1,0,3,0,0,5,450,
2011,Robert,Meier,2,1,0,1,0,0,4,466,
2009,Ricarda,Gassner,0,1,0,1,0,0,2,482,
2016,Nicole,Ospelt,1,1,0,0,0,0,2,515,
2008,Ricarda,Gassner,1,2,0,0,0,0,3,459,
2005,Alexander,Beck,1,0,0,0,0,0,1,445,
2017,Annika,Oehri,5,0,0,1,0,0,6,538,
2006,Tim,Stockwell,0,1,0,1,0,0,2,459,
2005,David,Oehri,0,0,0,0,0,0,0,486,
2012,Andreas,Bühler,0,0,0,0,0,0,0,529,
2007,Gabriela,Binder,0,0,0,0,0,0,0,506,
