Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1981,Michel,Dauphin,7,7,7,7,7,7,42,1,Gold medal
1990,Marc,Pauly,7,7,4,7,7,4,36,14,Gold medal
1989,Christian,Pauly,5,7,7,7,7,0,33,48,Silver medal
1988,Christian,Pauly,7,4,1,7,7,0,26,47,Silver medal
1994,Laurent,Berger,0,7,7,6,5,7,32,74,Silver medal
2004,Marc,Kaufmann,7,4,0,7,7,0,25,101,Silver medal
1993,Laurent,Berger,7,3,0,7,3,0,20,91,Silver medal
1990,Pascal,Zeihen,7,3,4,1,6,1,22,80,Bronze medal
2000,Tom,Schaul,7,4,0,5,1,2,19,123,Bronze medal
1989,Marc,Pauly,7,7,0,7,7,0,28,82,Bronze medal
1988,Marc,Pauly,7,4,1,0,7,1,20,82,Bronze medal
1999,Georges,Baatz,5,0,3,0,7,0,15,138,Bronze medal
2013,Gilles,Englebert,7,7,0,7,0,0,21,163,Bronze medal
1984,Marcel,Cox,7,1,0,7,7,0,22,63,Bronze medal
2007,Giancarlo,Kerg,0,2,0,7,7,0,16,171,Bronze medal
2012,Victor,Quach,7,7,0,3,0,0,17,182,Bronze medal
1987,Christian,Pauly,7,7,6,1,6,0,27,83,Bronze medal
1988,Alain,Knaff,6,7,1,1,3,0,18,94,Bronze medal
2003,Marc,Kaufmann,7,1,0,7,0,0,15,163,Bronze medal
2009,Jingran,Lin,7,7,1,1,0,2,18,208,Bronze medal
2011,Grégoire,Genest,7,0,1,7,2,0,17,222,Bronze medal
2008,Jingran,Lin,7,1,0,1,7,0,16,212,Bronze medal
1991,Pascal,Zeihen,0,7,3,4,7,0,21,133,Bronze medal
1998,Dominic,Pinto,2,7,2,1,4,0,16,176,Bronze medal
2017,Martin,Rakovsky,6,1,0,7,2,0,16,265,Bronze medal
2009,Pierre,Haas,7,7,0,1,0,0,15,249,Bronze medal
2000,Georges,Baatz,6,1,0,5,0,0,12,204,Bronze medal
2008,Pierre,Haas,7,1,0,7,0,0,15,238,Bronze medal
2024,Khalid,Khan,7,2,0,7,0,0,16,283,Bronze medal
2009,Marc,Sinner,0,7,0,5,2,0,14,264,Bronze medal
2014,Charel,Thull,7,2,0,7,0,0,16,267,Bronze medal
2000,Robert,Meyer,7,1,0,2,0,0,10,230,Honourable mention
2011,Jérôme,Urhausen,7,0,0,6,2,0,15,282,Honourable mention
2010,Philippe,Schram,7,0,0,7,0,0,14,266,Honourable mention
2024,Jos,Winkin,7,0,0,1,7,0,15,327,Honourable mention
2003,Sam,Meyer,7,1,0,2,0,0,10,247,Honourable mention
2008,Giancarlo,Kerg,7,1,0,4,0,0,12,297,Honourable mention
2017,Oliver,Nick,7,0,0,7,0,0,14,342,Honourable mention
2007,Jingran,Lin,3,1,0,7,0,0,11,293,Honourable mention
2018,Nathaël,Da Costa,7,3,0,2,0,0,12,338,Honourable mention
2014,Gilles,Englebert,7,6,0,1,0,0,14,321,Honourable mention
2008,Marc,Sinner,7,0,0,4,0,0,11,320,Honourable mention
2024,Louise,Bernier,7,0,0,7,0,0,14,366,Honourable mention
2021,Sasha,Biryukov,0,0,0,7,0,0,7,372,Honourable mention
1998,Ming-Koon,Hsu,1,7,1,0,0,0,9,253,Honourable mention
2009,Grégoire,Genest,7,0,0,1,1,0,9,354,Honourable mention
2015,Tara,Trauthwein,1,0,0,7,1,0,9,365,Honourable mention
2014,Christina,Meyer,2,2,0,7,0,0,11,375,Honourable mention
2006,Giancarlo,Kerg,7,0,0,3,0,0,10,335,Honourable mention
2012,Gilles,Englebert,7,0,0,2,0,0,9,373,Honourable mention
2004,David,Colino Llamas,0,7,1,0,0,1,9,335,Honourable mention
2002,Sam,Meyer,0,0,0,7,0,0,7,334,Honourable mention
2010,Grégoire,Genest,1,0,0,7,2,0,10,366,Honourable mention
2011,Christina,Meyer,7,0,0,0,1,0,8,402,Honourable mention
2012,Christina,Meyer,7,0,0,1,0,0,8,398,Honourable mention
2024,Kiah,Shah,7,0,0,1,1,0,9,457,Honourable mention
2007,Pierre,Haas,0,0,0,7,0,0,7,402,Honourable mention
2023,Michèle,Voncken,7,0,0,1,0,0,8,490,Honourable mention
2022,Victor,Guilbert,7,0,0,0,1,0,8,493,Honourable mention
2000,Ming-Koon,Hsu,3,1,0,6,0,0,10,230,
1999,Ming-Koon,Hsu,5,1,1,1,2,1,11,227,
1983,Jean-Jacques,Duhr,,,,,,,10,111,
2009,Philippe,Schram,4,4,0,0,1,0,9,354,
1986,Christian,Pauly,3,0,0,5,3,0,11,142,
1986,Claude,Dieschbourg,2,0,0,5,4,0,11,142,
1991,Tom,Krantz,4,3,0,1,0,1,9,226,
2002,Marc,Kaufmann,0,0,0,4,1,0,5,360,
2008,Philippe,Schram,1,1,0,4,0,0,6,406,
2001,Sidhath,Mysore,3,0,0,0,0,0,3,364,
2005,Giancarlo,Kerg,0,1,0,1,0,0,2,396,
2016,Oliver,Nick,5,0,0,1,0,0,6,469,
2016,Martin,Rakovsky,5,0,0,0,0,0,5,481,
2010,Jérôme,Urhausen,6,0,0,0,1,0,7,418,
2019,Oscar,Van Bommel,0,0,1,0,2,0,3,504,
1983,Claude,Pommerell,,,,,,,3,153,
2011,Adrian,Gheorghe,4,0,0,0,0,0,4,466,
2020,Sasha,Biryukov,0,0,0,3,0,0,3,512,
2015,Oliver,Nick,1,0,0,2,0,0,3,480,
2016,Lea,Menasce,3,0,0,0,0,0,3,501,
2013,Christina,Meyer,1,0,0,2,1,0,4,442,
2019,Angelina,Kysil,0,1,0,0,1,0,2,523,
2019,Ulysse,Villedey,0,0,0,0,2,0,2,523,
1989,Pascal,Zeihen,0,1,2,0,0,1,4,248,
1979,Michel,Dauphin,2,0,0,4,1,0,7,142,
2018,Ulysse,Villedey,0,0,0,2,0,0,2,511,
2021,Tim,Leyers,0,0,0,0,0,0,0,533,
2023,Maia,Tanasa,2,0,0,1,0,0,3,535,
2023,Louise,Bernier,2,0,0,1,0,0,3,535,
2005,Jeremy,Hentgen,0,0,0,1,0,0,1,445,
2019,Yul,Kettenmeyer,1,0,0,0,0,0,1,540,
2019,Raphaël,Menasce,1,0,0,0,0,0,1,540,
2011,Philippe,Scholtes,3,0,0,0,0,0,3,491,
2017,Pit,Bermes,5,0,0,1,0,0,6,538,
2024,Michèle,Voncken,3,0,0,0,0,0,3,533,
2024,Vida,Suselj,3,0,0,0,0,0,3,533,
2022,Mathieu,Martin,3,1,0,2,0,0,6,517,
2022,Louise,Bernier,1,0,0,5,0,0,6,517,
2017,Tom,Schmit,5,0,0,0,0,0,5,547,
2004,Mike,Burg,2,0,0,0,0,0,2,437,
2001,Gonzalo,Fiz Pontiveros,0,0,0,1,0,0,1,429,
2020,Yul,Kettenmeyer,0,0,0,0,0,0,0,560,
2012,Patrick,Meurin,0,0,0,2,0,0,2,498,
2006,Jeremy,Hentgen,0,1,0,1,0,0,2,459,
2017,Lea,Menasce,2,0,0,0,0,0,2,567,
2017,Pierre,Foxius,2,0,0,0,0,0,2,567,
2019,Sasha,Biryukov,0,0,0,0,0,0,0,573,
2022,Michèle,Voncken,0,1,0,2,0,0,3,544,
2022,Maia,Tanasa,0,0,0,3,0,0,3,544,
2011,Maurice,Hörold,0,0,0,1,0,0,1,530,
2009,Jérôme,Urhausen,0,0,0,0,0,0,0,547,
