Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1999,Deniss,Čebikins,7,5,7,3,7,0,29,33,Gold medal
1997,Māris,Valdats,7,7,7,4,7,0,32,50,Silver medal
1999,Zigmārs,Rasščevskis,6,7,3,1,6,1,24,56,Silver medal
2014,Deniss,Dunaveckis,7,5,0,7,7,0,26,83,Silver medal
2001,Igors,Gorbovickis,7,2,0,7,2,4,22,87,Silver medal
1995,Aleksandrs,Sļivkins,7,7,3,7,6,0,30,82,Silver medal
2008,Artūrs,Bačkurs,7,7,2,7,1,0,24,107,Silver medal
2011,Jānis,Smilga,7,0,0,7,7,1,22,113,Silver medal
2002,Aleksandrs,Belovs,7,7,0,7,2,0,23,99,Silver medal
1993,Valdis,Kauķis,7,0,0,0,6,7,20,91,Silver medal
1993,Ainārs,Galvāns,7,0,1,0,7,5,20,91,Silver medal
1998,Deniss,Čebikins,7,7,1,2,7,0,24,95,Silver medal
1992,Andris,Ambainis,7,7,2,1,0,7,24,,Silver medal
2005,Edgars,Jākobsons,1,7,0,7,0,7,22,122,Bronze medal
1997,Zigmārs,Rasščevskis,6,7,0,4,7,0,24,110,Bronze medal
2000,Igors,Gorbovickis,7,1,1,4,7,0,20,111,Bronze medal
2006,Rūdolfs,Kreicbergs,7,1,0,4,1,5,18,132,Bronze medal
1995,Maksims,Kravcevs,7,0,5,7,7,1,27,114,Bronze medal
1997,Arnolds,Ķikusts,1,7,0,7,7,0,22,131,Bronze medal
2010,Normunds,Vilciņš,7,0,0,7,6,0,20,151,Bronze medal
2021,Rolands,Lopatko,6,2,0,7,0,0,15,180,Bronze medal
1994,Ainārs,Galvāns,5,1,7,0,7,7,27,114,Bronze medal
2009,Pēteris,Eriņš,7,7,1,7,0,0,22,168,Bronze medal
2024,Ansis Gustavs,Andersons,7,0,0,7,7,0,21,182,Bronze medal
2003,Artūrs,Verza,7,1,0,7,1,0,16,138,Bronze medal
2017,Agnese,Upīte,6,1,0,7,3,0,17,188,Bronze medal
2017,Artūrs,Banga,7,0,0,7,3,0,17,188,Bronze medal
2017,Ingus Jānis,Pretkalniņš,7,3,0,0,7,0,17,188,Bronze medal
2001,Aigars,Gedroics,7,0,0,7,2,0,16,148,Bronze medal
2004,Artūrs,Verza,7,3,0,7,0,3,20,169,Bronze medal
2000,Jānis,Dričs,7,1,0,1,6,0,15,161,Bronze medal
1996,Māris,Valdats,2,0,3,7,2,0,14,150,Bronze medal
2023,Margus,Smotrovs,7,6,0,7,2,0,22,220,Bronze medal
2023,Ansis Gustavs,Andersons,7,0,1,7,7,0,22,220,Bronze medal
