Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2016,Hou Tin,Chau,7,7,0,7,7,3,31,23,Gold medal
2017,Hou Tin,Chau,7,4,0,7,7,0,25,36,Gold medal
2016,Cho Hou,Tang,7,7,0,7,7,0,28,45,Silver medal
2015,Hou Tin,Chau,7,1,0,7,7,0,22,76,Silver medal
2007,Chi Choi,Wong,7,7,0,7,0,0,21,110,Silver medal
2023,Chon Hou,Ye,7,7,0,7,4,0,25,137,Silver medal
1994,Kong Hong,Hoi,7,7,6,6,4,0,30,88,Silver medal
2022,Chon Hou,Ye,6,7,1,7,7,0,28,146,Bronze medal
2004,Kuan Kio,Ngai,6,7,0,7,3,0,23,124,Bronze medal
2015,Cho Hou,Tang,7,0,0,7,3,0,17,160,Bronze medal
2007,Chi Wa,Iao,3,7,0,7,1,0,18,145,Bronze medal
2021,Wang Iok,Lin,1,0,0,7,7,0,15,180,Bronze medal
1996,Wa,Kam Chang,7,1,1,5,0,2,16,130,Bronze medal
2001,Man Fai,Sou,7,0,0,2,7,0,16,148,Bronze medal
2006,Lai Fan,Pun,7,1,0,7,1,0,16,161,Bronze medal
2020,Cheok Lam,Lai,7,0,0,7,7,0,21,206,Bronze medal
2019,Chi In,Lei,7,0,0,7,7,0,21,214,Bronze medal
2021,Cheok Lam,Lai,7,0,0,0,7,0,14,218,Bronze medal
2021,Cheng In,Cheung,7,0,0,0,7,0,14,218,Bronze medal
2003,Kuan Kio,Ngai,7,0,0,7,1,0,15,163,Bronze medal
2022,Cheng In,Cheung,7,7,0,7,5,0,26,214,Bronze medal
2002,Ieng Lam,Lei,0,7,0,7,3,0,17,177,Bronze medal
2008,Chi Wa,Iao,5,7,0,4,1,0,17,199,Bronze medal
2015,Hou Leong,Sio,7,0,0,7,1,0,15,217,Bronze medal
2006,Chi Choi,Wong,7,1,0,7,0,0,15,189,Bronze medal
2023,Wang Iok,Lin,5,7,0,7,2,0,21,237,Bronze medal
2023,Kuok Wai,U,7,1,1,7,5,0,21,237,Bronze medal
2018,Weng Chi,Cheng,7,3,0,7,1,0,18,228,Bronze medal
2004,Tin Lam,Ng,7,1,1,7,3,0,19,187,Bronze medal
2009,Chi Choi,Wong,7,7,0,2,1,0,17,220,Bronze medal
2011,Man Wai,Lei,7,0,0,7,3,0,17,222,Bronze medal
2011,Chao Keong,Lo,7,0,0,7,3,0,17,222,Bronze medal
2014,Hou Tin,Chau,6,6,0,7,0,0,19,221,Bronze medal
2008,Chi Choi,Wong,5,5,0,4,2,0,16,212,Bronze medal
2003,Ieng Wai,Lio,0,0,0,7,6,0,13,197,Bronze medal
2005,Lai Fan,Pun,0,7,0,7,0,0,14,225,Bronze medal
2020,Kin Wai,Tong,7,2,0,0,7,0,16,272,Bronze medal
2019,Chon Kit,Lei,7,1,0,7,2,0,17,275,Bronze medal
2019,Kin Wai,Tong,7,1,0,7,2,0,17,275,Bronze medal
2022,Wang Iok,Lin,7,7,0,7,2,0,23,269,Bronze medal
2002,Kai,Chung Tam,1,7,1,4,1,0,14,220,Bronze medal
2002,Kuan Kio,Ngai,0,6,0,6,2,0,14,220,Bronze medal
2014,Pui Chun,Ng,7,1,0,7,1,0,16,267,Bronze medal
2016,Wai Neng,Lai,7,0,0,7,0,1,15,281,Honourable mention
1996,Chi Wai,Lam,4,0,0,0,0,7,11,201,Honourable mention
2017,Jia De,Liu,5,3,0,7,0,0,15,292,Honourable mention
2017,Hou,Tam,7,1,0,7,0,0,15,292,Honourable mention
2017,Ho Ieng,Ngai,7,1,0,7,0,0,15,292,Honourable mention
2022,Kuok Wai,U,7,6,0,7,2,0,22,286,Honourable mention
2015,Pui Chun,Ng,1,1,1,7,3,0,13,283,Honourable mention
1997,Chu Peng,Hoi,1,7,0,1,5,0,14,232,Honourable mention
2012,Sio Kuan,Hoi,7,1,0,5,0,0,13,277,Honourable mention
2023,Chong Un,Un,7,0,0,7,3,0,17,315,Honourable mention
2020,Cheng In,Cheung,7,2,0,4,1,0,14,317,Honourable mention
2018,Chi In,Lei,7,4,0,2,1,0,14,307,Honourable mention
2016,Ho Ieng,Ngai,7,0,0,7,0,0,14,312,Honourable mention
1998,Weng Seng,Sou,2,0,0,3,7,0,12,218,Honourable mention
2014,Hou Leong,Sio,7,1,0,7,0,0,15,296,Honourable mention
1997,Chan Wa,Io,1,7,0,0,5,0,13,247,Honourable mention
2018,Chon Kit,Lei,7,3,0,2,1,0,13,320,Honourable mention
1998,Chi Wai,Lam,2,7,2,0,0,0,11,226,Honourable mention
2005,Ieng Wai,Lio,0,1,0,7,1,0,9,277,Honourable mention
2019,Chun I,Ho,6,1,0,0,7,0,14,345,Honourable mention
2017,Cho Hou,Tang,6,1,0,7,0,0,14,342,Honourable mention
2015,Leong Kit,Wong,3,0,1,7,0,0,11,322,Honourable mention
2004,Meng Kuan,Leong,7,3,0,0,3,0,13,272,Honourable mention
2020,Ka Chon,Ng,1,7,1,3,1,0,13,345,Honourable mention
2021,Chon Hou,Ye,7,0,1,0,0,0,8,348,Honourable mention
2007,Lai Fan,Pun,3,0,0,7,1,0,11,293,Honourable mention
2011,Kai Man,U,3,0,0,7,2,0,12,320,Honourable mention
2018,Kin Wai,Tong,7,2,0,2,1,0,12,338,Honourable mention
2005,Chi Choi,Wong,0,1,0,7,0,0,8,296,Honourable mention
2015,Jia De,Liu,1,0,1,7,1,0,10,337,Honourable mention
2016,Hoi Cheong,Iam,7,0,0,6,0,0,13,355,Honourable mention
2023,Ngou Hin,Cheang,7,0,0,7,1,0,15,366,Honourable mention
2009,Chi Tou,Lam,2,7,0,0,1,0,10,335,Honourable mention
2008,Ka Chon,Ieong,7,0,0,4,0,0,11,320,Honourable mention
2011,Koi On,Ieong,3,1,0,7,0,0,11,338,Honourable mention
2021,CHI PANG,LAO,7,0,0,0,0,0,7,372,Honourable mention
2024,Cheng Long,Leong,7,0,0,7,0,0,14,366,Honourable mention
2024,Song Pok,Hong,7,0,0,7,0,0,14,366,Honourable mention
2019,Cheok Lam,Lai,3,0,0,7,2,0,12,376,Honourable mention
2022,Chi Pang,Lao,1,2,1,7,6,0,17,364,Honourable mention
1997,Chi Wai,Lam,3,0,0,7,0,0,10,285,Honourable mention
1997,Chu Hong,Hoi,1,7,0,0,2,0,10,285,Honourable mention
2019,Man Fong,Lio,4,0,0,7,0,0,11,386,Honourable mention
2009,Kan Chun,Leong,1,1,0,0,7,0,9,354,Honourable mention
2006,Ka Chon,Ieong,3,1,0,7,0,0,11,319,Honourable mention
2007,Ka Io,Sit,0,1,0,7,1,0,9,344,Honourable mention
2012,Pui Un,Tang,0,7,0,2,0,0,9,373,Honourable mention
2004,Hong Wai,Ieong,0,2,0,7,0,0,9,335,Honourable mention
2024,Kin Nam,Lao,4,0,0,7,0,0,11,425,Honourable mention
1997,Va Cheng,Cheong,0,7,0,1,0,0,8,322,Honourable mention
2011,Sio Kuan,Hoi,7,0,0,1,0,0,8,402,Honourable mention
2020,Chi Pang,Lao,7,0,0,0,0,0,7,445,Honourable mention
2012,Koi On,Ieong,7,0,0,1,0,0,8,398,Honourable mention
2016,Hou,Tam,7,0,0,0,0,0,7,443,Honourable mention
1994,Lai U,Choi,0,7,3,1,0,0,11,284,Honourable mention
1994,Shun Yin,Chu,0,3,7,1,0,0,11,284,Honourable mention
2017,Kai Un,Cheang,7,0,0,1,2,0,10,457,Honourable mention
2014,Hoi Cheong,Iam,7,0,0,1,0,0,8,421,Honourable mention
2014,Cho Hou,Tang,7,0,0,1,0,0,8,421,Honourable mention
2014,Chi Chon,Tang,7,0,0,1,0,0,8,421,Honourable mention
2022,Siyang,Lin,4,0,0,7,0,0,11,445,Honourable mention
2007,Ka Chon,Ieong,0,0,0,7,0,0,7,402,Honourable mention
2007,Hou Meng,Ip,0,0,0,7,0,0,7,402,Honourable mention
2024,Hei Chit,Leong,1,0,0,0,7,0,8,475,Honourable mention
2023,Song Pok,Hong,7,0,0,1,0,0,8,490,Honourable mention
2024,Wai In,Chu,7,0,0,0,0,0,7,487,Honourable mention
1994,Chi Hou,Lao,0,7,0,0,1,0,8,318,Honourable mention
2004,Ieng Wai,Lio,6,2,2,2,3,0,15,244,
1999,Tan Ieong,Chu,6,1,0,3,0,0,10,248,
1999,Chon,Wan,4,0,0,6,0,0,10,248,
1993,Ka Veng,Yuen,1,1,0,5,0,0,7,241,
1992,Ka Veng,Yuen,4,1,0,2,1,2,10,192,
2009,Chao Keong,Lo,1,6,0,0,2,0,9,354,
1996,Antonio,Wong,4,0,1,0,0,1,6,266,
1992,Pang Leong,Wong,0,2,0,6,0,0,8,211,
2001,Iat Fong,Lei,0,0,1,1,4,0,6,312,
1996,I,Cheang,4,0,1,0,0,0,5,290,
1996,Keng,Chung Ng,4,0,1,0,0,0,5,290,
1993,Lai U,Choi,1,1,0,3,0,0,5,284,
1999,Keng Hang,Tong,3,0,3,1,0,0,7,315,
1990,Kin,Gong Yuen,2,1,1,3,3,1,11,216,
1995,Wa,Kam Chang,4,0,0,5,1,0,10,291,
1995,Tak,Mao U,3,0,5,0,1,1,10,291,
2005,Pak,Hou Che,0,1,0,2,0,0,3,368,
2006,Chi Wa,Iao,3,0,1,5,0,0,9,364,
2001,Ieng Lam,Lei,2,0,0,0,2,0,4,347,
1992,Keng Wai,Chong,1,3,1,1,0,0,6,238,
1993,Chi Man,Lei,1,0,0,0,0,3,4,311,
1993,Shun Yin,Chu,0,0,0,2,1,1,4,311,
2004,Lai Fan,Pun,5,2,0,0,0,0,7,366,
2003,Ka Fai,Un,2,1,0,1,1,0,5,346,
2008,Chao Keong,Lo,2,0,0,4,0,0,6,406,
2021,Hoi Wan,Li,2,0,0,0,0,0,2,470,
2011,Chan Fai,Mio,2,0,0,3,1,0,6,428,
1999,Weng Tai,Sio,3,0,1,2,0,0,6,344,
1994,Tak,Mao U,0,3,4,1,0,2,10,297,
2005,Ka Io,Sit,0,1,0,1,0,0,2,396,
2005,Weng,Cheong Ao Ieong,1,0,0,1,0,0,2,396,
