Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1990,Youssef,El Hajjam,7,6,2,6,5,3,29,37,Silver medal
1986,Chilali,Mahmoud,5,7,4,7,6,0,29,40,Silver medal
2011,Elbaraa,Elalami,7,0,7,7,1,0,22,113,Silver medal
1995,Mounssif,Aderkaoui,7,5,3,7,7,0,29,90,Silver medal
1991,Cherif,Youssfi,4,7,3,7,7,2,30,72,Bronze medal
2019,Ziad Eddine,Oumzil,7,7,0,7,1,0,22,168,Bronze medal
1988,Mouaniss,Belrhiti Alaoui,7,0,1,7,0,6,21,73,Bronze medal
1995,Abdellatif,Badidi,7,5,7,7,0,1,27,114,Bronze medal
1988,Hamou H.,Tarik,5,0,1,7,7,0,20,82,Bronze medal
2017,Ahmed,Asini,7,3,0,7,0,0,17,188,Bronze medal
1985,Chilali,Mahmoud,7,7,0,3,0,1,18,65,Bronze medal
1985,Saadi,Abdelhamid,7,7,0,2,0,2,18,65,Bronze medal
2001,Nail,Benabid,5,7,0,0,4,0,16,148,Bronze medal
2004,Yassine,El Harti,7,4,0,7,3,0,21,159,Bronze medal
1995,Rachid,Rabih,7,4,1,6,7,0,25,137,Bronze medal
2012,Mohamed Mehdi,Ouaki,7,7,0,3,0,0,17,182,Bronze medal
2016,Houssam,El Cheairi,7,1,0,6,4,0,18,206,Bronze medal
2004,Hamid,Ben Moussa,6,7,0,7,0,0,20,169,Bronze medal
2008,Mahmoud,Ezzaki,7,5,0,6,0,0,18,186,Bronze medal
1995,Abdelmajid,Youssfi,7,7,3,7,0,0,24,148,Bronze medal
1993,Hatim,Marouane,7,0,0,3,4,0,14,151,Bronze medal
1994,Hatim,Marouane,2,7,0,7,7,0,23,143,Bronze medal
2012,Mostafa,Adnane,7,7,0,2,0,0,16,204,Bronze medal
1986,Merzouki,Youssef,7,7,0,0,6,0,20,80,Bronze medal
2011,Mohamed,El Alami,6,0,4,0,7,0,17,222,Bronze medal
2004,Kamal,Armel,7,1,0,7,3,0,18,200,Bronze medal
2000,Tarik,Hsaini,3,7,0,0,1,2,13,190,Bronze medal
2002,Mohamed,Rahim,0,7,1,0,7,0,15,201,Bronze medal
1996,Belhaj,Soulami Tarik,2,7,2,1,0,0,12,180,Bronze medal
1987,Abdellatif,Fazouane,5,7,0,2,7,0,21,101,Bronze medal
1984,Youssef,Islah,6,5,1,6,1,0,19,82,Bronze medal
2010,Salim,Tayou,7,1,0,7,0,0,15,226,Bronze medal
1999,Adil,Ousti,7,0,1,3,0,1,12,202,Bronze medal
1994,Faris,Derrij,0,7,0,6,7,0,20,176,Bronze medal
1995,Charaf,Tahiri,7,7,1,4,0,0,19,193,Bronze medal
2023,Ayman,Riad Solh,7,4,0,7,0,0,18,297,Bronze medal
1989,Beljadid,Lahcen,0,6,0,1,7,4,18,141,Bronze medal
1987,Mouaniss,Belrhiti Alaoui,5,7,0,5,1,0,18,116,Bronze medal
1987,Hassane,Hindi El Idrissi,1,7,0,3,7,0,18,116,Bronze medal
1986,Laftit,Abdelouafi,4,2,0,5,6,0,17,103,Bronze medal
2017,El Mehdi,Oudaoud,7,1,0,7,0,0,15,292,Honourable mention
2005,Fayçal,Yahyaoui,2,0,0,7,2,0,11,249,Honourable mention
1988,Beljadid,Lahcen,7,0,1,0,5,0,13,131,Honourable mention
2019,Marouane,Chafi,6,1,0,7,2,0,16,303,Honourable mention
1994,Abdelmajid,Youssfi,0,7,0,4,7,0,18,193,Honourable mention
1999,Taha,Laklalech,1,0,0,2,7,1,11,227,Honourable mention
2003,Mohamed,Ben Driss Alami,2,0,0,7,2,0,11,231,Honourable mention
2023,Zakariyae,Derro,7,1,0,7,2,0,17,315,Honourable mention
2006,Fayçal,Yahyaoui,7,0,0,7,0,0,14,254,Honourable mention
2006,Ali,Ameziane,7,0,0,7,0,0,14,254,Honourable mention
2001,Mohamed,Rahim,3,0,0,0,7,0,10,243,Honourable mention
2020,Aya,Aguerjout,7,7,0,0,0,0,14,317,Honourable mention
1994,Abdelwahab,Missa,1,7,0,2,7,0,17,205,Honourable mention
2021,Aya,Aguerjout,2,0,0,7,0,0,9,332,Honourable mention
1993,Mohammed,Kamal Benziane,7,0,0,0,1,0,8,225,Honourable mention
1993,Mohammed,Rida Laraki,0,0,0,7,1,0,8,225,Honourable mention
1991,Noureddine,Frej,7,7,0,0,1,0,15,175,Honourable mention
2008,Amina,Doumane,0,5,0,7,0,0,12,297,Honourable mention
2022,Abdelkayoum,Kaddouri,7,2,0,7,3,0,19,328,Honourable mention
2015,Ali,Baouan,2,0,0,7,2,0,11,322,Honourable mention
2021,Mohammed Ayoub,Mebtoul,1,0,0,7,0,0,8,348,Honourable mention
2000,Mohammed Fouad,Sahel,7,1,0,0,1,0,9,260,Honourable mention
1989,Abdelkrim,Karim,1,7,0,0,7,0,15,165,Honourable mention
