Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2011,How,Si Yu,7,0,7,7,7,1,29,25,Gold medal
2023,Jer Ren,Wong,7,7,7,7,7,0,35,28,Gold medal
2022,Wong,Jer Ren,7,7,7,7,7,0,35,32,Gold medal
2020,Yeoh,Zi Song,7,2,7,7,7,1,31,43,Gold medal
2014,Justin Lim,Kai Ze,7,7,7,7,1,0,29,40,Gold medal
2014,Anzo Teh,Zhao Yang,7,7,1,7,7,0,29,40,Gold medal
2024,Jer Ren,Wong,7,7,0,7,7,0,28,59,Silver medal
2021,Wong,Jer Ren,7,1,0,7,7,0,22,63,Silver medal
2021,Tan,Li Xuan,7,1,0,7,7,0,22,63,Silver medal
2022,Loh,Kwong Weng,7,7,2,7,5,4,32,61,Silver medal
2013,How,Si Yu,7,7,0,7,7,1,29,57,Silver medal
2013,Anzo Teh,Zhao Yang,7,7,0,7,7,0,28,61,Silver medal
2017,Ivan,Chan Kai Chin,7,7,0,7,0,0,21,82,Silver medal
2020,Tan,Li Xuan,7,7,0,7,7,0,28,86,Silver medal
2010,Tham,Ying Hong,7,7,1,7,0,0,22,76,Silver medal
2009,Loke,Zhi Kin,7,7,1,6,7,0,28,83,Silver medal
2017,Yeoh,Zi Song,7,4,0,7,1,0,19,115,Silver medal
2014,Khong,Yi Kye,7,7,0,7,2,0,23,109,Silver medal
2008,Loke,Zhi Kin,5,5,0,7,7,0,24,107,Silver medal
2011,How,Si Wei,7,0,0,7,7,1,22,113,Silver medal
2012,Anzo Teh,Zhao Yang,7,7,0,7,0,0,21,112,Silver medal
2012,How,Si Yu,7,0,0,5,7,2,21,112,Silver medal
2020,Wong,Jer Ren,7,2,0,7,7,1,24,140,Silver medal
2024,Ivan Chan,Guan Yu,7,7,0,7,1,0,22,147,Silver medal
2016,Ivan,Chan Kai Chin,7,2,0,7,4,1,21,146,Bronze medal
2018,Yeoh,Zi Song,7,3,0,7,7,0,24,147,Bronze medal
2018,Ivan,Chan Kai Chin,7,4,0,5,7,1,24,147,Bronze medal
2022,Chaang,Tze Shen Tristan,7,7,1,7,6,0,28,146,Bronze medal
2019,Tan,Li Xuan,7,1,0,7,7,0,22,168,Bronze medal
2019,Yeoh,Zi Song,7,1,0,7,7,0,22,168,Bronze medal
2012,Tham,Ying Hong,7,0,0,3,7,1,18,163,Bronze medal
2017,Tan,Li Xuan,7,3,0,7,0,0,17,188,Bronze medal
2017,Hanissa,Shamsuddin,7,2,0,7,1,0,17,188,Bronze medal
2015,Yeoh,Zi Song,7,1,0,7,1,0,16,183,Bronze medal
2015,Ivan,Chan Kai Chin,6,1,1,7,1,0,16,183,Bronze medal
2011,Tham,Ying Hong,7,0,3,7,2,0,19,186,Bronze medal
2012,Justin Lim,Kai Ze,7,0,0,7,3,0,17,182,Bronze medal
2013,Khong,Yi Kye,7,5,0,7,1,0,20,180,Bronze medal
2013,How,Si Wei,7,4,0,7,0,0,18,196,Bronze medal
2016,Tan,Kin Aun,7,3,0,7,0,0,17,224,Bronze medal
2012,How,Si Wei,7,0,0,2,7,0,16,204,Bronze medal
2007,Loke,Zhi Kin,6,1,0,7,1,0,15,197,Bronze medal
2006,Loke,Zhi Kin,7,1,0,7,0,0,15,189,Bronze medal
2010,How,Si Wei,7,2,0,7,0,0,16,199,Bronze medal
2023,Min Heng,Tan,7,0,0,7,7,0,21,237,Bronze medal
2024,Kwong Weng,Loh,7,2,1,7,0,1,18,238,Bronze medal
2024,Min Heng,Tan,7,2,0,7,1,1,18,238,Bronze medal
2014,Yeoh,Zi Song,7,5,0,7,0,0,19,221,Bronze medal
2020,Wan,Zhiyang,7,0,4,7,0,0,18,248,Bronze medal
2020,Chaang,Tze Shen Tristan,7,3,0,1,7,0,18,248,Bronze medal
2000,Ong,Shien Jin,4,1,1,7,0,0,13,190,Bronze medal
2023,Kwong Weng,Loh,7,4,0,7,2,0,20,259,Bronze medal
2004,Darren Chung Lee,Ong,7,1,0,7,0,2,17,212,Bronze medal
2015,Tan,Kin Aun,4,0,0,7,3,0,14,257,Bronze medal
2000,Mohd. Suhaimi,Ramly,2,6,0,3,0,0,11,213,Bronze medal
2024,Daryl Lee,Ker Ru,7,2,0,7,0,0,16,283,Bronze medal
2024,Leia Mayssa,Masyerin,7,1,0,7,1,0,16,283,Bronze medal
2013,Justin Lim,Kai Ze,7,0,0,7,1,0,15,250,Bronze medal
2023,Wei Jie,Goh,7,7,1,1,2,0,18,297,Bronze medal
2017,Theam,Wing Chun,7,1,0,7,0,0,15,292,Honourable mention
2021,Ian George,Taye Cheng Ean,7,0,0,4,0,0,11,304,Honourable mention
2010,Joshua Lim,Kai Tsen,7,0,0,7,0,0,14,266,Honourable mention
2001,Mohd. Suhaimi,Ramly,1,0,1,7,0,1,10,243,Honourable mention
2001,Yu-Sheng,Soon,0,7,1,1,1,0,10,243,Honourable mention
2001,Ern,Kok,7,0,1,0,2,0,10,243,Honourable mention
2021,Chaang,Tze Shen Tristan,3,0,0,7,0,0,10,319,Honourable mention
2016,Sean,Gee Zhing,7,0,0,7,0,0,14,312,Honourable mention
2014,Tan,Kin Aun,7,6,0,2,0,0,15,296,Honourable mention
2008,Joshua Lim,Kai Tsen,5,1,0,7,0,0,13,284,Honourable mention
2021,Loh,Kwong Weng,7,0,0,2,0,0,9,332,Honourable mention
2018,Sean,Gee Zhing,7,3,0,2,1,0,13,320,Honourable mention
2018,Tan,Li Xuan,7,3,0,2,1,0,13,320,Honourable mention
2018,Chaang,Tze Shen Tristan,7,3,0,2,1,0,13,320,Honourable mention
2002,Darren Chung Lee,Ong,4,0,0,7,0,0,11,266,Honourable mention
2019,Chaang Tze Shen,Tristan,7,2,0,4,1,0,14,345,Honourable mention
