Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2005,Iurie,Boreico,7,7,7,7,7,7,42,1,Gold medal
2006,Iurie,Boreico,7,7,7,7,7,7,42,1,Gold medal
2006,Ivan,Borsenco,7,6,7,7,1,0,28,27,Gold medal
2004,Iurie,Boreico,7,4,2,7,7,7,34,28,Gold medal
2004,Alexandr,Zamorzaev-Orleanschii,7,7,2,7,3,6,32,38,Gold medal
2017,Alexandru,Rudi,7,3,0,7,7,0,24,49,Silver medal
2003,Iurie,Boreico,7,7,0,7,7,0,28,38,Silver medal
2019,Alexandru,Lopotenco,7,6,0,7,2,7,29,55,Silver medal
2005,Alexandr,Zamorzaev-Orleanschii,7,7,0,7,7,4,32,47,Silver medal
2015,Cezar,Port,4,0,7,7,6,0,24,55,Silver medal
2006,Alexandr,Zamorzaev-Orleanschii,7,7,1,5,4,0,24,52,Silver medal
2007,Iurie,Boreico,5,0,0,7,7,7,26,60,Silver medal
2008,Andrei,Frimu,7,5,0,7,7,1,27,71,Silver medal
2010,Andrei,Ivanov,7,7,0,7,1,0,22,76,Silver medal
2011,Alexandru,Grigoroi,7,0,2,7,7,0,23,83,Silver medal
2012,Andrei,Ivanov,7,7,0,7,2,0,23,85,Silver medal
1998,Igor,Covganet,3,7,2,6,2,7,27,67,Silver medal
1995,Cornelia,Glavan,7,7,2,7,7,1,31,73,Silver medal
2007,Andrei,Frimu,7,7,0,7,1,0,22,93,Silver medal
2007,Alexandr,Zamorzaev-Orleanschii,7,1,0,7,7,0,22,93,Silver medal
2001,Dumitru,Daniliuc,7,0,0,7,7,1,22,87,Silver medal
2022,Dan,Cernatinschi,7,7,0,7,7,1,29,112,Silver medal
2000,Victor,Lozovanu,7,7,0,0,1,7,22,89,Silver medal
2012,Cristian,Cerneanu,7,7,0,7,0,0,21,112,Silver medal
2024,Marius,Cerlat,7,7,1,7,1,0,23,125,Silver medal
2020,Alexandru,Lopotenco,7,4,0,7,7,0,25,131,Silver medal
2020,Mihai,Spinei,7,0,4,7,7,0,25,131,Silver medal
2000,Dorian,Croitoru,7,7,0,0,0,7,21,100,Silver medal
2005,Simion,Filip,7,7,0,7,0,2,23,114,Silver medal
2001,Alexandru,Paschin,7,0,1,5,7,0,20,108,Silver medal
2002,Dumitru,Codreanu,7,3,1,7,2,2,22,113,Bronze medal
1997,Igor,Covganet,3,5,0,7,7,2,24,110,Bronze medal
2015,Dionisie,Nipomici,7,0,1,7,3,0,18,140,Bronze medal
2022,Marius,Sclearuc,7,7,0,7,6,1,28,146,Bronze medal
2004,Simion,Filip,6,7,2,7,0,1,23,124,Bronze medal
2007,Andrei,Iliaşenco,3,1,1,7,7,0,19,133,Bronze medal
2021,Valentin,Suruceanu,7,0,1,7,0,0,15,180,Bronze medal
2014,Vladimir,Cucu,7,1,0,7,6,0,21,163,Bronze medal
2012,Nicolae,Şapoval,7,7,0,4,0,0,18,163,Bronze medal
2024,Timur,Degteari,7,0,0,7,7,0,21,182,Bronze medal
2003,Ivan,Borsenco,5,3,0,7,1,0,16,138,Bronze medal
2003,Victor,Rojco,7,1,0,7,1,0,16,138,Bronze medal
2005,Ivan,Borsenco,1,7,0,1,7,2,18,156,Bronze medal
1996,Igor,Covganet,1,0,7,7,0,1,16,130,Bronze medal
1996,Dorin,Grecu,4,5,2,3,1,1,16,130,Bronze medal
2001,Dorian,Croitoru,7,0,0,2,7,0,16,148,Bronze medal
2000,Dumitru,Codreanu,0,7,0,2,7,0,16,149,Bronze medal
2006,Vitalie,Patrînica,7,1,1,7,0,0,16,161,Bronze medal
2007,Mircea,Grecu,7,1,0,7,1,0,16,171,Bronze medal
2012,Mihai,Indricean,7,7,0,3,0,0,17,182,Bronze medal
2020,Dumitru,Josu,7,7,0,0,7,0,21,206,Bronze medal
2009,Andrei,Ivanov,7,7,0,5,0,0,19,198,Bronze medal
2009,Andrei,Iliaşenco,7,7,0,1,3,0,18,208,Bronze medal
1994,Oleg,Alexandrov,0,3,6,7,7,0,23,143,Bronze medal
2016,Cezar,Port,7,2,0,6,2,0,17,224,Bronze medal
2015,Vladimir,Cucu,6,1,0,7,1,0,15,217,Bronze medal
1998,Dorian,Croitoru,7,0,0,4,7,0,18,158,Bronze medal
2006,Liubomir,Chiriac,7,0,0,7,1,0,15,189,Bronze medal
2006,Andrei,Frimu,7,0,0,7,1,0,15,189,Bronze medal
2010,Iulian,Gramaţki,2,0,0,7,7,0,16,199,Bronze medal
2000,Dumitru,Daniliuc,7,1,0,0,6,0,14,176,Bronze medal
