Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2023,Rogelio,Guerrero Reyes,7,7,7,7,7,2,37,12,Gold medal
2024,Rogelio,Guerrero Reyes,7,7,2,7,7,1,31,19,Gold medal
2006,Pablo,Soberón Bravo,7,7,0,7,7,0,28,27,Gold medal
2020,Tomás Francisco,Cantú Rodríguez,7,7,4,7,7,0,32,34,Gold medal
2012,Diego Alonso,Roque Montoya,7,7,0,7,7,0,28,33,Gold medal
2015,Juan Carlos,Ortiz Rhoton,7,6,1,7,3,2,26,37,Gold medal
2022,Daniel Alejandro,Ochoa Quintero,7,7,1,7,7,4,33,45,Silver medal
2018,Víctor Antonio,Domínguez Silva,7,7,0,7,7,2,30,49,Silver medal
2023,Omar Farid,Astudillo Marbán,7,7,7,7,3,0,31,55,Silver medal
2006,Isaac,Buenrostro Morales,7,7,0,6,4,0,24,52,Silver medal
2022,Omar Farid,Astudillo Marbán,7,7,1,7,7,2,31,68,Silver medal
2013,Enrique,Chiu Han,7,7,0,7,7,0,28,61,Silver medal
2013,Juan Carlos,Ortiz Rhoton,7,7,0,7,7,0,28,61,Silver medal
2016,Kevin William,Beuchot Castellanos,7,7,0,4,4,3,25,78,Silver medal
2010,Daniel,Perales Anaya,7,7,1,7,0,0,22,76,Silver medal
2011,Flavio,Hernández González,7,1,0,7,7,1,23,83,Silver medal
2024,Takumi,Higashida Martínez,7,3,0,7,7,1,25,90,Silver medal
2014,Kevin William,Beuchot Castellanos,7,4,1,7,7,0,26,83,Silver medal
2016,Antonio,López Guzmán,7,3,0,7,0,7,24,94,Silver medal
1998,Omar Antolín,Camarena,7,7,2,7,4,0,27,67,Silver medal
2019,Bruno,Gutiérrez Chávez,7,6,0,7,7,0,27,101,Silver medal
2021,Omar Farid,Astudillo Marbán,7,0,0,7,7,0,21,105,Silver medal
2015,Kevin William,Beuchot Castellanos,7,1,4,7,1,0,20,101,Silver medal
1997,Patricio Tlacaélel,Alva Pufleau,2,7,0,6,7,5,27,86,Silver medal
2017,Alfredo Alef,Pineda Reyes,7,3,0,7,2,0,19,115,Silver medal
2016,Víctor Hugo,Almendra Hernández,7,2,0,7,0,7,23,114,Silver medal
2016,Leonardo Ariel,García Morán,7,7,0,7,2,0,23,114,Silver medal
2000,Carlos Alberto,Villalvazo Jáuregui,7,2,0,6,7,0,22,89,Silver medal
2014,Juan Carlos,Ortiz Rhoton,7,7,1,7,1,0,23,109,Silver medal
2011,Diego Alonso,Roque Montoya,7,1,0,7,7,0,22,113,Silver medal
2015,Luis Xavier,Ramos Tormo,7,4,0,7,1,0,19,118,Silver medal
2012,Adán,Medrano Martín del Campo,7,7,0,3,4,0,21,112,Silver medal
2023,Victor Manuel,Bernal Ramírez,7,3,6,7,3,0,26,128,Silver medal
2013,Diego Alonso,Roque Montoya,7,4,0,7,7,1,26,110,Silver medal
2006,Iván Joshua,Hernández Máynez,7,0,0,6,7,0,20,109,Silver medal
2014,Diego Alonso,Roque Montoya,7,7,0,7,1,0,22,124,Silver medal
2014,Luis Xavier,Ramos Tormo,7,7,0,6,2,0,22,124,Silver medal
2023,Eric ,Ransom Treviño,7,7,2,7,2,0,25,137,Silver medal
2021,Pablo Alhui,Valeriano Quiroz,7,0,1,7,5,0,20,143,Silver medal
2008,Aldo,Pacchiano Camacho,7,1,0,7,7,0,22,127,Silver medal
2024,Héctor Juan,Villarreal Corona,6,0,2,7,7,0,22,147,Silver medal
2017,Leonardo Ariel,García Morán,7,4,0,7,0,0,18,139,Bronze medal
2003,Marco Antonio,Figueroa Ibarra,7,1,0,7,3,0,18,107,Bronze medal
2002,Edgardo,Roldán Pensado,5,7,1,4,5,0,22,113,Bronze medal
2019,Eric Iván,Hernández Palacios,7,7,0,4,5,0,23,147,Bronze medal
1999,Carlos Ramos,Cuevas,5,0,3,1,7,2,18,109,Bronze medal
