Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2024,Damjan,Davkov,7,7,1,7,7,2,31,19,Gold medal
2023,Damjan,Davkov,7,7,7,7,2,2,32,50,Gold medal
2009,Bodan,Arsovski,7,7,7,2,7,0,30,54,Silver medal
2010,Bodan,Arsovski,7,7,4,7,0,0,25,53,Silver medal
2002,Ilija,Jovčevski,7,6,1,7,5,0,26,64,Silver medal
1995,Nasko,Karamanov,7,7,7,6,0,5,32,66,Silver medal
2021,Damjan,Davkov,7,0,0,7,7,0,21,105,Silver medal
2022,Nikola,Spirovski,7,7,1,7,7,0,29,112,Silver medal
2022,Damjan,Davkov,7,7,0,7,7,1,29,112,Silver medal
2000,Svetlana,Poznanovic,7,1,0,7,0,7,22,89,Silver medal
2023,Aleksij,Tasikj,7,7,1,7,3,0,25,137,Silver medal
1993,Vladimir,Filkov,0,3,2,7,4,2,18,111,Bronze medal
1995,Lasko,Basnarkov,7,0,7,6,7,0,27,114,Bronze medal
2008,Bodan,Arsovski,7,1,0,6,7,0,21,148,Bronze medal
2007,Bodan,Arsovski,3,7,0,7,1,0,18,145,Bronze medal
2014,Bojan,Serafimov,7,5,0,7,2,0,21,163,Bronze medal
2001,Todor,Ristov,7,0,1,1,2,6,17,140,Bronze medal
2023,Nikola,Cvetanoski,7,7,0,7,2,0,23,183,Bronze medal
2024,Leonid,Todoroski,7,2,0,7,5,0,21,182,Bronze medal
2002,Vesna,Stojanoska,5,1,0,7,7,0,20,145,Bronze medal
1999,Simona,Samrdžiska,6,1,4,4,0,0,15,138,Bronze medal
1997,Aleksandar,Pečkov,4,7,0,4,6,0,21,142,Bronze medal
2022,Blazhe,Suklevski,7,6,0,7,7,0,27,187,Bronze medal
1997,Mirko,Petruševski,2,7,0,3,7,1,20,155,Bronze medal
2021,Nikola,Spirovski,7,0,0,7,0,0,14,218,Bronze medal
2021,Blazhe,Suklevski,7,0,0,7,0,0,14,218,Bronze medal
1999,Biljana,Tojtovska,6,2,0,2,3,1,14,159,Bronze medal
1996,Mirko,Petruševski,4,1,2,7,0,0,14,150,Bronze medal
1996,Andrej,Bogdanov,7,0,2,0,0,5,14,150,Bronze medal
1995,Aleksandar,Blazevski,7,0,4,6,7,0,24,148,Bronze medal
2005,Angel,Stanoev,7,1,0,1,7,0,16,191,Bronze medal
2005,Ilinka,Ivanoska,7,1,0,1,7,0,16,191,Bronze medal
2012,Filip,Stankovski,7,7,0,2,0,0,16,204,Bronze medal
2012,Stefan,Stojchevski,7,7,0,2,0,0,16,204,Bronze medal
2015,Bozhidar,Stevanoski,6,0,1,7,1,0,15,217,Bronze medal
1998,Miško,Mitkovski,7,0,1,4,6,0,18,158,Bronze medal
2007,Viktor,Simjanoski,3,3,0,7,2,0,15,197,Bronze medal
2006,Viktor,Simjanoski,7,1,0,7,0,0,15,189,Bronze medal
2003,Ilija,Jovčevski,2,2,0,7,2,1,14,179,Bronze medal
1999,Ilir,Snopče,7,1,0,4,0,1,13,178,Bronze medal
1999,Vladimir,Jakimov,4,1,2,3,3,0,13,178,Bronze medal
1994,Aleksandar,Blazevski,1,4,7,2,1,7,22,154,Bronze medal
2000,Ilija,Jovčevski,7,4,0,2,0,0,13,190,Bronze medal
2009,Bojan,Joveski,6,7,0,3,0,0,16,233,Bronze medal
