Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2018,Kyaw Htet,Lin,7,1,0,2,0,0,10,368,Honourable mention
2023,Soe Thway,Ko,6,0,0,7,0,0,13,407,Honourable mention
2020,Cho Kyi Thar,Thin,7,0,1,0,0,0,8,419,Honourable mention
2018,Wai Yan Moe,Lwin,7,0,0,0,1,0,8,413,Honourable mention
2020,Hein,Thant,7,0,0,0,0,0,7,445,Honourable mention
2020,Zwe Myint,Mo,7,0,0,0,0,0,7,445,Honourable mention
2023,Hsu Wutt Yee ,Lin,7,0,0,1,1,0,9,459,Honourable mention
2024,Soe Lin,Htet,2,0,0,7,0,0,9,457,Honourable mention
2017,Hein Thant,Aung,2,0,0,7,0,0,9,471,Honourable mention
2024,Soe Thway,Ko,7,0,0,0,0,0,7,487,Honourable mention
2024,Hsu Wutt Yee,Lin,0,0,0,7,0,0,7,487,Honourable mention
2019,Kyaw Shin,Thant,3,0,0,0,2,0,5,479,
2016,Min Myat,Tun,5,0,0,1,0,0,6,469,
2016,Kaung Htet,Thar,1,3,0,1,0,1,6,469,
2019,Naing Zaw,Lu,2,1,0,0,1,0,4,489,
2023,Soe Lin ,Htet,2,1,0,0,2,0,5,521,
2018,Htet Linn,Wai,0,0,0,2,0,0,2,511,
2018,Naing Zaw,Lu,0,0,0,2,0,0,2,511,
2024,Aung Nyan,Zaw,4,0,0,0,0,0,4,525,
2020,Soe Lin,Htet,1,0,0,0,0,0,1,532,
2019,Xsu Wai Yan,Lin,0,1,0,0,0,0,1,540,
2019,Chann Myae,Zaw,1,0,0,0,0,0,1,540,
2024,Pyae Tshan,Oo,3,0,0,0,0,0,3,533,
2016,Nay Naw,Oo,0,0,0,0,0,1,1,539,
2023,Sai Win,Naing,2,0,0,0,0,0,2,554,
2023,Pyae Tshan,Oo,1,0,0,1,0,0,2,554,
2018,Myat Thu,Khaing,0,1,0,0,0,0,1,538,
2020,Aung Paing,Khant,0,0,0,0,0,0,0,560,
2020,Yin Min,Thant,0,0,0,0,0,0,0,560,
2017,Khin Chew Chew,Naing,0,1,0,1,0,0,2,567,
2017,Kaung Khant,Gyi,0,1,0,1,0,0,2,567,
2019,Min Khant,Thu,0,0,0,0,0,0,0,573,
2019,Kyaw Nyi,Thar,0,0,0,0,0,0,0,573,
2016,Hnin,Wai,0,0,0,0,0,0,0,568,
2016,Nyan,Sint,0,0,0,0,0,0,0,568,
2016,Shine Maw,Arnt,0,0,0,0,0,0,0,568,
2017,Ye Man,Aung,0,0,0,1,0,0,1,582,
2017,Myat Oo,Swe,0,0,0,1,0,0,1,582,
2018,Sai Sinn Zom,Leng,0,0,0,0,0,0,0,565,
2023,Htet Aung Phone ,Wint,0,0,0,1,0,0,1,589,
2024,Kyi Nuu,Khant,0,0,0,0,0,0,0,589,
2017,Wai Yan Moe,Lwin,0,0,0,0,0,0,0,604,
