Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2020,Matija,Delić,7,7,0,7,7,0,28,86,Silver medal
2016,Nikola,Raicevic,7,3,0,7,7,0,24,94,Silver medal
2021,Matija,Delić,6,0,1,7,6,0,20,143,Silver medal
2015,Nikola,Raicevic,7,1,0,7,1,0,16,183,Bronze medal
2017,Nikola,Raicevic,7,2,0,7,0,0,16,265,Bronze medal
2017,Ognjen,Djukovic,7,0,0,1,7,0,15,292,Honourable mention
2019,Matija,Delić,7,7,0,0,2,0,16,303,Honourable mention
2009,Nikola,Milinkovic,7,0,1,5,0,0,13,283,Honourable mention
2008,Marica,Knežević,7,1,0,4,0,0,12,297,Honourable mention
2022,Amir ,Kolić,7,0,0,7,4,0,18,343,Honourable mention
2021,Amir,Kolić,7,0,0,0,0,0,7,372,Honourable mention
2018,Nina,Mitrović,7,2,0,0,1,0,10,368,Honourable mention
2023,Egor,Georgievskii,7,0,1,0,6,0,14,385,Honourable mention
2007,Nikola,Milinković,0,1,0,7,1,0,9,344,Honourable mention
2011,Radovan,Krtolica,7,0,0,1,1,0,9,378,Honourable mention
2014,Milica,Dasic,3,0,0,7,0,0,10,387,Honourable mention
2020,David,Dedić,0,7,0,0,0,0,7,445,Honourable mention
2020,Amir,Kolić,7,0,0,0,0,0,7,445,Honourable mention
2020,Kosta,Vukićević,0,0,0,7,0,0,7,445,Honourable mention
2008,Radovan,Krtolica,7,0,0,0,0,0,7,392,Honourable mention
2014,Olja,Krstović,7,0,0,1,0,0,8,421,Honourable mention
2017,Vladimir,Boskovic,7,1,0,1,0,0,9,471,Honourable mention
2010,Radovan,Krtolica,0,0,0,7,0,0,7,418,Honourable mention
2019,Kosta,Vukićević,6,0,0,1,2,0,9,417,
2009,Radovan,Krtolica,1,5,1,0,0,0,7,393,
2018,Matija,Delić,0,3,0,2,0,0,5,452,
2007,Marica,Knežević,1,0,0,5,1,0,7,402,
2019,Amir,Kolić,3,0,0,0,1,0,4,489,
2018,Vladimir,Bošković,1,1,0,2,0,0,4,470,
2008,Nikola,Milinković,0,5,0,0,0,0,5,424,
2019,Ognjen,Kovaćević,1,0,0,0,2,0,3,504,
2009,Milorad,Vujkovic,1,1,0,1,0,0,3,459,
2021,David,Dedić,0,0,0,0,0,0,0,533,
2021,Jovan ,Kovačević,0,0,0,0,0,0,0,533,
2014,Andjela,Markovic,2,0,0,1,0,0,3,483,
2020,Saša,Lekić,0,0,1,0,0,0,1,532,
2019,Andrija,Glomazić,0,0,0,0,1,0,1,540,
2015,Ognjen,Djukovic,0,1,0,0,1,0,2,508,
2012,Olja,Krstović,2,0,0,1,0,0,3,483,
2023,Đorđe,Perišić,2,0,0,0,0,0,2,554,
2023,Željana ,Stamatović,2,0,0,0,0,0,2,554,
2023,Vladislav,Serkizyuk,1,0,0,1,0,0,2,554,
2013,Anton,Djokaj,1,0,0,0,0,0,1,474,
2018,Kosta,Vukićević,0,1,0,0,0,0,1,538,
2020,Miloš,Barjaktarović,0,0,0,0,0,0,0,560,
2012,Oleg,Cmiljanić,1,0,0,1,0,0,2,498,
2011,Nikola,Kovačević,2,0,0,0,0,0,2,516,
2011,Olja,Krstović,2,0,0,0,0,0,2,516,
2017,Marija,Dosljak,0,1,0,1,0,0,2,567,
2015,Andjela,Markovic,0,0,0,0,1,0,1,532,
2007,Aleksandar,Jacimović,0,1,0,0,0,0,1,482,
2013,Andjela,Markovic,0,0,0,0,0,0,0,494,
2013,Ilija,Gracanin,0,0,0,0,0,0,0,494,
2013,Olja,Krstović,0,0,0,0,0,0,0,494,
2016,Ognjen,Djukovic,0,0,0,0,0,0,0,568,
2022,Miloš,Barjaktarović,1,0,0,0,1,0,2,556,
2022,Aleksa,Šcepanović,1,0,0,0,1,0,2,556,
2022,Sava,Huter,1,0,0,0,0,0,1,563,
2010,Vedran,Kasalica,0,0,0,0,0,0,0,501,
2010,Beco,Merulic,0,0,0,0,0,0,0,501,
2010,Marko,Jovicevic,0,0,0,0,0,0,0,501,
2011,Oleg,Cmiljanić,0,0,0,0,0,0,0,544,
2009,Sonja,Vuksanovic,0,0,0,0,0,0,0,547,
