Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2012,Chigozie Henry,Aniobi,7,6,2,4,0,1,20,140,Bronze medal
2011,Chigozie Henry,Aniobi,6,0,1,7,6,1,21,145,Bronze medal
2013,Chigozie Henry,Aniobi,1,3,0,7,7,0,18,196,Bronze medal
2010,Puis Aje,Onah,7,0,0,7,1,0,15,226,Bronze medal
2014,Chigozie Henry,Aniobi,7,3,0,7,0,0,17,256,Bronze medal
2020,Okezie Uzochukwu,Chiedozie,7,7,0,0,0,0,14,317,Honourable mention
2017,Edikan Idongesit,Akpabio,4,3,0,7,0,0,14,342,Honourable mention
2018,Mmesomachi,Nwachukwu,7,1,0,2,0,1,11,350,Honourable mention
2017,Okechukwu Williams,Okeke,5,1,0,7,0,0,13,390,Honourable mention
2017,Mmesomachi,Nwachukwu,5,1,0,7,0,0,13,390,Honourable mention
2020,Otutochi Caleb,Nwadinkpa,2,0,0,7,0,0,9,395,Honourable mention
2018,Okechukwu Williams,Okeke,7,1,0,0,0,1,9,391,Honourable mention
2015,Mmesomachi,Nwachukwu,0,0,1,7,0,0,8,394,Honourable mention
2007,Uchendu,Ndubuisi,0,1,0,7,0,0,8,365,Honourable mention
2017,Chilolum Christopher Uzoma,Nwigwe,7,0,0,4,0,0,11,442,Honourable mention
2012,Adamu,Ismail,7,0,0,1,0,0,8,398,Honourable mention
2015,Akanimoh Boniface,Udombeh,0,0,0,7,0,0,7,420,Honourable mention
2016,Edikan Idongesit,Akpabio,7,0,0,0,0,0,7,443,Honourable mention
2014,Oluwasanya Oluwafemi,Awe,1,0,0,7,0,0,8,421,Honourable mention
2012,Pricewill,Okoroafo,0,7,0,0,0,0,7,425,Honourable mention
2012,Ezeokoli,Chibuike,7,0,0,0,0,0,7,425,Honourable mention
2021,Okezie Uzochukwu,Chiedozie,4,0,0,0,0,0,4,439,
2016,Mmesomachi,Nwachukwu,2,0,0,5,0,0,7,443,
2018,Edikan Idongesit,Akpabio,5,1,0,0,0,0,6,441,
2011,Puis Aje,Onah,6,0,0,0,1,0,7,420,
2015,Princewill Chukwuemeka,Okoroafor,3,1,0,0,2,0,6,431,
2009,Puis Aje,Onah,2,3,0,0,0,0,5,429,
2009,Ogunkola,Opemipo Oladapo,3,1,0,1,0,0,5,429,
2011,Vincent Uchenna,Anioke,3,0,0,1,2,0,6,428,
2012,Oluwasanya Oluwafemi,Awe,3,2,0,2,0,0,7,425,
2016,Munachi Jachike,Ernest-Eze,5,0,0,0,0,1,6,469,
2011,Oluwasanya Oluwafemi,Awe,2,0,0,1,2,0,5,449,
2020,Wisdom Eden,Omodiagbe,5,0,0,0,1,0,6,495,
2021,Uwakmfon Unwana,Jacob,1,0,0,0,0,0,1,499,
2021,Ogheneobukome Jefferson,Ejaife,0,0,1,0,0,0,1,499,
2009,Jombo,Eniweke Eunice,1,1,0,1,0,0,3,459,
2014,Akanimoh Boniface,Udombeh,2,0,0,2,0,0,4,476,
2010,Chigozie Henry,Aniobi,6,0,0,0,0,0,6,445,
2009,Isa Modibbo,Ismail,0,2,0,0,0,0,2,482,
2009,Damilola,Durajaiye,0,0,0,2,0,0,2,482,
2016,Yusuf Olayinka,Atolagbe,1,0,0,0,0,1,2,515,
2007,Oyewole,Efunbajo,0,1,0,3,0,0,4,447,
2021,Henry Ayobami,Famuyiwa,0,0,0,0,0,0,0,533,
2021,Diepreye David,Charles-Daniel,0,0,0,0,0,0,0,533,
2021,Otutochi Caleb,Nwadinkpa,0,0,0,0,0,0,0,533,
2020,Jessey Chidubem Oluwatomiwa,Uchechukwu-Nwichi,0,0,0,0,1,0,1,532,
2007,Abdulwahab,Animoku,1,1,0,1,0,0,3,454,
2007,Mu'azzam,Idris,0,1,0,2,0,0,3,454,
2012,Vincent Uchenna,Anioke,1,0,0,2,0,0,3,483,
2016,Okechukwu Williams,Okeke,1,0,0,0,0,0,1,539,
2016,Chilolum Christopher Uzoma,Nwigwe,0,0,0,1,0,0,1,539,
2006,Mu'azzam,Idris,2,0,0,1,0,0,3,448,
2006,Uchendu,Ndubuisi,0,0,0,2,1,0,3,448,
2014,Princewill Chukwuemeka,Okoroafor,0,0,0,1,0,0,1,507,
2014,Chilolum Christopher Uzoma,Nwigwe,0,0,0,1,0,0,1,507,
2014,Mmesomachi,Nwachukwu,0,0,0,1,0,0,1,507,
2010,Ibilola Ebunoluwa,Omole,1,0,0,3,0,0,4,473,
2020,Benny Chisom,Sampson-Uche,0,0,0,0,0,0,0,560,
2006,Winner Chukwuma,Ekwue,0,0,0,2,0,0,2,459,
2015,Fabian Chibuike,Okafor,1,0,0,0,0,0,1,532,
2007,Omole,Oluwakayode John,0,1,0,0,0,0,1,482,
2007,Emmanuel,Aunde,0,1,0,0,0,0,1,482,
2010,Muhammad,Bukar,0,0,0,2,0,0,2,484,
2011,Jaachinma Somtochukwu,Okafor,0,0,0,1,0,0,1,530,
2006,Olufikayo Semire,Adetunji,0,0,0,1,0,0,1,475,
2006,Omole,Oluwakayode John,0,0,0,1,0,0,1,475,
2006,Segun Olumide,Ariyibi,0,0,0,1,0,0,1,475,
2015,Sekinat Ajoge,Yahaya,0,0,0,0,0,0,0,553,
2015,Yusuf Olayinka,Atolagbe,0,0,0,0,0,0,0,553,
2010,Opeoluwa Omoniyi,Adebayo,0,0,0,0,0,0,0,501,
2011,Cynthia Adebola,Owolabi,0,0,0,0,0,0,0,544,
2009,Mark Donald Kanayochukwu,Amobi,0,0,0,0,0,0,0,547,
