Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2016,Mauricio Antonio,Rodríguez Gutiérrez,7,2,0,7,0,0,16,253,Bronze medal
2017,Mauricio Antonio,Rodríguez Gutiérrez,7,1,0,7,1,0,16,265,Bronze medal
2024,Isaac Dahir,Rodríguez Gutiérrez,7,1,0,7,1,0,16,283,Bronze medal
2021,Nestor Daniel,González Trujillo,5,0,0,7,0,0,12,290,Bronze medal
2021,Marcos Ulises,Sánchez,4,0,0,7,0,0,11,304,Honourable mention
2017,Jafet Alejandro,Baca Obando,4,3,0,7,0,0,14,342,Honourable mention
2015,Mauricio Antonio,Rodríguez Gutiérrez,0,0,1,7,2,0,10,337,Honourable mention
2020,Richard Antonio,González Rugama,7,2,0,0,0,0,9,395,Honourable mention
2019,Richard Antonio,González Rugama,7,1,0,0,2,0,10,402,Honourable mention
2016,Oliver Ulises,Morales Otero,7,0,0,3,0,0,10,400,Honourable mention
2013,Orsini,Flores,1,0,0,7,0,0,8,355,Honourable mention
2017,Richard Antonio,González Rugama,5,0,0,7,0,0,12,416,Honourable mention
2016,Jafet Alejandro,Baca Obando,7,0,0,2,0,0,9,409,Honourable mention
2016,Richard Javier,Rodríguez Rodríguez,7,0,0,0,2,0,9,409,Honourable mention
2015,Josué Francisco,Hernández Vega,0,1,0,7,0,0,8,394,Honourable mention
2015,Jafet Alejandro,Baca Obando,1,0,0,7,0,0,8,394,Honourable mention
2023,Isaac Dahir,Rodríguez Gutiérrez,2,7,0,1,0,0,10,441,Honourable mention
2020,Nestor Daniel,González Trujillo,7,0,0,0,0,0,7,445,Honourable mention
2023,José Gabriel,Rivas Rivera,7,0,0,2,0,0,9,459,Honourable mention
2019,Marcos Ulises,Sánchez,7,0,0,0,0,0,7,463,Honourable mention
2013,Rolando,Vega,0,0,0,7,0,0,7,394,Honourable mention
2013,Adonis,Gomez,0,0,0,7,0,0,7,394,Honourable mention
2021,Mario Alejandro,Rodríguez Galeano,2,0,0,0,0,0,2,470,
1987,M.,González Calderón,0,1,0,0,4,0,5,196,
2020,Kenny Jordan,Tinoco Cerda,0,2,0,0,0,0,2,521,
1987,L.,Chamorro Baltedono,0,1,0,0,0,3,4,203,
2021,José Gabriel,Rivas Rivera,0,0,0,0,0,0,0,533,
2021,Isaac Dahir,Rodríguez Gutiérrez,0,0,0,0,0,0,0,533,
2021,Oscar Yamil,Espinoza Olivares,0,0,0,0,0,0,0,533,
2020,Carlos Alberto,Solorzano Garcia,1,0,0,0,0,0,1,532,
2023,Carlos Andrés,Sequeira Álvarez,3,0,0,0,0,0,3,535,
2016,Josué Francisco,Hernández Vega,1,0,0,0,0,0,1,539,
1987,R.,Valdivia Lorente,0,0,0,0,2,0,2,215,
2020,Mario Alejandro,Rodríguez Galeano,0,0,0,0,0,0,0,560,
2020,Oscar Yamil,Espinoza Olivares,0,0,0,0,0,0,0,560,
1987,R.,Blandón Donayres,0,1,0,0,0,0,1,217,
1987,J.,Ruiz Chaurria,0,0,0,0,1,0,1,217,
2017,Jehú Josue,Guerrero Urrutia,1,0,0,1,0,0,2,567,
1987,F.,Gutiérrez Zabala,0,0,0,0,0,0,0,226,
