Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2008,Jørgen Vold,Rennemo,7,7,7,7,7,0,35,12,Gold medal
2020,Andreas,Alberg,7,7,4,7,7,1,33,22,Gold medal
2002,David,Kunszenti-Kovács,7,7,1,7,7,0,29,29,Gold medal
2007,Jørgen Vold,Rennemo,7,7,0,7,7,0,28,40,Silver medal
2021,Andreas,Alberg,6,1,1,7,7,0,22,63,Silver medal
2019,Andreas,Alberg,7,7,0,7,7,0,28,65,Silver medal
2001,David,Kunszenti-Kovács,7,7,3,7,2,0,26,54,Silver medal
2003,David,Kunszenti-Kovács,7,6,1,7,1,1,23,59,Silver medal
2011,Håvard,Bakke Bjerkevik,7,7,0,7,2,0,23,83,Silver medal
1990,Jan Kristian,Haugland,5,7,5,1,5,4,27,46,Silver medal
1999,David,Kunszenti-Kovács,7,2,0,7,6,0,22,70,Silver medal
2014,Johan Sokrates,Wind,7,6,0,7,5,0,25,95,Silver medal
2015,Johan Sokrates,Wind,6,3,0,7,4,0,20,101,Silver medal
1990,Oddvar,Kloster,4,4,1,7,7,2,25,56,Silver medal
1992,Jan Kristian,Haugland,7,2,1,7,1,7,25,65,Silver medal
1994,Oystein,Gjerstad,4,7,7,0,6,7,31,78,Silver medal
1990,Morten,Kloster,4,7,1,3,5,4,24,63,Silver medal
1986,Stig,Hemmer,6,7,0,2,6,7,28,45,Silver medal
1991,Morten,Kloster,0,7,7,6,7,3,30,72,Bronze medal
2017,Andreas,Alberg,7,4,0,7,0,0,18,139,Bronze medal
1997,Vigleik,Angeltveit,5,0,7,5,7,0,24,110,Bronze medal
2018,Andreas,Alberg,7,2,0,7,7,1,24,147,Bronze medal
2018,Bjørnar Gullikstad,Hem,7,2,0,7,7,0,23,157,Bronze medal
2006,Jørgen Vold,Rennemo,7,1,0,7,3,0,18,132,Bronze medal
2019,Erik Mingjun,Ma,2,6,0,7,7,0,22,168,Bronze medal
1984,John,Rognes,7,7,2,7,1,0,24,53,Bronze medal
1989,Oddvar,Kloster,7,5,0,3,6,7,28,82,Bronze medal
2022,Andreas,Notøy,7,7,0,7,6,0,27,187,Bronze medal
2000,David,Kunszenti-Kovács,7,1,0,5,0,3,16,149,Bronze medal
1997,Petter,Callin,4,7,0,7,1,1,20,155,Bronze medal
2019,Magnus Hellebust,Haaland,7,0,0,7,7,0,21,214,Bronze medal
2009,Sondre,Kvamme,7,5,0,0,7,0,19,198,Bronze medal
2021,David Strømme,Eikeland,7,0,0,0,7,0,14,218,Bronze medal
1999,Oyvind,Grotmol,5,1,1,7,0,0,14,159,Bronze medal
2020,Elias Ekern,Baird,7,0,0,7,6,0,20,227,Bronze medal
2007,Espen Arild,Jenssen,7,0,1,7,0,0,15,197,Bronze medal
2023,David Strømme,Eikeland,7,0,0,7,7,0,21,237,Bronze medal
1996,Erling,Ellingsen,4,0,2,0,0,7,13,164,Bronze medal
1996,Torbjörn,Helvik,7,0,0,0,1,5,13,164,Bronze medal
1992,Qiao,Shuo-Wang,0,2,1,7,0,6,16,125,Bronze medal
1993,Håvard,Larsen,1,0,3,3,4,2,13,161,Bronze medal
1993,Ron,Dror,0,1,3,2,5,2,13,161,Bronze medal
2024,David Strømme,Eikeland,7,1,0,7,3,0,18,238,Bronze medal
2024,Ivar Lee,Fevang,7,2,0,2,7,0,18,238,Bronze medal
2019,Thomas Agung Dibpa Anandita,Thrane,6,7,0,7,0,0,20,245,Bronze medal
1991,Jan Kristian,Haugland,1,7,5,2,7,0,22,126,Bronze medal
1995,Håvard,Larsen,7,0,2,5,1,6,21,166,Bronze medal
2024,Vebjørn,Holm-Gjerde,7,3,0,7,0,0,17,252,Bronze medal
2002,Matias,Holte,7,0,0,7,1,0,15,201,Bronze medal
1996,Pål,Hermunn Johansen,4,0,0,1,0,7,12,180,Bronze medal
2017,Marius,Stensrud,4,5,0,7,0,0,16,265,Bronze medal
1997,Pål,Hermunn Johansen,6,0,3,6,1,0,16,200,Bronze medal
1999,Gert Monstad,Hana,6,1,2,2,1,0,12,202,Bronze medal
1990,Jorgen,Lorentz,1,2,3,1,5,4,16,139,Bronze medal
2023,Edvard Walde,Heimdal,7,4,0,6,2,0,19,279,Bronze medal
1991,Qiao,Shuo-Wang,7,2,3,2,6,0,20,144,Bronze medal
1992,Carl Peter,Kirkeboe,7,2,0,5,0,0,14,146,Bronze medal
2009,Jarle,Stavnes,7,7,0,0,0,0,14,264,Bronze medal
2013,Ingerid Marie,Fosli,1,6,0,7,0,1,15,250,Bronze medal
2001,Odd Jostein Mykland,Tveitastöl,0,2,0,7,2,0,11,228,Bronze medal
1994,Håvard,Larsen,1,0,7,1,5,5,19,187,Bronze medal
2003,Rune,Valle,7,1,0,3,1,0,12,211,Honourable mention
2016,Weronika,Wrzos-Kamińska,7,1,0,7,0,0,15,281,Honourable mention
2019,Erik,Mjaanes,6,0,0,3,7,0,16,303,Honourable mention
2011,Karl Erik,Holter,7,2,0,3,3,0,15,282,Honourable mention
1989,Orjan,Johansen,1,2,0,7,7,0,17,148,Honourable mention
1989,Jan Kristian,Haugland,7,0,0,0,7,3,17,148,Honourable mention
2010,Karl Erik,Holter,7,0,0,7,0,0,14,266,Honourable mention
2020,Philip Bergh,Sveen,7,0,0,7,0,0,14,317,Honourable mention
2018,Erik Mingjun,Ma,7,3,0,3,0,1,14,307,Honourable mention
2019,Olav Hellebust,Haaland,7,0,0,6,2,0,15,326,Honourable mention
1992,Joakim,Bergli,7,1,1,3,0,0,12,170,Honourable mention
2022,Maxim,Scherbakov,7,3,0,7,3,0,20,314,Honourable mention
1998,David,Kunszenti-Kovács,2,7,1,0,1,0,11,226,Honourable mention
2005,Jørgen Vold,Rennemo,2,7,0,0,0,0,9,277,Honourable mention
2005,Nina,Holden,0,1,0,7,0,1,9,277,Honourable mention
2008,Sivert,Bocianowski,7,1,0,4,0,0,12,297,Honourable mention
2012,Sofia M.,Lindqvist,7,0,0,4,0,0,11,315,Honourable mention
2005,Hilde,Galleberg Johnsen,1,7,0,0,0,0,8,296,Honourable mention
2022,Oliver,Ruden,7,7,0,0,3,1,18,343,Honourable mention
2015,Bruno Kacper,Mlodozeniec,7,0,0,3,0,0,10,337,Honourable mention
2023,Vebjørn,Holm-Gjerde,7,0,1,7,0,0,15,366,Honourable mention
2023,James,Jia,7,0,0,7,1,0,15,366,Honourable mention
1995,Håkon,Hallingstad,7,0,1,4,2,0,14,245,Honourable mention
2011,Une André,Simonsen,7,0,0,2,2,0,11,338,Honourable mention
2024,Magnus Flydal,Jenstad,7,0,0,7,0,0,14,366,Honourable mention
2021,Maxim,Scherbakov,7,0,0,0,0,0,7,372,Honourable mention
2021,Andreas,Notøy,7,0,0,0,0,0,7,372,Honourable mention
2021,Christoffer Grøndal,Tryggestad,7,0,0,0,0,0,7,372,Honourable mention
2002,Rune,Valle,0,7,0,0,2,0,9,294,Honourable mention
2023,Ivar Lee,Fevang,7,0,0,7,0,0,14,385,Honourable mention
2009,Sivert,Bocianowski,7,1,0,1,0,0,9,354,Honourable mention
2009,Karl Erik,Holter,7,1,1,0,0,0,9,354,Honourable mention
2016,Marius,Stensrud,7,0,0,4,0,0,11,379,Honourable mention
2015,Håkon,Flatval,7,0,0,1,1,0,9,365,Honourable mention
1995,Magnus Dehli,Vigeland,7,0,0,5,1,0,13,263,Honourable mention
2003,David,Narum,7,0,0,0,1,0,8,292,Honourable mention
2022,Noah,Hessen Bjerke,7,1,0,7,1,0,16,377,Honourable mention
2006,Vidar,Klungre,7,1,0,3,0,0,11,319,Honourable mention
2014,Tianzhi (Peter),Lu (Wang Hjemdahl),5,0,0,7,0,0,12,366,Honourable mention
2007,Arthur,Martensson,7,0,2,0,0,0,9,344,Honourable mention
2006,Atle Rygg,Årdal,2,1,0,7,0,0,10,335,Honourable mention
2013,Einar Bogsnes,Hegge,7,0,0,0,1,0,8,355,Honourable mention
2017,Bjørnar Gullikstad,Hem,7,0,0,0,5,0,12,416,Honourable mention
2020,Erik,Mjaanes,0,0,0,7,1,0,8,419,Honourable mention
2023,Mina Johanne,Heier,7,0,0,1,2,0,10,441,Honourable mention
2011,Sofia M.,Lindqvist,7,0,0,1,0,0,8,402,Honourable mention
2020,Christoffer Grøndal,Tryggestad,0,0,0,7,0,0,7,445,Honourable mention
2024,Aksel,Løvholt,7,2,0,0,0,0,9,457,Honourable mention
2024,Torstein Barvik,Molstad,1,0,0,1,7,0,9,457,Honourable mention
2014,Kari Lovise,Lodsby,7,0,0,1,0,0,8,421,Honourable mention
2022,David Strømme,Eikeland,7,1,0,0,3,0,11,445,Honourable mention
2017,Anna,Lyubarskaja,7,1,0,1,0,0,9,471,Honourable mention
2017,Ole Marius,Strøhm,7,0,0,1,0,0,8,497,Honourable mention
1996,Magnus Dehli,Vigeland,3,0,2,6,0,0,11,201,
1985,Hallvard,Furuseth,1,7,0,2,1,3,14,102,
2004,Paul Kjetel Soldal,Lillemoen,4,3,3,4,0,1,15,244,
1986,Anders,Høyer Berg,7,0,0,1,0,7,15,110,
2003,Matias,Holte,2,1,0,5,1,1,10,247,
1987,Einar Andreas,Rødland,0,0,1,7,7,0,15,131,
1994,Tore August,Kro,3,0,6,5,1,1,16,214,
2000,Oyvind,Grotmol,3,1,1,3,1,0,9,260,
2005,Henrik,Sigstad,3,1,0,2,0,2,8,296,
2004,Henrik,Sigstad,6,0,3,0,3,0,12,281,
1993,Tore,Skaug,0,1,3,0,3,0,7,241,
2002,Jørgen,Avdal,5,0,0,4,1,0,10,281,
1987,Arne H.,Juul,1,4,0,1,7,0,13,141,
1987,Anders,Høyer Berg,0,0,0,6,7,0,13,141,
1995,Oystein,Gjerstad,0,0,4,4,6,0,14,245,
1990,Dag,Madsen,1,4,1,1,6,0,13,184,
2004,Matias,Holte,6,2,2,1,0,0,11,295,
1988,Orjan,Johansen,0,3,2,3,2,0,10,166,
2007,Felix Tadeus,Prinz,6,0,0,4,0,0,10,322,
1996,Borge,Rogstad,5,0,0,0,1,0,6,266,
2008,Thomas Berge,Grythe,5,1,0,4,0,0,10,337,
1991,Torsten,Mentzoni,0,4,3,2,0,3,12,202,
1987,Sigmund,Berntsen,0,5,0,0,6,0,11,151,
1993,Jan,Marius Evang,1,0,3,0,1,1,6,265,
1998,Vigleik,Angeltveit,2,1,2,0,0,3,8,271,
1999,Chen,Huang,5,0,0,1,1,1,8,292,
