Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2020,Ishan,Nath,7,7,7,7,7,0,35,19,Gold medal
2002,Simon,Marshall,0,7,7,7,6,2,29,29,Gold medal
2011,James Zhi-Xiu,Allen,7,7,0,7,6,0,27,55,Silver medal
2001,Simon,Marshall,7,7,0,7,3,0,24,65,Silver medal
2005,Heather Rose,Macbeth,7,7,0,7,7,0,28,72,Silver medal
2010,Malcolm,Granville,7,7,0,7,1,0,22,76,Silver medal
2018,William,Han,7,7,0,7,7,0,28,87,Silver medal
2022,He (James),Xu,6,7,1,7,7,1,29,112,Silver medal
2014,George,Han,7,7,0,7,2,0,23,109,Silver medal
2011,Arun Chockalingam,Shanmuganathan,7,1,0,7,7,0,22,113,Silver medal
2010,Tom,Yan,7,7,0,7,0,0,21,106,Silver medal
2024,Jay,Zhao,7,2,0,7,7,0,23,125,Silver medal
1988,David,Wallace,4,7,7,0,6,0,24,56,Silver medal
1995,James,Andrew McGowan,7,0,6,7,2,7,29,90,Silver medal
2016,Miles Yee-Cheng,Lee,7,2,0,7,6,0,22,137,Silver medal
2024,Boning,Dai,7,7,0,7,1,0,22,147,Silver medal
2024,Chris,Pan,7,1,0,7,7,0,22,147,Silver medal
2017,Yiannis,Fam,7,4,0,7,0,0,18,139,Bronze medal
1999,Ben,Handley,6,1,2,7,1,1,18,109,Bronze medal
2015,Miles Yee-Cheng,Lee,7,1,0,7,3,0,18,140,Bronze medal
2011,Robert,Zhang,7,1,0,7,6,0,21,145,Bronze medal
2007,Ronald Ping Man,Chan,7,1,2,7,1,0,18,145,Bronze medal
1996,Matthew,David McNabb,7,0,3,1,0,6,17,121,Bronze medal
2013,George,Han,7,3,0,7,5,0,22,151,Bronze medal
2021,He (James),Xu,7,1,0,0,7,0,15,180,Bronze medal
2020,Hamish,Baguley,7,1,0,7,7,0,22,181,Bronze medal
2023,Bufan,Zhao,7,7,0,7,2,0,23,183,Bronze medal
2024,Nicholas,McKinlay,7,1,0,7,6,0,21,182,Bronze medal
2017,William,Han,7,3,0,7,0,0,17,188,Bronze medal
1990,Timothy,Sturge,1,6,1,3,7,2,20,96,Bronze medal
2006,Rupert,Nelson,7,1,0,7,1,0,16,161,Bronze medal
2006,Albert James,Liley,7,1,0,7,1,0,16,161,Bronze medal
1994,Kirk,Alexander,0,7,6,7,5,0,25,126,Bronze medal
2004,Heather Rose,Macbeth,6,4,0,7,3,1,21,159,Bronze medal
1996,Russell,Neilson,3,0,4,1,0,7,15,139,Bronze medal
2018,Xutong,Wang,6,5,0,7,2,0,20,204,Bronze medal
2019,William,Han,7,0,0,7,7,0,21,214,Bronze medal
2019,Ishan,Nath,7,0,0,7,7,0,21,214,Bronze medal
2021,Bufan,Zhao,7,0,0,0,7,0,14,218,Bronze medal
1996,Robin,Christian,6,1,1,0,0,6,14,150,Bronze medal
1993,Andrew,Firth,1,2,0,5,6,0,14,151,Bronze medal
1991,Diane,Maclagan,1,3,6,6,7,0,23,117,Bronze medal
1991,Michael,Burns,3,7,3,2,7,1,23,117,Bronze medal
1994,Brendan,Riley,5,7,4,2,0,5,23,143,Bronze medal
2005,Seung Won (Eric),Kang,1,1,7,7,0,0,16,191,Bronze medal
