Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2023,Al Waqas Mahmood Mohammed,Al Khadhuri,7,7,1,7,2,0,24,145,Bronze medal
2022,Alwaqas Mahmood Mohammed,Al Khadhuri,5,3,0,4,0,0,12,436,
2021,Humaid Nasser Humaid,Al-Touqi,1,0,0,0,0,0,1,499,
2021,Alwaqas Mahmood Mohammed,Alkhadhuri,0,0,0,1,0,0,1,499,
2021,Hajer Yaqoob Said Sawad,Alrahbi,0,0,0,0,0,0,0,533,
2021,Alshaimaa Mohameed Salim,Alabdali,0,0,0,0,0,0,0,533,
2021,Ahmed Khalifa Said,Al-Shamsi,0,0,0,0,0,0,0,533,
2021,Rahaf Khamis Mohammed Obaid,Alruzaiqi,0,0,0,0,0,0,0,533,
2020,Al-Khalil Ahmed Khalid Amur,Al-Habsi,0,1,0,0,0,0,1,532,
2020,Ghasna Saif Abdullah,Al Humaimi,0,0,1,0,0,0,1,532,
2023,Rabha Ayoub Sulaiman,Al Kindi,2,0,0,0,0,0,2,554,
2024,Rabha Ayoub Sulaiman,Al Kindi,1,0,0,0,1,0,2,551,
2020,Rahaf Khamis Mohammed,AL-RUZAIQI,0,0,0,0,0,0,0,560,
2020,Alghaidaa Said Mohammed,Al Alawi,0,0,0,0,0,0,0,560,
2020,Olla Hamood Ali,Al Subhi,0,0,0,0,0,0,0,560,
2020,Sondus Saleh Khamis,Al-Mahrouqi,0,0,0,0,0,0,0,560,
2022,Albljaa Zahran Zahir Mohammed,Alabri,1,0,0,2,0,0,3,544,
2022,Manar Mahmood Ali Nasser,Al Dhuhli,1,0,0,2,0,0,3,544,
2024,Rayan Said Mohammed,Al-Hadhrami,1,0,0,0,0,0,1,565,
2024,Jumanah Said Mubarak Said,Al Kalbani,0,0,0,0,1,0,1,565,
2023,Rayan Said Mohammed,Al-Hadhrami,1,0,0,0,0,0,1,589,
2022,Rayyan Abdallah Ahmed,Al Kaabi,0,1,0,0,0,0,1,563,
2024,Aisha Mohammed Nasser Saif,Al Sadi,0,0,0,0,0,0,0,589,
2024,Qutoof Saif Mohsin Salim,Al Abri,0,0,0,0,0,0,0,589,
2024,Raghad Zahir Mubarak,Al Shekaili,0,0,0,0,0,0,0,589,
2023,Haamed Ibrahim Hamood,Al Qasmi,0,0,0,0,0,0,0,603,
2023,Ekhlas Ali Nasser Abdullah,Al Adwani,0,0,0,0,0,0,0,603,
2023,Al Rayan Bati Ali Salim,Al Sukaiti,0,0,0,0,0,0,0,603,
2022,Almunthir Sulaiman Mattar Obaid,Al-Abri,0,0,0,0,0,0,0,579,
2022,Ayisha Abdul Qader Ali,Almamari,0,0,0,0,0,0,0,579,
