Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2021,Luis Alberto,Modes Castillo,7,0,1,7,3,0,18,156,Bronze medal
2010,Antonio,Fan,7,2,0,7,0,0,16,199,Bronze medal
2010,Edwin,Hernandez,7,1,1,7,0,0,16,199,Bronze medal
2019,Brian,Chen,7,0,0,5,7,0,19,256,Bronze medal
2020,Luis Alberto,Modes Castillo,7,2,0,6,0,0,15,294,Bronze medal
2017,Ilai Yehuda,Reshef,7,3,0,5,0,0,15,292,Honourable mention
2021,Adrian David,Frauca Arenas,4,0,0,7,0,0,11,304,Honourable mention
2009,Antonio,Fan,7,3,0,1,1,0,12,296,Honourable mention
2020,Leonardo Andres,Marciaga Santana,7,0,4,1,0,0,12,358,Honourable mention
2022,Adrian,Frauca Arenas,7,2,0,7,1,0,17,364,Honourable mention
2018,Leonardo Andres,Marciaga Santana,7,1,0,2,0,0,10,368,Honourable mention
2023,Eidrian Lian,Perez Gonzalez,7,0,0,7,0,0,14,385,Honourable mention
2013,Felipe,Moreno,2,0,0,7,0,0,9,335,Honourable mention
2018,Luis Alberto,Modes Castillo,7,0,0,2,0,0,9,391,Honourable mention
2013,Ethan Miguel,D'Cunha Silveira,1,0,0,7,0,0,8,355,Honourable mention
2024,Kaiqi,Wan,3,0,0,7,0,0,10,434,Honourable mention
2022,Jorge,Liu Luo,7,0,0,7,0,0,14,420,Honourable mention
2019,Leonardo,Marciaga,7,0,0,1,0,0,8,444,Honourable mention
2012,Ethan Miguel,D'Cunha Silveira,7,0,0,0,0,1,8,398,Honourable mention
2006,Naicolette,Agudo,7,1,0,1,0,0,9,364,Honourable mention
2006,Luis,Peña,7,0,0,2,0,0,9,364,Honourable mention
2023,Adrian David,Frauca Arenas,7,0,0,2,0,0,9,459,Honourable mention
2023,Jorge,Liu Luo,7,0,0,1,0,0,8,490,Honourable mention
2022,Eidrian,Perez,7,1,0,1,0,0,9,469,Honourable mention
2014,Felipe,Moreno,7,0,0,0,0,0,7,446,Honourable mention
2021,Alejandro Manuel,Aguilar Croston,5,0,0,2,0,0,7,372,
2019,Luis Alberto,Modes Castillo,6,1,0,0,2,0,9,417,
2011,Edwin,Hernandez,1,0,2,2,1,0,6,428,
2006,Yin Lili,Luo,5,0,0,3,0,0,8,388,
1987,A.,Ellis Saldana,0,0,0,0,6,0,6,191,
2015,Daniel Enrique,Watson Amado,1,0,1,2,0,0,4,465,
2015,Manuel,Liu Ng,1,0,0,2,1,0,4,465,
2006,Joselito,Wong,4,0,0,3,0,0,7,408,
2012,Fernando Alberto,Varela Fabrega,3,0,0,2,0,0,5,450,
2020,Temistocles,Zeballos Rodriguez,0,0,0,3,0,0,3,512,
2012,Antonio,Liu Zhang,3,1,0,0,0,0,4,465,
2018,Brian Enrique,Chen Yee,0,0,0,2,0,0,2,511,
2020,Marcelo Javier,Maza,1,0,0,0,0,0,1,532,
2020,Gustavo Enrique,De La Guardia Fabrega,0,0,1,0,0,0,1,532,
2019,Temistocles,Zeballos,0,0,0,0,1,0,1,540,
2013,Pablo,Jaen,0,0,0,2,0,0,2,460,
2020,Alejandro Manuel,Aguilar Croston,0,0,0,0,0,0,0,560,
1987,J.,Solis Bermúdez,0,0,0,0,1,0,1,217,
2015,Andres,Fabrega,0,0,0,0,1,0,1,532,
2013,Jose Roberto,Urriola,0,0,0,0,0,0,0,494,
2022,Ana Lucia ,Maza,1,0,0,1,0,0,2,556,
2018,David,Garcia Gonzalez,0,0,0,0,0,0,0,565,
1987,E.,Hernández Bethancourt,0,0,0,0,0,0,0,226,
1987,T.,Pinzon Morales,0,0,0,0,0,0,0,226,
1987,E.,Rodríguez,0,0,0,0,0,0,0,226,
1987,R.,Guerra Aguirre,0,0,0,0,0,0,0,226,
