Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2006,Shing,Chan Chang,7,7,0,6,0,0,20,109,Silver medal
2021,Sebastián Misael,Cano Sanabria,7,1,0,7,1,0,16,167,Bronze medal
2014,Roberto Daniel,Filizzola Ortiz,7,6,0,7,1,0,21,163,Bronze medal
2016,Gerardo Sigfredo,Fisch Paredes,7,5,0,7,0,0,19,184,Bronze medal
2015,Gerardo Sigfredo,Fisch Paredes,7,1,0,7,1,0,16,183,Bronze medal
2020,Sebastián Misael,Cano Sanabria,7,0,0,7,6,0,20,227,Bronze medal
2016,Elvis Alexander,Agüero Vera,7,2,0,7,1,0,17,224,Bronze medal
2015,Elvis Alexander,Agüero Vera,7,0,0,7,1,0,15,217,Bronze medal
2008,Maurizio,Caló Caligaris,7,1,1,7,0,0,16,212,Bronze medal
2015,Roberto Daniel,Filizzola Ortiz,4,2,0,7,1,0,14,257,Bronze medal
2013,Roberto Daniel,Filizzola Ortiz,7,1,0,7,0,0,15,250,Bronze medal
2013,Marcelo José,Elizeche Armoa,7,0,0,7,1,0,15,250,Bronze medal
2011,Marcos,Martínez Sugastti,7,0,0,7,1,0,15,282,Honourable mention
2023,Kevin Francisco,Aquino Díaz ,6,1,0,7,3,0,17,315,Honourable mention
2006,Maurizio,Caló Caligaris,7,0,0,7,0,0,14,254,Honourable mention
2007,Maurizio,Caló Caligaris,4,0,0,7,1,0,12,266,Honourable mention
2016,Marcos Rubén,Zárate Gamarra,7,0,0,7,0,0,14,312,Honourable mention
2017,Matías Rubén,Martínez Rodríguez,7,0,0,7,0,0,14,342,Honourable mention
2007,Gabriela María,Ratti Bittinger,3,0,0,7,1,0,11,293,Honourable mention
2012,Marcelo José,Elizeche Armoa,7,0,0,4,0,0,11,315,Honourable mention
2010,Ariel,Schvartzman Cohenca,5,1,0,7,0,0,13,313,Honourable mention
2022,Kevin Francisco,Aquino Díaz,7,1,0,7,1,0,16,377,Honourable mention
2020,Daniel Sebastián,Peña Valinotti,7,2,0,0,0,0,9,395,Honourable mention
2002,Carlos,Eugenio Sauer Ayala,1,0,0,7,0,0,8,308,Honourable mention
2022,María Guadalupe,Solaeche Amadeo,6,1,0,7,1,0,15,394,Honourable mention
2007,Rafael Guillermo,Arias Michel,0,1,0,7,0,0,8,365,Honourable mention
2024,Alex George,Soutter Ibáñez,3,0,0,7,0,0,10,434,Honourable mention
2014,Gerardo Sigfredo,Fisch Paredes,2,0,0,7,0,0,9,404,Honourable mention
2004,Andres,Codas,7,0,0,0,1,0,8,351,Honourable mention
2020,Alexander Jesús Amado,Olmedo Torres,7,0,0,0,0,0,7,445,Honourable mention
2020,Gabriela Montserrat,Ríos Berni,7,0,0,0,0,0,7,445,Honourable mention
2012,Marcos,Martínez Sugastti,7,0,0,1,0,0,8,398,Honourable mention
2013,Jonathan,Ramírez Florentín,0,0,0,7,0,0,7,394,Honourable mention
2014,Antonio Nicolás,Riera Zacarías,7,0,0,1,0,0,8,421,Honourable mention
2023,Tobías Santiago,Valdez Caballero,7,0,0,1,0,0,8,490,Honourable mention
2023,Ariel Alejandro,Insaurralde Aldana,7,0,0,1,0,0,8,490,Honourable mention
2023,María José,Ortiz Benítez,7,0,0,1,0,0,8,490,Honourable mention
2022,Gabriela Michelle,Miranda Bortolatto,1,1,0,7,0,0,9,469,Honourable mention
2022,María José,Ortiz Benítez,1,1,0,7,0,0,9,469,Honourable mention
2017,Gerardo Iván,Piris Tillner,7,0,0,1,0,0,8,497,Honourable mention
2011,Edgar,Elizeche Armoa,2,0,0,1,6,0,9,378,
2005,Roberto,Viveros Vera,2,0,0,2,0,0,4,356,
2005,Juan,José Cáceres,2,1,0,0,0,0,3,368,
2005,Gabriela María,Ratti Bittinger,1,1,0,1,0,0,3,368,
2011,Stefania Yuliana,Viterbori,5,0,0,0,2,0,7,420,
2014,Guillermo Sebastián,Vázquez Colmán,5,0,0,1,2,0,8,421,
2009,Ariel,Schvartzman Cohenca,0,4,0,1,0,0,5,429,
2009,Juan José,Mongelós Wollmeister,4,0,0,1,0,0,5,429,
2021,Gabriela Azucena,Ayala Blanco,2,0,0,0,0,0,2,470,
2018,Normann Alexander,Zichner Von Schmeling,3,0,0,2,0,0,5,452,
2018,Victoria Montserrat,Simón Orué,4,0,0,0,1,0,5,452,
2019,José Fabrizio,Filizzola Ortiz,5,0,0,0,0,0,5,479,
2009,Marcos,Martínez Sugastti,3,1,0,0,0,0,4,444,
2019,Alexander Jesús Amado,Olmedo Torres,4,0,0,0,0,0,4,489,
2019,Ángeles Eugenia,Cibils Bernardes,3,0,0,1,0,0,4,489,
2019,Daniel Sebastián,Peña Valinotti,3,0,0,0,1,0,4,489,
2008,Darío De Jesús,Torres Herebia,5,0,0,0,0,0,5,424,
2022,Alfredo Nahuel,Gómez Ruiz,6,1,0,2,0,0,9,469,
2024,Fernando Daniel,Lopez Bobadilla,5,0,0,1,1,0,7,487,
2015,Marcos Rubén,Zárate Gamarra,1,1,0,2,0,0,4,465,
1998,Augusto Jose,Hermosilla Forneron,0,0,0,3,0,0,3,340,
2006,Rafael Guillermo,Arias Michel,5,0,0,2,0,0,7,408,
2002,Ingo,Dyck Harder,0,0,0,3,0,0,3,393,
2014,Francisco Ariel,Verón Ferreira,4,0,0,2,0,0,6,462,
2011,Enrique,Diaz Barriocanal,2,0,0,1,1,0,4,466,
2016,Matías Rubén,Martínez Rodríguez,2,0,0,1,0,0,3,501,
2001,Carlos Alberto,Bareiro Escobar,1,0,0,0,1,0,2,398,
2006,Gabriela María,Ratti Bittinger,3,0,0,3,0,0,6,422,
1997,Amadeo Raúl,Luraghi Arce,1,0,0,2,0,0,3,391,
1997,Carlos Alberto,Jara Rojas,1,0,0,1,1,0,3,391,
2014,Marcos Rubén,Zárate Gamarra,3,0,0,1,0,0,4,476,
2012,Roberto Daniel,Filizzola Ortiz,2,0,0,2,0,0,4,465,
2010,Marcos,Martínez Sugastti,3,0,0,3,0,0,6,445,
2017,Ernestina,Plate Zelaschi,5,1,0,1,0,0,7,528,
2017,Diego César,Balbuena Duarte,6,0,0,1,0,0,7,528,
2017,Rodrigo Ariel,Schliiter Villalba,5,0,0,2,0,0,7,528,
2021,Mateo Juan Maria,Elizeche Armoa,0,0,0,0,0,0,0,533,
2021,Alfredo Nahuel,Gomez Ruiz,0,0,0,0,0,0,0,533,
2021,Maria Guadalupe,Solaeche Amadeo,0,0,0,0,0,0,0,533,
2021,Kevin Francisco,Aquino Díaz,0,0,0,0,0,0,0,533,
2020,Alfredo Nahuel,Gómez Ruiz,0,0,0,1,0,0,1,532,
2005,Paola,María Villalba Fiore,0,1,0,0,0,0,1,445,
2005,María,Rosa Blanc Recalde,0,1,0,0,0,0,1,445,
2019,Kevin David,Jaime Insfrán,0,1,0,0,0,0,1,540,
2011,Edgar Augusto,Mareco Torres,3,0,0,0,0,0,3,491,
2004,Werner,Wagener,1,0,0,0,2,0,3,424,
2015,Gerardo Iván,Piris Tillner,0,0,0,2,0,0,2,508,
2015,Antonio Nicolás,Riera Zacarías,1,0,0,0,1,0,2,508,
1998,Carlos Alberto,Jara Rojas,0,0,1,1,0,0,2,369,
2012,Eduardo José,Piris Tillner,3,0,0,0,0,0,3,483,
2012,Aida Ramona,Ortiz,3,0,0,0,0,0,3,483,
2010,Fredy,Ferreira Acosta,0,2,0,3,0,0,5,461,
2017,David Eduardo,Vente Galeano,5,0,0,0,0,0,5,547,
2008,Ariel,Schvartzman Cohenca,0,1,0,1,0,0,2,479,
2016,Gerardo Iván,Piris Tillner,1,0,0,0,0,0,1,539,
2016,Jose Carlos,Ríos Parquet,1,0,0,0,0,0,1,539,
2004,Victor,Velazquez,0,0,0,1,1,0,2,437,
2013,Guillermo Alexander,Krauch Caballero,1,0,0,0,0,0,1,474,
2024,Osmar Mathías,Cabrera Jacquet,1,0,0,1,0,0,2,551,
2018,Santiago Zunu,Cantero Dávalos,0,0,0,0,1,0,1,538,
2018,Pedro,González Arévalos,0,0,0,0,1,0,1,538,
2020,Efrain Ezequiel,Britez Berden,0,0,0,0,0,0,0,560,
2012,Ana Fabiola,Ríos Eichenbrenner,1,0,0,1,0,0,2,498,
1997,Augusto Jose,Hermosilla Forneron,0,0,0,1,0,0,1,419,
1997,Joel Diego Marcelino,Prieto Corvalan,0,0,0,1,0,0,1,419,
2019,Sebastián Misael,Cano Sanabria,0,0,0,0,0,0,0,573,
1998,Joel Diego Marcelino,Prieto Corvalan,0,0,1,0,0,0,1,388,
2007,Jorge Daniel,Jacquet Montiel,0,1,0,0,0,0,1,482,
2010,Edgar,Elizeche Armoa,2,0,0,0,0,0,2,484,
2024,Fabrizio Matias,Castro Gamarra,1,0,0,0,0,0,1,565,
2013,Antonio Nicolás,Riera Zacarías,0,0,0,0,0,0,0,494,
2013,Carmen Cecilia,Sánchez Vázquez,0,0,0,0,0,0,0,494,
2001,Carlos Antonio,Jara De Marco,0,0,0,0,0,0,0,446,
2001,Sebastián Tomás,Pereira Ricart,0,0,0,0,0,0,0,446,
2001,Osvaldo Manuel,Vera Gonzalez,0,0,0,0,0,0,0,446,
2001,Roberto Martín,Rivas Villalba,0,0,0,0,0,0,0,446,
2005,Werner,Wagener,0,0,0,0,0,0,0,486,
2008,Guillermo Enrique,Fernández González,1,0,0,0,0,0,1,508,
2018,Rodrigo Ariel,Schliiter Villalba,0,0,0,0,0,0,0,565,
2018,Alejandro José,Lird Gill,0,0,0,0,0,0,0,565,
2022,Tobías Santiago,Valdez Caballero,1,0,0,0,0,0,1,563,
1998,Pablo Gabriel,Acuna,0,0,0,0,0,0,0,404,
1998,Fernando Dario,Mernes Velazco,0,0,0,0,0,0,0,404,
2009,Claudia Vanessa,Montanía Portillo,0,0,0,0,0,0,0,547,
1997,María Laura,Solís,0,0,0,0,0,0,0,446,
1997,Gilberto Enrique,Duarte Alfonso,0,0,0,0,0,0,0,446,
2003,Matthias,Hiebert Baeck,0,0,0,0,0,0,0,446,
