Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2011,Raúl Arturo,Chávez Sarmiento,7,7,7,7,7,0,35,6,Gold medal
2008,Fernando,Manrique Montañez,7,7,7,6,7,1,35,12,Gold medal
2015,Christian Omar,Altamirano Modesto,7,2,7,7,7,0,30,17,Gold medal
2010,José Gustavo,García Sulca,7,7,1,7,7,0,29,18,Gold medal
2015,Raul Alfredo,Alcántara Castillo,7,7,0,7,7,0,28,26,Gold medal
2016,Raul Alfredo,Alcántara Castillo,7,7,0,7,7,0,28,45,Silver medal
2022,Diego,Coronado,7,7,2,7,7,3,33,45,Silver medal
2013,Angel Gerardo,Napa Bernuy,7,2,7,7,7,0,30,46,Silver medal
2023,Juan Mathius,Tasayco,7,7,3,7,7,0,31,55,Silver medal
2012,Jesús Ángel,Advíncula Altamirano,7,7,0,6,7,0,27,52,Silver medal
2024,Renato,Gaitan,7,7,0,7,7,0,28,59,Silver medal
2024,Sebastian,Lozada,7,5,0,7,7,2,28,59,Silver medal
2021,Yohan,Min,7,0,1,7,7,0,22,63,Silver medal
2021,Joaquin,Guerra,7,0,1,7,7,0,22,63,Silver medal
2019,Monica,Martinez,7,7,0,7,7,0,28,65,Silver medal
2019,Daniel,Benavides,7,7,0,7,7,0,28,65,Silver medal
2013,Jesús Ángel,Advíncula Altamirano,7,1,7,7,7,0,29,57,Silver medal
2012,Raúl Arturo,Chávez Sarmiento,7,7,3,6,3,0,26,61,Silver medal
2023,Angelo,Farfan,7,7,1,7,5,3,30,71,Silver medal
2022,Yohan,Min,7,7,2,7,7,1,31,68,Silver medal
2022,Carla,Fermin,7,7,1,7,7,2,31,68,Silver medal
2017,Raul Alfredo,Alcántara Castillo,7,7,0,7,0,1,22,72,Silver medal
2014,Christian Omar,Altamirano Modesto,7,6,7,7,0,0,27,69,Silver medal
2007,Daniel,Chen Soncco Huarsaya,7,7,0,6,5,0,25,65,Silver medal
2020,Yohan,Min,7,7,7,7,0,0,28,86,Silver medal
2020,Joseph,Altamirano,7,7,0,7,7,0,28,86,Silver medal
2018,Diego,Lázaro Cusihuaman,7,7,0,7,7,0,28,87,Silver medal
2009,Julián Alonso,Mejía Cordero,6,7,1,7,7,0,28,83,Silver medal
2009,Tomás Miguel,Angles Larico,7,6,1,7,7,0,28,83,Silver medal
2015,Jemisson,Coronel Baldeón,7,2,1,7,4,0,21,88,Silver medal
2016,Jemisson,Coronel Baldeón,7,4,0,7,6,0,24,94,Silver medal
2019,Joseph,Altamirano,7,6,0,7,7,0,27,101,Silver medal
2008,César,Cuenca Lucero,7,4,0,6,7,1,25,92,Silver medal
1998,Leonel,Requena,3,7,2,7,7,0,26,73,Silver medal
2015,Jimmy,Espinoza Palacios,7,3,0,7,3,0,20,101,Silver medal
2018,Joseph Daniel,Altamirano Pacheco,7,7,0,7,6,0,27,111,Silver medal
2017,Daniel,Rojas Cruz,7,4,0,7,1,0,19,115,Silver medal
2009,Ricardo Jesús,Ramos Castillo,6,7,1,5,7,0,26,110,Silver medal
2010,Raúl Arturo,Chávez Sarmiento,7,7,0,7,0,0,21,106,Silver medal
2010,Jesús Alberto,Figueroa Curo,7,7,0,7,0,0,21,106,Silver medal
2010,Alejandro Omar,Loyola Bartra,7,7,0,7,0,0,21,106,Silver medal
2012,Paul Michael,Luyo Carbonero,7,0,0,7,7,0,21,112,Silver medal
2009,César,Cuenca Lucero,5,7,1,4,7,1,25,117,Silver medal
2008,Ricardo Jesús,Ramos Castillo,7,7,3,6,0,0,23,116,Silver medal
2013,Christian Omar,Altamirano Modesto,7,4,0,7,7,0,25,117,Silver medal
1998,Liz,Vivas,7,0,7,3,7,0,24,95,Silver medal
2020,Mijail,Gutierrez,7,2,0,7,7,1,24,140,Silver medal
2006,Daniel,Chen Soncco Huarsaya,7,0,0,7,5,0,19,117,Silver medal
2008,Tomás Miguel,Angles Larico,7,7,0,7,0,1,22,127,Silver medal
2017,Daniel Marcelo,Benavides Quispialaya,7,4,0,7,0,0,18,139,Bronze medal
2017,Henry,Felén Chávez,7,4,0,7,0,0,18,139,Bronze medal
2017,Joseph Daniel,Altamirano Pacheco,7,4,0,7,0,0,18,139,Bronze medal
2019,Renzo,Balcazar,7,7,0,7,2,0,23,147,Bronze medal
2005,Daniel,Chen Soncco Huarsaya,7,7,0,7,0,1,22,122,Bronze medal
2005,David Emmanuel,Uribe Gavilano,7,1,0,7,0,7,22,122,Bronze medal
2016,Daniel,Rojas Cruz,7,7,0,7,0,0,21,146,Bronze medal
2011,José Gustavo,García Sulca,7,0,0,7,7,0,21,145,Bronze medal
2018,Daniel Marcelo,Benavides Quispialaya,7,7,0,7,1,1,23,157,Bronze medal
2021,Mijail,Gutierrez,7,2,1,7,0,0,17,164,Bronze medal
2012,Alejandro Miguel,Warton Cordero,7,7,0,5,0,0,19,151,Bronze medal
2012,Christian Omar,Altamirano Modesto,7,7,0,5,0,0,19,151,Bronze medal
2007,Ricardo Jesús,Ramos Castillo,3,2,0,7,6,0,18,145,Bronze medal
2021,Diego,Coronado,7,0,1,7,0,0,15,180,Bronze medal
2021,Eduardo,Aragon,7,0,1,7,0,0,15,180,Bronze medal
2014,Anthony,Huarcaya Palomino,7,7,0,7,0,0,21,163,Bronze medal
2023,Sebastian,Lozada,6,7,1,7,2,0,23,183,Bronze medal
2003,Claudio Vicente,Espinoza Choqquepura,7,1,0,7,1,0,16,138,Bronze medal
2007,Fernando,Manrique Montañez,3,0,0,7,7,0,17,161,Bronze medal
2022,Flor,Luna,7,7,2,7,4,0,27,187,Bronze medal
2022,Joaquin,Guerra,6,7,1,7,6,0,27,187,Bronze medal
2009,Percy Augusto,Guerra Ríos,5,4,0,5,7,0,21,181,Bronze medal
2011,Juan,Paucar Zanabria,7,1,0,4,7,0,19,186,Bronze medal
2010,Josué Benjamín,García Piscoya,4,7,0,7,0,0,18,174,Bronze medal
2013,Christian,Suyo Burga,7,0,6,6,1,0,20,180,Bronze medal
2016,Henry,Felén Chávez,7,0,0,7,4,0,18,206,Bronze medal
2016,Diego,Lázaro Cusihuaman,7,0,0,7,4,0,18,206,Bronze medal
2004,Sergio Eduardo,Vera Patino,7,2,0,7,3,1,20,169,Bronze medal
2008,Ivan,Muñoz Castillo,7,7,0,4,0,0,18,186,Bronze medal
2008,Amilcar,Velez Salamanca,7,4,0,7,0,0,18,186,Bronze medal
2023,Jose,Rojas,7,7,1,7,0,0,22,220,Bronze medal
2014,Miguel Angel,Ccaccya Carhuas,7,6,0,7,0,0,20,200,Bronze medal
2014,Christian,Suyo Burga,7,6,0,7,0,0,20,200,Bronze medal
