Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2020,Andres Rico,Gonzales III,7,7,7,7,7,1,36,4,Gold medal
2018,Albert John,Patupat,7,7,3,7,7,0,31,34,Gold medal
2016,Farrell Eldrian,Wu,7,7,0,7,2,7,30,35,Gold medal
2016,Kyle Patrick,Dulay,7,7,0,7,7,1,29,41,Gold medal
2017,Kyle Patrick,Dulay,7,3,0,7,7,0,24,49,Silver medal
2021,Bryce Ainsley,Sanchez,7,0,1,7,7,0,22,63,Silver medal
2018,Kyle Patrick,Dulay,7,7,0,7,7,1,29,61,Silver medal
2017,Albert John,Patupat,7,7,0,7,2,0,23,64,Silver medal
2023,Raphael Dylan,Dalida,7,7,2,7,6,0,29,82,Silver medal
2023,Jerome Austin,Te,7,7,1,7,7,0,29,82,Silver medal
2015,Adrian Reginald,Sy,7,2,1,7,2,2,21,88,Silver medal
2016,Clyde Wesley,Ang,7,7,0,7,0,3,24,94,Silver medal
2019,Sean Anderson,Ty,7,6,0,7,7,0,27,101,Silver medal
1989,Jerome Suntay,Khohayting,7,7,0,7,7,5,33,48,Silver medal
2024,Jerome Austin,Te,7,2,1,7,7,0,24,100,Silver medal
2017,Farrell Eldrian,Wu,7,4,0,7,2,0,20,103,Silver medal
2023,Filbert Ephraim,Wu,7,7,0,7,7,0,28,104,Silver medal
2021,Steven,Reyes,7,0,0,7,7,0,21,105,Silver medal
2016,Albert John,Patupat,7,7,0,7,2,0,23,114,Silver medal
2014,Adrian Reginald,Sy,7,6,0,6,4,0,23,109,Silver medal
2010,Carmela Antoinette Sio,Lao,7,7,0,7,0,0,21,106,Silver medal
2015,Clyde Wesley,Ang,7,1,1,7,3,0,19,118,Silver medal
2021,Immanuel Josiah,Balete,7,1,0,7,5,0,20,143,Silver medal
2021,Raphael Dylan,Dalida,6,0,0,7,7,0,20,143,Silver medal
2017,Shaquille Wyan,Que,7,4,0,7,0,0,18,139,Bronze medal
2017,Sean Anderson,Ty,7,4,0,7,0,0,18,139,Bronze medal
2019,Immanuel Josiah,Balete,7,7,0,7,2,0,23,147,Bronze medal
