Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1966,Michał,Misiurewicz,6,7,7,5,7,8,40,1,Gold medal
1968,Jerzy,Dydak,6,7,7,5,7,8,40,1,Gold medal
1972,Grzegorz,Andrzejczak,5,6,7,7,7,8,40,1,Gold medal
1994,Tomasz,Schreiber,7,7,7,7,7,7,42,1,Gold medal
1994,Grzegorz,Bobiński,7,7,7,7,7,7,42,1,Gold medal
1981,Jarosław,Wróblewski,7,7,7,7,7,7,42,1,Gold medal
2019,Jan,Fornal,7,7,7,7,7,7,42,1,Gold medal
2006,Przemysław,Mazur,7,5,7,7,3,7,36,5,Gold medal
2015,Adam,Klukowski,7,7,7,7,3,0,31,10,Gold medal
1971,Stanisław,Szarek,,,,,,,38,3,Gold medal
2018,Jan,Fornal,7,7,7,7,7,0,35,12,Gold medal
2008,Przemysław,Mazur,7,7,7,7,7,0,35,12,Gold medal
2008,Jacek,Jendrej,7,7,7,7,7,0,35,12,Gold medal
2017,Mariusz,Trela,7,7,0,7,7,0,28,14,Gold medal
1961,Maciej,Skwarczyński,,,,,,,39,2,Gold medal
1964,Tadeusz,Figiel,,,,,,,39,3,Gold medal
2024,Konstanty,Smolira,7,7,3,7,7,0,31,19,Gold medal
2010,Szymon,Kanonowicz,6,7,0,7,7,2,29,18,Gold medal
2020,Łukasz,Orski,7,7,4,7,7,1,33,22,Gold medal
2007,Przemysław,Mazur,7,7,1,7,7,1,30,19,Gold medal
1977,Jerzy,Grzybowski,,,,,,,36,7,Gold medal
2011,Filip,Borowiec,7,0,7,7,7,1,29,25,Gold medal
2014,Karol,Kaszuba,7,7,4,7,7,0,32,28,Gold medal
2010,Piotr,Suwara,7,7,0,7,0,7,28,27,Gold medal
2020,Juliusz,Banecki,7,6,4,7,7,1,32,34,Gold medal
2003,Marcin,Pilipczuk,7,7,0,7,7,1,29,29,Gold medal
2004,Michał,Pilipczuk,6,5,3,7,7,5,33,33,Gold medal
1998,Marcin,Stefaniak,7,7,2,7,7,1,31,29,Gold medal
2011,Teodor,Jerzak,7,0,7,7,7,0,28,39,Gold medal
1999,Eryk,Kopczyński,7,7,7,1,4,3,29,33,Gold medal
2021,Radosław,Żak,7,2,0,7,7,3,26,47,Gold medal
2004,Kamil,Duszenko,6,7,1,7,6,5,32,38,Gold medal
1981,Tomasz,Hrycak,,,,,,,41,27,Gold medal
1968,Bolesław,Szymański,6,7,7,5,7,7,39,17,Gold medal
1991,Grzegorz,Zwara,7,7,3,7,7,7,38,21,Silver medal
1988,Grzegorz,Zwara,7,7,7,7,0,3,31,18,Silver medal
1973,Grzegorz,Andrzejczak,6,6,8,5,6,0,31,9,Silver medal
1962,Marcin,Kuczma,,,,,,,39,5,Silver medal
2022,Korneliusz,Obarski,7,7,7,7,3,2,33,45,Silver medal
2022,Mateusz,Gabzdyl,7,7,1,7,7,4,33,45,Silver medal
2020,Radosław,Żak,7,2,6,7,7,1,30,50,Silver medal
1973,Piotr,Berman,6,6,0,4,6,8,30,11,Silver medal
1969,Jerzy,Dydak,5,7,6,1,7,8,34,10,Silver medal
2003,Paweł,Januszewski,7,7,0,7,7,0,28,38,Silver medal
2001,Paweł,Walter,7,1,7,7,7,0,29,40,Silver medal
1996,Marcin,Stefaniak,6,0,7,7,1,6,27,36,Silver medal
1996,Piotr,Zieliński,7,1,7,4,1,7,27,36,Silver medal
2006,Michał,Pilipczuk,7,6,0,7,7,0,27,43,Silver medal
1995,Rafał,Łochowski,7,7,2,7,7,5,35,36,Silver medal
1997,Grzegorz,Kapustka,7,7,7,7,5,0,33,44,Silver medal
2020,Piotr,Kubaty,7,7,0,7,7,1,29,59,Silver medal
1972,Stanisław Jerzy,Szarek,,,,,,,37,11,Silver medal
2024,Antoni,Mazur,7,7,0,7,7,0,28,59,Silver medal
1990,Grzegorz,Zwara,0,7,7,7,7,3,31,32,Silver medal
2018,Radomił,Baran,7,7,0,7,2,6,29,61,Silver medal
2018,Daniel,Murawski,7,7,0,7,7,1,29,61,Silver medal
2019,Radosław,Żak,7,7,0,7,7,0,28,65,Silver medal
1989,Krzysztof,Oleszkiewicz,5,4,7,5,7,7,35,32,Silver medal
2009,Jakub,Oćwieja,7,7,1,7,7,0,29,62,Silver medal
2009,Tomasz,Kociumaka,7,7,7,1,7,0,29,62,Silver medal
2001,Roman,Łomowski,7,0,7,7,5,0,26,54,Silver medal
2022,Kosma,Kasprzak,7,7,2,7,7,1,31,68,Silver medal
2013,Kamil,Rychlewicz,7,7,0,7,7,0,28,61,Silver medal
1998,Tomasz,Czajka,7,7,1,7,7,0,29,49,Silver medal
2012,Wojciech,Nadara,7,7,5,3,3,0,25,64,Silver medal
2012,Maciej,Dulęba,7,7,2,2,7,0,25,64,Silver medal
1990,Michał,Rams,3,7,3,7,7,2,29,37,Silver medal
1997,Piotr,Zieliński,5,0,7,7,7,5,31,56,Silver medal
2007,Wojciech,Zaremba,7,7,1,7,2,0,24,68,Silver medal
2002,Jarosław,Wrona,6,6,1,7,1,5,26,64,Silver medal
2024,Mateusz,Wawrzyniak,7,2,2,7,7,1,26,82,Silver medal
2005,Tomasz,Kulczyński,7,7,0,7,0,7,28,72,Silver medal
1965,Krzysztof,Nowiński,4,6,8,6,6,2,32,12,Silver medal
2022,Marek,Zbysiński,7,7,2,7,7,0,30,84,Silver medal
2018,Mariusz,Trela,7,7,0,7,7,0,28,87,Silver medal
2018,Radosław,Żak,7,7,0,7,7,0,28,87,Silver medal
2000,Tomasz,Czajka,7,7,3,7,0,0,24,68,Silver medal
2011,Maciej,Dulęba,7,0,2,7,6,1,23,83,Silver medal
1993,Łukasz,Wiechecki,7,1,6,3,4,2,23,66,Silver medal
2002,Marcin,Pilipczuk,7,7,1,3,7,0,25,78,Silver medal
2019,Juliusz,Banecki,7,6,1,6,7,0,27,101,Silver medal
2004,Mateusz,Michalek,7,7,1,7,5,0,27,81,Silver medal
1996,Bartłomiej,Dyda,5,1,3,4,2,7,22,71,Silver medal
2023,Mateusz,Gabzdyl,7,7,0,7,7,0,28,104,Silver medal
2021,Paweł,Gadziński,7,0,0,7,7,0,21,105,Silver medal
2021,Antoni,Buraczewski,7,0,0,7,7,0,21,105,Silver medal
2008,Jakub,Konieczny,7,4,0,7,7,0,25,92,Silver medal
2008,Karol,Żebrowski,7,4,0,7,7,0,25,92,Silver medal
2015,Mikołaj,Leonarski,4,1,7,7,1,0,20,101,Silver medal
1992,Łukasz,Wiechecki,7,7,2,7,0,3,26,57,Silver medal
2002,Roman,Łomowski,7,7,1,7,2,0,24,86,Silver medal
2003,Aleksander,Zabłocki,7,7,0,7,0,0,21,83,Silver medal
2001,Jarosław,Wrona,6,0,7,7,2,0,22,87,Silver medal
1966,Tadeusz,Figiel,,,,,,,38,14,Silver medal
1964,Marian,Orłowski,,,,,,,31,14,Silver medal
2016,Adam,Klukowski,7,2,1,7,6,0,23,114,Silver medal
1975,Jerzy,Tarasiuk,6,7,2,6,6,6,33,27,Silver medal
2020,Kosma,Kasprzak,7,4,0,7,7,1,26,121,Silver medal
2006,Wojciech,Śmietanka,7,7,1,6,0,0,21,98,Silver medal
1984,Jarosław,Włodarczyk,7,1,7,7,0,6,28,39,Silver medal
1993,Marcin,Bortnik,7,0,7,1,4,2,21,83,Silver medal
2011,Damian,Orlef,7,1,0,7,7,0,22,113,Silver medal
1989,Rafał,Latała,7,7,3,1,7,7,32,59,Silver medal
2010,Filip,Borowiec,7,7,0,7,0,0,21,106,Silver medal
2024,Stanisław,Lada,7,1,0,7,7,1,23,125,Silver medal
2002,Wojciech,Czerwiński,7,6,1,7,2,0,23,99,Silver medal
