Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2010,George,Arzeno,7,7,1,7,7,0,29,18,Gold medal
2004,Sherry,Gong,7,7,0,7,7,0,28,74,Silver medal
2003,Sherry,Gong,7,3,0,7,1,0,18,107,Bronze medal
2016,Francisco,Proskauer Valerio,7,0,0,7,0,7,21,146,Bronze medal
2021,Enrique Antonio,Rivera Ferraiuoli,7,0,0,7,1,0,15,180,Bronze medal
2018,Edward,Wan,7,1,0,7,7,0,22,174,Bronze medal
2012,Jiacheng,Feng,7,7,0,2,0,0,16,204,Bronze medal
2020,Enrique Antonio,Rivera Ferraiuoli,7,2,0,7,0,0,16,272,Bronze medal
2015,Francisco,Proskauer Valerio,7,0,0,7,0,0,14,257,Bronze medal
2009,George,Arzeno,7,3,0,2,0,0,12,296,Honourable mention
2011,Jiacheng,Feng,5,0,0,7,2,0,14,303,Honourable mention
2017,Jonathan,Rodriguez Figueroa,7,0,0,7,0,0,14,342,Honourable mention
2017,Claudia,Mulero Fernandez,7,0,0,7,0,0,14,342,Honourable mention
2018,Sebastian Jose,Portalatin Cortes,7,2,0,2,1,0,12,338,Honourable mention
2011,Anthony Edward,Erb Lugo,7,0,0,2,2,0,11,338,Honourable mention
2021,Rafael Angel,Gomez Cruz,0,0,0,7,0,0,7,372,Honourable mention
2013,Marcos A.,Pertierra Arrojo,1,1,0,7,0,0,9,335,Honourable mention
2022,Luis Guillermo,Turino Zellek,6,1,0,7,1,0,15,394,Honourable mention
2020,Luis Guillermo,Turiño Zellek,1,0,0,7,0,0,8,419,Honourable mention
2012,Anthony Edward,Erb Lugo,7,0,0,2,0,0,9,373,Honourable mention
2004,Carlos,Fonseca,0,2,0,7,0,0,9,335,Honourable mention
2014,Natalia,Pacheco,3,0,0,7,0,0,10,387,Honourable mention
2017,Omar,Santiago Reyes,7,3,0,1,0,0,11,442,Honourable mention
2020,Rafael Angel,Gómez Cruz,7,0,0,0,0,0,7,445,Honourable mention
2020,Carlos Andrés,Alvarado Alvarez,0,0,0,7,0,0,7,445,Honourable mention
2023,Nirvana Rosabella,Marrero Tiodang,7,1,0,1,0,0,9,459,Honourable mention
2024,Nirvana Rosabella,Marrero Tiodang,7,0,0,1,1,0,9,457,Honourable mention
2017,Gustavo,Santiago Reyes,7,0,0,1,0,0,8,497,Honourable mention
2002,Sherry,Gong,1,6,0,0,1,0,8,308,
2022,Carlos Andres,Rodriguez ,5,2,0,4,2,0,13,429,
2023,Carlos Andres ,Rodriguez,5,1,0,1,2,0,9,459,
2011,Francis Noel,Castro Velez,3,0,0,2,2,0,7,420,
2002,Carlos,X. Soto,0,1,0,4,0,0,5,360,
2021,Daniel ,Villafuerte Gonzalez,2,0,0,0,0,0,2,470,
2021,Luis Guillermo,Turino Zellek,2,0,0,0,0,0,2,470,
2005,Javier,Hernández,0,1,0,1,0,0,2,396,
2005,Alexis,Vega,0,1,0,1,0,0,2,396,
2005,Vanessa,Eiroa,0,1,0,1,0,0,2,396,
2016,Natalia,Pacheco,5,0,0,1,0,0,6,469,
2018,Gustavo,Santiago Reyes,2,0,0,2,0,0,4,470,
2018,Omar,Santiago Reyes,1,0,0,2,1,0,4,470,
2003,Carlos,Perez,0,1,0,3,0,0,4,363,
2024,Wyatt Lazar,Wunker,6,0,0,0,1,0,7,487,
2021,Isabella Sofia,Perez Rodriguez,0,0,0,1,0,0,1,499,
2017,Miguel,Tulla Lizardi,5,0,0,3,0,0,8,497,
2019,Enrique Antonio,Rivera Ferraiuoli,1,0,0,0,2,0,3,504,
2009,Alan,Wagner,2,0,0,1,0,0,3,459,
2009,Sara,Rodriguez,0,1,0,2,0,0,3,459,
2018,Miguel,Tulla Lizardi,1,1,0,0,1,0,3,486,
2002,Carlos,Fonseca,1,0,0,1,1,0,3,393,
2012,Marcos,Pertierra,3,0,0,2,0,0,5,450,
2008,Isamar,Rosa Plata,2,0,0,1,1,0,4,448,
2004,Jaime,Díaz,3,0,1,0,0,0,4,408,
2007,Christian Xavier,Segura Rivera,0,0,0,5,0,0,5,440,
1997,Edward,Calejesan-Reyes,0,0,0,3,0,0,3,391,
2023,Elsa,Deshmukh,3,0,0,1,0,0,4,527,
2009,Kidhanis,De Jesus,0,1,0,1,0,0,2,482,
2009,Aravind,Arun,1,0,0,1,0,0,2,482,
2000,Sakiko,Seo,2,0,0,1,0,0,3,394,
2008,Eduardo José,Pérez Torres,1,1,0,0,1,0,3,459,
2021,Nicholas Gabriel,Gorbea Ramy,0,0,0,0,0,0,0,533,
2005,Julián,Hernández,0,1,0,0,0,0,1,445,
2005,Naren,Vélez,0,0,0,1,0,0,1,445,
2013,Francisco,Proskauer Valerio,0,0,0,2,0,0,2,460,
2013,Paola Marie,Pérez Rivera,0,0,0,2,0,0,2,460,
2014,Chunxiao,Gao,0,0,0,2,0,0,2,493,
2015,Gabriela Mari,Carrión Rivera,1,0,0,1,0,0,2,508,
2015,Alejandro Miguel,Proskauer Valerio,0,0,0,2,0,0,2,508,
2010,Jiacheng,Feng,2,0,0,3,0,0,5,461,
2022,Daniel,Villafuerte Gonzalez,5,0,0,0,0,0,5,522,
1997,Stanislaw,Dziobiak,1,0,0,1,0,0,2,408,
2008,Pedro Luis,Figueroa Albertorio,1,0,0,1,0,0,2,479,
2023,Jerry ,Chen,2,0,0,0,0,0,2,554,
2013,Roberto,Pérez Morales,1,0,0,0,0,0,1,474,
2006,Naren,Vélez,2,0,0,1,0,0,3,448,
2006,Godohaldo,Pérez,0,1,0,2,0,0,3,448,
2002,José,F. Alegría,0,0,0,1,0,0,1,431,
2000,Jose A.,Mendez-Alcazar,2,0,0,0,0,0,2,416,
2000,Marcos,Berríos,0,1,0,0,1,0,2,416,
2022,Diego,Suarez Flores,3,1,0,0,0,0,4,532,
2009,Jose,Pacheco,0,1,0,0,0,0,1,511,
2024,Avner Francisco,Romero Rodriguez,2,0,0,0,0,0,2,551,
2018,Gabriella Marie,Aponte Camacho,1,0,0,0,0,0,1,538,
2020,Daniel,Villafuerte González,0,0,0,0,0,0,0,560,
2020,Andrea Cristina,Jordán Mulero,0,0,0,0,0,0,0,560,
2012,Francis,Castro,0,0,0,2,0,0,2,498,
1997,Sultan S.,Yassin,0,0,0,1,0,0,1,419,
1997,Juan A.,Perez García,0,0,0,1,0,0,1,419,
1997,Ricardo,Rossello Nevares,0,0,0,0,1,0,1,419,
2006,Pamela Cristina,Silva Diaz,0,1,0,1,0,0,2,459,
2006,Manuel,López,0,1,0,1,0,0,2,459,
2022,Fernando José,Oliver Mediavilla,2,0,0,0,1,0,3,544,
2007,Daniel,de Jesús García,0,0,0,1,0,0,1,482,
2007,Pamela Cristina,Silva Diaz,0,0,0,1,0,0,1,482,
2003,Jaime,Díaz,0,0,0,1,0,0,1,427,
2004,Carlos,Arreche,0,1,0,0,0,0,1,456,
2004,Manuel,Rivera,1,0,0,0,0,0,1,456,
2005,Christian,Segura,0,0,0,0,0,0,0,486,
2000,Rodny,Rodriguez,0,1,0,0,0,0,1,438,
2006,Esteban,Castro,0,0,0,1,0,0,1,475,
2002,Marcos,Berríos,0,0,0,0,0,0,0,459,
2002,María,Rossi,0,0,0,0,0,0,0,459,
2011,Gabriel,Reilly,0,0,0,0,0,0,0,544,
1997,Dean,Yogev,0,0,0,0,0,0,0,446,
2000,Noel,Reyes,0,0,0,0,0,0,0,451,
2000,J.P.Michael,Motion,0,0,0,0,0,0,0,451,
2006,Aidelíz,Miranda,0,0,0,0,0,0,0,489,
2022,Ivan Francisco,Mejía Laborde,0,0,0,0,0,0,0,579,
