Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1966,Dan,Voiculescu,6,7,7,5,7,8,40,1,Gold medal
1968,Barbu Rudolf,Berceanu,6,7,7,5,7,8,40,1,Gold medal
1967,Dan,Voiculescu,6,7,8,6,7,8,42,1,Gold medal
1972,Mircea,Martin,5,6,7,7,7,8,40,1,Gold medal
1988,Nicuşor,Dan,7,7,7,7,7,7,42,1,Gold medal
1988,Adrian,Vasiu,7,7,7,7,7,7,42,1,Gold medal
1989,Andrei,Moroianu,7,7,7,7,7,7,42,1,Gold medal
1991,Sergiu,Moroianu,7,7,7,7,7,7,42,1,Gold medal
1995,Ciprian,Manolescu,7,7,7,7,7,7,42,1,Gold medal
1995,Ovidiu,Savin,7,7,7,7,7,7,42,1,Gold medal
1995,Dragos-Nicola,Oprea,7,7,7,7,7,7,42,1,Gold medal
1996,Ciprian,Manolescu,7,7,7,7,7,7,42,1,Gold medal
1999,Stefan Laurenţiu,Horneţ,7,7,4,7,7,7,39,1,Gold medal
1997,Ciprian,Manolescu,7,7,7,7,7,7,42,1,Gold medal
1974,Adrian,Ocneanu,5,6,8,6,7,8,40,1,Gold medal
1984,Daniel,Tătaru,7,7,7,7,7,7,42,1,Gold medal
1985,Daniel,Tătaru,7,7,7,7,7,7,42,1,Gold medal
1987,Mugurel,Barcău,7,7,7,7,7,7,42,1,Gold medal
1987,Nicuşor,Dan,7,7,7,7,7,7,42,1,Gold medal
1987,Adrian,Vasiu,7,7,7,7,7,7,42,1,Gold medal
1987,Andrei,Moroianu,7,7,7,7,7,7,42,1,Gold medal
1987,Liviu,Suciu,7,7,7,7,7,7,42,1,Gold medal
2023,David-Andrei,Anghel,7,7,7,7,7,7,42,1,Gold medal
2020,Edis,Memiș,7,7,7,7,7,1,36,4,Gold medal
2001,Mihai,Manea,7,7,6,7,7,7,41,5,Gold medal
2003,Ana,Caraiani,7,7,3,7,7,7,38,6,Gold medal
2007,Livia Alexandra,Ilie,7,7,4,7,7,0,32,7,Gold medal
2004,Andrei,Negut,7,7,7,7,5,7,40,7,Gold medal
1998,Stefan Laurenţiu,Horneţ,7,7,2,7,7,7,37,7,Gold medal
1978,Victor,Nistor,,,,,,,37,3,Gold medal
1992,Geffry,Barad,7,7,7,7,7,5,40,6,Gold medal
1959,Basarab,Nicolescu,,,,,,,37,2,Gold medal
2006,Adrian-Ioan,Zahariuc,7,5,7,7,7,1,34,11,Gold medal
1983,Niculae,Mandache,,,,,,,39,5,Gold medal
1993,Geffry,Barad,7,7,0,7,7,7,35,10,Gold medal
2019,Edis,Memiș,7,7,7,7,7,1,36,15,Gold medal
1978,Bogdan,Enescu,,,,,,,36,4,Gold medal
2006,Andrei-Bogdan,Ungureanu,7,7,7,7,3,0,31,13,Gold medal
1979,Victor,Nistor,6,7,7,5,7,7,39,5,Gold medal
2014,Ştefan,Spătaru,7,7,7,7,7,0,35,15,Gold medal
1991,Teodor,Bănică,7,7,6,7,7,7,41,10,Gold medal
1986,Marius,Dabija,7,7,7,5,7,7,40,7,Gold medal
2012,Omer,Cerrahoglu,7,7,3,7,7,2,33,17,Gold medal
1997,Stefan Laurenţiu,Horneţ,5,7,7,7,7,5,38,15,Gold medal
1996,Constantin,Chiscanu,4,7,7,7,7,1,33,14,Gold medal
2005,Gabriel-Emanuel,Kreindler,7,7,7,7,7,5,40,19,Gold medal
2023,Andrei,Moldovan,7,7,7,7,2,6,36,23,Gold medal
2022,Robert,Dragomirescu,7,7,6,7,7,2,36,23,Gold medal
1999,Mihai,Manea,7,7,2,7,6,4,33,19,Gold medal
1992,Şerban,Nacu,7,7,7,4,2,7,34,14,Gold medal
1998,Radu Horia,Mihăescu,4,7,2,7,7,7,34,18,Gold medal
1991,Alexandru Dan,Ionescu,7,7,7,5,7,7,40,14,Gold medal
1990,Teodor,Bănică,7,7,7,7,7,1,36,14,Gold medal
2005,Andrei-Bogdan,Ungureanu,7,7,7,7,7,2,37,23,Gold medal
2005,Dragoş-Ioan,Michnea,3,7,7,7,7,6,37,23,Gold medal
2009,Elena Mădălina,Persu,7,7,7,6,7,0,34,27,Gold medal
1995,Constantin,Chiscanu,7,7,7,7,7,3,38,20,Gold medal
2012,Radu,Bumbăcea,7,7,3,6,7,0,30,27,Gold medal
1985,Radu,Negulescu,7,7,3,7,4,6,34,11,Gold medal
1985,Răzvan,Gelca,7,7,1,7,7,5,34,11,Gold medal
2002,Virgil,Petrea,3,7,7,7,6,0,30,24,Gold medal
2010,Radu,Bumbăcea,7,7,0,7,0,7,28,27,Gold medal
2006,Eduard-Gabriel,Băzăvan,7,7,0,7,7,0,28,27,Gold medal
1960,Cezar,Gheorghe,,,,,,,41,3,Gold medal
2022,David-Andrei,Anghel,7,7,3,7,7,4,35,32,Gold medal
2015,Simona,Diaconu,5,7,1,7,7,0,27,32,Gold medal
2018,Ioan-Andrei,Nicolae,7,7,0,7,7,3,31,34,Gold medal
1996,Adrian,Corduneanu,2,7,7,7,0,7,30,25,Gold medal
1984,Louis,Funar,7,7,7,7,5,7,40,12,Gold medal
2002,Ana,Caraiani,7,6,1,7,6,2,29,29,Gold medal
1998,Flaviu,Iepure,7,7,2,7,2,7,32,26,Gold medal
1999,Marius,Beceanu,3,7,0,6,7,7,30,28,Gold medal
1963,László,Zsidó,,,,,,,37,5,Gold medal
2009,Omer,Cerrahoglu,7,7,2,7,7,3,33,37,Gold medal
1990,Florin,Belgun,7,7,7,4,7,2,34,21,Gold medal
1989,Teodor,Bănică,7,7,3,7,7,7,38,20,Gold medal
2005,Adrian-Ioan,Zahariuc,7,7,0,7,7,7,35,35,Gold medal
1986,Nicolae,I. Beli,7,7,0,7,7,6,34,15,Gold medal
2011,Octav,Drăgoi,7,1,5,7,7,1,28,39,Gold medal
2023,Pavel,Ciurea,7,7,7,7,6,0,34,45,Gold medal
2023,Andrei-Giovani,Chiriță,7,7,7,7,2,3,33,46,Gold medal
2023,Robert,Dragomirescu,7,7,7,7,5,0,33,46,Gold medal
1996,Stefan,Radu Niculescu,4,7,3,7,0,7,28,33,Gold medal
2024,Pavel,Ciurea,7,7,1,4,7,3,29,47,Gold medal
2000,Mihai,Manea,7,7,0,3,7,6,30,36,Gold medal
2010,Ştefan Adrian,Ivanovici,7,5,1,7,7,0,27,42,Gold medal
1969,Barbu Rudolf,Berceanu,5,7,7,5,7,6,37,4,Silver medal
1973,Adrian,Ocneanu,5,6,8,6,0,8,33,6,Silver medal
1978,Gheorghe,Silberberg,,,,,,,33,8,Silver medal
1959,Cristian,Berthaler,,,,,,,36,4,Silver medal
1959,Cezar,Gheorghe,,,,,,,36,4,Silver medal
1979,Alexandru,Zaharescu,,,,,,,,,Silver medal
1991,Şerban,Nacu,7,7,3,7,7,7,38,21,Silver medal
1985,Mugurel,Barcău,7,7,1,3,7,7,32,15,Silver medal
1978,Andraş,Nemethi,,,,,,,32,10,Silver medal
1989,Alexandru Dan,Ionescu,7,7,2,7,7,7,37,21,Silver medal
1989,Andrei,Rădulescu-Banu,2,7,7,7,7,7,37,21,Silver medal
1970,Radu,Gologan,,,,,,,,,Silver medal
1962,Gheorghe,Eckstein,,,,,,,39,5,Silver medal
1984,Petru,Mironescu,7,7,7,7,7,3,38,15,Silver medal
2007,Lucian-Gabriel,Țurea,7,7,0,7,7,0,28,40,Silver medal
2017,Filip-Alexandru,Ion,7,0,0,7,7,3,24,49,Silver medal
1971,Radu,Gologan,,,,,,,27,10,Silver medal
