Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2024,Believer Gall,Hirwa,7,0,0,7,0,0,14,366,Honourable mention
2023,Salvi,Mucyo,7,0,0,7,0,0,14,385,Honourable mention
2022,Salvi,Mucyo,2,2,0,7,1,0,12,436,Honourable mention
2023,Samuella,Kwizera,7,0,0,2,0,0,9,459,Honourable mention
2023,Edmond,Iradukunda,7,0,0,1,0,0,8,490,Honourable mention
2024,Edmond,Iradukunda,7,0,0,0,0,0,7,487,Honourable mention
2024,Samuella,Kwizera,7,0,0,0,0,0,7,487,Honourable mention
2024,Abel,Twiringiyimana,7,0,0,0,0,0,7,487,Honourable mention
2021,Joseph Desire,Abayo,0,0,0,1,0,0,1,499,
2021,Alain,Irakarama,0,0,0,1,0,0,1,499,
2021,Honorine,Munezero,0,0,1,0,0,0,1,499,
2021,Nadine,Akimana,0,0,0,0,0,0,0,533,
2021,Victoire,Umuhorakeye,0,0,0,0,0,0,0,533,
2021,Salvi,Mucyo ,0,0,0,0,0,0,0,533,
2024,Arnold,Bana,2,0,0,0,1,0,3,533,
2022,Honorine,Munezero,1,2,0,3,0,0,6,517,
2022,Joseph Desire,Abayo,2,1,0,2,0,0,5,522,
2022,Bel Ami,Gisage Warakoze,0,1,0,4,0,0,5,522,
2022,Nadine ,Akimana,1,0,0,3,1,0,5,522,
2023,Arnold,Bana,2,0,0,0,0,0,2,554,
2024,Nina Ornella,Umukundwa,1,0,0,0,0,0,1,565,
2023,Niyikiza Lois,Biranejeje,1,0,0,0,0,0,1,589,
2023,Believer Gall,Hirwa,0,0,0,1,0,0,1,589,
2022,Alain,Irakarama,0,1,0,0,0,0,1,563,
