Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2017,Omar,Alrabiah,7,3,0,7,7,0,24,49,Silver medal
2022,Hadi,Alaithan,7,7,3,7,7,1,32,61,Silver medal
2023,Hadi,Alaithan,7,7,1,7,7,0,29,82,Silver medal
2022,Marwan,Alkhayat,7,7,2,7,6,1,30,84,Silver medal
2012,Alyazeed,Basuni,7,7,0,7,2,0,23,85,Silver medal
2024,Hadi,Alaithan,7,7,2,7,1,0,24,100,Silver medal
2021,Marwan,Alkhayat,7,0,0,7,7,0,21,105,Silver medal
2017,Alzubair,Habibullah,7,5,0,7,0,0,19,115,Silver medal
2019,Omar,Habibullah,7,6,0,6,7,0,26,122,Silver medal
2015,Alzubair,Habibullah,7,2,0,7,3,0,19,118,Silver medal
2012,Husain,Eid,7,7,0,7,0,0,21,112,Silver medal
2018,Omar,Habibullah,7,7,0,7,3,1,25,131,Silver medal
2017,Shaden,Alshammari,7,4,0,7,0,0,18,139,Bronze medal
2023,Mahdi,Albaik,7,7,1,7,2,0,24,145,Bronze medal
2023,Muath,Alqahtani,7,7,1,7,2,0,24,145,Bronze medal
2023,Ali,Alramadan,7,7,0,7,3,0,24,145,Bronze medal
2019,Nawaf,Alghamdi,7,2,0,7,7,0,23,147,Bronze medal
2019,Marwan,Alkhayat,7,2,0,7,7,0,23,147,Bronze medal
2019,Asaad,Mohammedsaleh,7,2,0,7,7,0,23,147,Bronze medal
2018,Renad,Abualjamal,7,7,0,3,7,0,24,147,Bronze medal
2022,Mohammed,Aldubaisi,7,7,0,7,7,0,28,146,Bronze medal
2022,Ali,Alramadan,7,7,0,7,7,0,28,146,Bronze medal
2021,Hamzah,Alshaikhi,7,0,1,7,3,0,18,156,Bronze medal
2012,Saleh,Algamdi,7,7,0,3,3,0,20,140,Bronze medal
2011,Wael,Alsaeed,7,0,0,7,7,0,21,145,Bronze medal
2021,Ali,Alramadan,1,0,1,7,7,0,16,167,Bronze medal
2019,Khalid,Ajran,7,7,0,1,7,0,22,168,Bronze medal
2016,Alzubair,Habibullah,7,1,1,7,4,0,20,169,Bronze medal
2014,Omar,Alrabiah,7,7,0,7,0,0,21,163,Bronze medal
2012,Abdulrahman,Alharbi,7,7,0,4,0,0,18,163,Bronze medal
2024,Yosuf,Bakhit,7,0,0,7,7,0,21,182,Bronze medal
2016,Majid,Almarhoumi,7,3,0,7,2,0,19,184,Bronze medal
2016,Omar,Alrabiah,7,1,0,7,4,0,19,184,Bronze medal
2017,Joud,Saleh,7,3,0,7,0,0,17,188,Bronze medal
2013,Alyazeed,Basuni,7,7,0,7,0,0,21,163,Bronze medal
2012,Wael,Alsaeed,7,7,0,3,0,0,17,182,Bronze medal
2010,Wael,Alsaeed,7,3,0,7,1,0,18,174,Bronze medal
2021,Hadi,Alaithan,7,0,0,7,0,0,14,218,Bronze medal
