Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2004,Marko,Radovanović,7,2,1,7,7,7,31,46,Silver medal
2003,Marko,Radovanović,7,2,0,7,7,0,23,59,Silver medal
2003,Aleksandar,Ilić,7,1,1,7,7,0,23,59,Silver medal
2004,Milan,Novaković,7,4,1,7,7,2,28,74,Silver medal
2003,Aleksandar,Pejčev,2,2,0,7,7,1,19,98,Silver medal
2005,Uroš,Rajković,5,7,0,7,0,1,20,139,Bronze medal
2005,Igor,Kabiljo,5,7,0,1,7,0,20,139,Bronze medal
2003,Jelena,Milanović,7,2,0,7,1,0,17,124,Bronze medal
2004,Aleksandar,Pejčev,7,2,0,7,5,1,22,143,Bronze medal
2004,Đorđe,Baralić,6,1,2,7,3,1,20,169,Bronze medal
2004,Uroš,Rajković,3,4,1,7,4,1,20,169,Bronze medal
2005,Bojan,Bašić,7,1,1,5,0,0,14,225,Bronze medal
2003,Milan,Novaković,2,0,1,7,0,0,10,247,Honourable mention
2005,Miloš,Đorić,0,0,0,7,1,0,8,296,Honourable mention
2003,Aleksandar,Branković,1,0,0,7,1,0,9,269,Honourable mention
2004,Petra,Stojsavljević,6,2,1,1,0,1,11,295,
2005,Đorđe,Baralić,0,1,0,1,5,0,7,322,
2005,Dimitrije,Filipović,0,0,0,6,0,0,6,328,
