Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2012,Jeck,Lim,7,7,7,7,7,7,42,1,Gold medal
2011,Jeck,Lim,7,5,7,7,7,7,40,2,Gold medal
2013,Jeck,Lim,7,7,7,7,7,5,40,3,Gold medal
2011,Jun Jie Joseph,Kuan,7,7,7,7,7,1,36,4,Gold medal
2011,Jie Jun,Ang,7,7,7,7,7,0,35,6,Gold medal
2017,Joel Junyao,Tan,7,4,0,7,7,4,29,7,Gold medal
2016,Zhao Yu,Ma,7,7,7,7,7,3,38,8,Gold medal
2016,Sheldon Kieren,Tan,7,7,1,7,7,7,36,9,Gold medal
2016,Glen Wei An,Lim,7,7,1,7,7,7,36,9,Gold medal
2023,Hao Xiang Gabriel,Goh,7,7,7,7,7,2,37,12,Gold medal
2017,Bryan Peng Jun,Wang,7,7,0,7,7,0,28,14,Gold medal
2024,Yihan,Yang,7,7,2,7,7,2,32,14,Gold medal
2019,Yu Peng,Ng,7,6,7,7,7,1,35,18,Gold medal
2016,Dylan Shan Hong,Toh,7,7,2,7,7,3,33,19,Gold medal
2018,Yu Peng,Ng,7,7,0,7,7,6,34,19,Gold medal
2015,Sheldon Kieren,Tan,7,7,1,7,7,0,29,19,Gold medal
2021,Tse Yang Lucas,Boo,5,2,1,7,7,7,29,24,Gold medal
2018,Ker Yang,Lee,7,7,3,7,7,1,32,27,Gold medal
2014,Yijia,Liu,7,7,4,7,7,0,32,28,Gold medal
2014,Sheldon Kieren,Tan,7,7,0,7,7,3,31,34,Gold medal
2014,Siah Yong,Tan,7,6,1,7,7,2,30,36,Gold medal
2011,Yue,Ding,7,7,0,7,7,0,28,39,Gold medal
1996,Senkodan,Thevendran,6,7,7,2,0,7,29,32,Gold medal
2019,Tse Yang Lucas,Boo,7,6,4,7,7,0,31,48,Gold medal
2023,Keyn-Hantz Edden,Chew,7,7,4,7,7,0,32,50,Gold medal
2015,Kewei David,Lin,4,2,7,7,3,2,25,40,Silver medal
2016,Bryan Peng Jun,Wang,7,7,0,7,7,0,28,45,Silver medal
2017,Dylan Shan Hong,Toh,7,4,0,7,6,0,24,49,Silver medal
2021,Shevonne,Chia,7,2,0,7,7,0,23,53,Silver medal
2013,Kewei David,Lin,7,2,7,7,7,0,30,46,Silver medal
2023,Wenhao,Cheng,7,7,7,7,3,0,31,55,Silver medal
1998,Cheng Jiann,Huah,7,7,2,7,7,0,30,38,Silver medal
2012,Chong Luck Ryan,Kor,7,7,3,6,4,0,27,52,Silver medal
2015,Zhao Yu,Ma,7,7,1,7,1,1,24,55,Silver medal
2020,Yangyi Aloysius,Ng,7,7,0,7,7,1,29,59,Silver medal
2024,Zhi Xiang Raphael,Teng,7,7,0,7,7,0,28,59,Silver medal
2024,Juntao,Zhang,7,7,0,7,7,0,28,59,Silver medal
2015,Siah Yong,Tan,7,5,0,7,2,2,23,58,Silver medal
2021,Choo Ray,Low,7,0,1,7,7,0,22,63,Silver medal
2018,Junyao Joel,Tan,7,7,0,7,7,1,29,61,Silver medal
2018,Puhua,Cheng,7,7,0,7,7,1,29,61,Silver medal
2018,Tse Yang Lucas,Boo,7,7,0,7,7,1,29,61,Silver medal
2019,Yangyi Aloysius,Ng,7,6,1,7,7,0,28,65,Silver medal
2019,Xu Chen,Tan,7,0,1,7,7,6,28,65,Silver medal
2001,Kiat,Chuan Tan,6,7,1,7,4,2,27,53,Silver medal
2022,Wenhao,Cheng,7,7,0,7,7,3,31,68,Silver medal
2013,Siah Yong,Tan,7,7,0,7,7,0,28,61,Silver medal
2013,Hua Jun Eugene,Lee,7,7,0,7,7,0,28,61,Silver medal
2013,Yijia,Liu,7,7,0,7,7,0,28,61,Silver medal
2013,Yan Hao,Ling,7,7,0,7,7,0,28,61,Silver medal
2010,Yao Chen Ivan,Loh,7,2,0,7,7,0,23,64,Silver medal
2024,Drew Michael Terren,Ramirez,7,2,1,7,7,3,27,76,Silver medal
2016,Joel Junyao,Tan,7,7,0,4,7,0,25,78,Silver medal
2023,Drew Michael Terren,Ramirez,7,7,1,7,7,0,29,82,Silver medal
2005,Yan,Zhao,0,1,6,7,7,7,28,72,Silver medal
2010,Jeck,Lim,7,7,0,7,1,0,22,76,Silver medal
2010,Jie Jun,Ang,7,7,0,7,1,0,22,76,Silver medal
2011,Yan Sheng,Ang,7,1,0,7,7,1,23,83,Silver medal
